src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,"Deep forest, old mountain"
深入浅出,Explain the profound in simple terms,Explain in simple language,"The idiom 深入浅出 (shēn rù qiǎn chū) means to explain complex or difficult concepts in a way that is easy to understand, making it accessible to a wide audience, even those without specialized knowledge."
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,深入人心 (shēn rù rén xīn) means to have a strong and lasting impact on people's minds or hearts.
深文周纳,Frame and punish severely,Shen Wen Zhou Na,"The idiom 深文周纳 can be translated as ""to nitpick"" or ""to overanalyze."" The literal meaning of the idiom is ""to delve into the fine details and weave them together."" The idiom implies that someone is being overly critical or picky about something, focusing on the smallest details and making a big deal out of them."
混世魔王,Devil incarnate,Demon King of Chaos,A person who is so wild and unruly that they are considered a troublemaker or a trouble-making force in society.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Mix up black and white.
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,"The idiom 混淆是非 means to confuse right from wrong, to make a mistake in judgment or to misinterpret something. A faithful translation would be ""Confuse right and wrong."
混为一谈,Confuse something with something else,Mix it up,Mixing up different ideas or concepts as if they are the same.
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,"浅尝辄止 (qiǎn cháng zhé zhǐ) means ""to taste something lightly and then stop."" It refers to someone who tries something briefly and then gives up without fully exploring or understanding it."
添枝加叶,Embellish a story,Add branches and leaves,"He always adds branches and leaves to his stories, making them seem more impressive than they are."
添砖加瓦,Do one's little bit,Add bricks and mortar,"The literal translation of 添砖加瓦 is ""Add bricks and tiles (to a building)."" However, in the context of the idiom, it means to contribute to something, to help build or improve it."
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,"The idiom ""添油加醋"" means to add extra details or embellish a story or event with unnecessary or exaggerated elements. It implies that the speaker is making the story more interesting or dramatic by adding unnecessary details."
