src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,To be very careful and cautious.
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To hold someone's hand
पैर रोक लेना,to hesitate before action,to hold back the foot,He was so focused on his work that he held his feet still.
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"The idiom ""मुँह मोड़ लेना"" translates to ""to keep quiet"" or ""to hold one's tongue"" in English."
मुँह बंद कर देना,to silence completely,to shut the mouth,Keep it terse and faithful to each component.
मुँह चलाना,to speak unnecessarily,to run the mouth,To keep it terse and faithful to each component.
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,To put one's mouth on something
मुँह मीठा होना,to taste success,for the mouth to become sweet,"मुँह मीठा होना is translated to ""To have a sweet mouth"" in English."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To keep it brief
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Do not talk too much.
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To be very stubborn or difficult to deal with.
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,"The idiom ""माथे पर लकीरें पड़ना"" translates to ""to have a reputation or a bad reputation"" in English."
दिल में जगह बनाना,to win affection,to make a place in the heart,"The literal translation of ""दिल में जगह बनाना"" is ""Make space in the heart."
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To have sharp teeth in the heart
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,"The idiom ""दिल में खटका होना"" can be translated as ""to have a thorn in one's heart,"" which means to experience a sudden emotional or mental upheaval that is difficult to shake off."
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,"The idiom ""दिल की गहराई से"" (Dil ki gharāī se) means ""from the depths of the heart"" or ""with all one's heart."" It is used to express a strong feeling or emotion, often in a heartfelt and sincere manner."
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart is lifted up.
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,दिल बाग़-बाग़ होना
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,"A native speaker would say ""to have one's heart broken"" or ""to be heartbroken"" when expressing the same meaning."
दिल को सुकून मिलना,to find peace,for the heart to find peace,To find peace of mind.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To cause someone's mind to become confused.
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The mind is stuck in a place.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Put a chicken on the brain
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,To have a blank mind
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,I suddenly had a thought that popped into my head.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To work with a toothless mouth.
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,"The idiom ""दाँतों तले अंगुली दबाना"" is used to describe someone who is able to accurately identify or address the problem or issue at hand."
जुबान बंद कर देना,to silence someone completely,to shut the tongue,Close one's ears or ignore.
जुबान काट लेना,to regret words spoken,to bite the tongue,To cut off the jugular vein (literal translation) is not a commonly used English idiom and may not have a direct equivalent in English.
जुबान कसना,to rebuke harshly,to tighten the tongue,To be in a difficult situation or to be in a tight spot.
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,The true market of the jute
जुबान पर ताला,to keep secrets locked,a lock on the tongue,Keep the base or foundation on the top or surface.
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,The jewel is lost
जुबान सरक जाना,to misspeak,for the tongue to slide,"The idiom ""to keep it terse and faithful to each component"" is a natural English idiomatic translation of ""जुबान सरक जाना"" and conveys the same meaning as the original Hindi idiom."
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
पसीना रोकना,to relieve effort,to stop sweat,विशेषाधिकारियों के लिए अतिरिक्त अधिकार नहीं हैं।
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),Keep it terse and faithful to each component.
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,"The idiom ""सीने में दर्द होना"" means ""to have a headache"" in Hindi. It is an idiomatic expression that describes the feeling of discomfort or pain in the head."
सीने में जलन होना,to feel envy,to have burning in the chest,To be in a bad situation or in trouble
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,"The idiom ""सीने में लावा उठना"" can be translated into English as ""To lift up the veil."" This idiom is often used to describe the act of uncovering or revealing something that was previously hidden or unknown. It suggests that the veil, which represents concealment or secrecy, has been lifted, revealing the truth or reality that was previously hidden."
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,"A natural English idiomatic translation: ""To be in a difficult situation"" or ""to be in a tight spot."
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,Getting into trouble
रंग दिखाना,to reveal true colors,to show color,रंग दिखाना - बिगड़ गया है
रंगीन होना,to enjoy life freely,to become colorful,"The phrase ""रंगीन होना"" can be translated as ""to be colorful"" or ""to be vibrant."
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,The color is falling off
रंग उड़ना,to fade away,for the color to fly/fade,Change appearance or behavior.
रंग जमना,to gain traction,for color to set,The color of the color is the color of the color.
रंग लगना,to start celebrating,to have color applied,Coloring oneself in one's own color
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,To understand the nuances of colors or to know the colors of the colors.
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,Keep it terse and faithful to each component.
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,"The idiom ""अपना उल्लू सीधा करना"" can be translated to English as ""to be honest and straightforward in one's actions and speech."" This means to be truthful and direct in one's behavior and communication, without any hidden meanings or insincerity."
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,To keep one's head down
अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,"The grapes are sour, but the taste of grapes is not good."
अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,To keep one's mouth shut or to refrain from speaking.
अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,Keep your head high
अपना राग अलापना,to talk only about oneself,to chant one’s own tune,राग नहीं करना जानते हैं
अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,To be blind to the obvious.
अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,Keep it in the dark.
अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,To consider one's own mistake as increasing one's own mistake.
अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune","Keep it brief and true to each component. No commentary, just the literal translation."
अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,अक्ल का पैमाना टूट जाना अक्ल के आकर्षण को टूटने के लिए एक अस्पष्ट वाक्य है। यह अक्ल के आकर्षण को टूटने के लिए एक अस्पष्ट वाक्य है। यह अक्ल के आकर्षण को टूटने के लिए एक अस्पष्ट वाक्य है। यह अक्ल के आकर्षण को टूटने के लिए एक अस्पष्ट वाक्य है। यह अक्ल के आकर्षण को टूटने के लिए एक अस्पष्ट वाक्य है। यह अक्ल के आकर्षण को टूटने के लिए एक अस्पष्ट वाक्य है। यह अक्ल के आकर्षण को टूटने के लिए एक अस्पष्ट वाक्य है। यह अक्ल के आकर्षण को टूटने के लिए एक अस्पष्ट वाक्य है। यह अक्ल के आकर्षण को टूटने के लिए एक अस्पष्ट वाक्य है। यह अक्ल के आकर
अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,To keep the head of grass turning.
अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,To put a tilaka on the eyes of the blind
अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,"He's like a blind man with a stick, he can't see the path ahead."
अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,To take hold of a stick in the dark.
अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,अंधे की भी आँख खुल गई है।
अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,अंधे की रोटी गीली रोटी
"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes","He heard the name of the blind, but didn't see with his own eyes."
"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,"Even if you want to be blind, you need to open your eyes."
अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,"The idiom ""अंधेरे में रखा जाना"" can be translated to English as ""to keep something hidden or secret."
अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person,"To shine a light on someone or something, especially when they are in a dark or difficult situation."
अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind,To show the road to the blind.
अंधेरे में बैठना,to stay in ignorance,to sit in darkness,"The idiom ""अंधेरे में बैठना"" can be translated to English as ""to sit in darkness,"" which means to be in a state of confusion or bewilderment, as if in darkness."
अंधा धुन में लगे रहना,to do something mindlessly,to remain stuck in a blind fixation,अंधा धुन में लगे रहना
अंधेरे में सुई खोजना,to attempt the impossible,to search for a needle in the dark,Searching for an oar in the dark.
अंधे के हाथ में दीपक,a resource wasted on the incapable,a lamp in a blind person’s hand,"To give someone a light in the dark, or to provide guidance or support when they are in need."
अंधा ऊँट सवारी करना,to take foolish risks blindly,to ride a blind camel,"The English idiom ""to ride a blindfolded rooster"" is used to describe someone who is unaware of the truth or reality, often due to being deceived or misled."
अंधेरे में रोशनी फैलाना,to spread awareness among the ignorant,to spread light in the darkness,To bring light into the darkness.
अंधा राजा प्रजा अंधी,leader and followers both foolish,"blind king, subjects blind",The blind king and his subjects are all blind.
अंधे के भाग्य में चमक,to get lucky unexpectedly,a sparkle in the blind man’s fate,The light does not shine in the darkness of fate.
अंधे को रास्ता न सूझना,to be completely lost,for a blind person not to perceive the path,Don't give the blind a path to follow.
अंधा प्रेम करना,to love without reason,to love blindly,To love in the dark
अंधे को हाथ का सहारा,a small help to someone in need,the hand’s support for a blind person,अंधे को हाथ का सहारा देना
अंधे की लाठी,only source of dependence,a blind man’s staff,अंधे की लाठी देखकर देखना
अंधे को सपने में रोशनी दिखना,to imagine impossible hope,light appearing in a blind man’s dream,To make the blind see in dreams
अंधेरे में रहना,to be ignorant,to live/stay in darkness,"To live in a state of confusion or bewilderment, often due to lack of information or understanding."
अंधेरे में रास्ता ढूँढना,to act without clear plan,to find a path in the dark,Searching for a path in the dark
अंधेरे में छिपाना,to conceal wrong deeds,to hide in the dark,"The idiom ""अंधेरे में छिपाना"" can be translated to English as ""to hide in the dark"" or ""to keep something secret."
