src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,"When the heart is filled, the feet should be washed."
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To hold on to one's principles
पैर रोक लेना,to hesitate before action,to hold back the foot,To hold one's breath
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"To hold one's tongue or refrain from speaking, especially when something is said that is considered inappropriate or offensive."
मुँह बंद कर देना,to silence completely,to shut the mouth,Keep it brief and true to each part.
मुँह चलाना,to speak unnecessarily,to run the mouth,"The natural English idiomatic translation of ""मुँह चलाना"" is ""to speak up."
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,"To speak or express oneself in a way that is not straightforward or direct, often using metaphors or indirect language to convey a message."
मुँह मीठा होना,to taste success,for the mouth to become sweet,To speak with a sweet mouth
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To keep it terse and faithful to each component
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,To have a mouth full of dust
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,"To give someone a lecture or a scolding, often in a loud and forceful manner."
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To have rhymes on one's forehead
दिल में जगह बनाना,to win affection,to make a place in the heart,"The idiom ""दिल में जगह बनाना"" means to make space or room in one's heart for someone or something. It implies that one is willing to accommodate or accept someone or something even if it may not be easy or convenient."
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,"The literal English translation of ""दिल में काँटे चुभना"" is ""to have sharpness in one's heart."" However, the idiom is more commonly used to describe someone who is very determined, focused, or intense."
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,I can't believe I let her go. It's been a heartache in my heart ever since.
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,"The idiom ""दिल में गुस्सा रखना"" means to feel sad or upset about something."
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,"The idiom ""दिल की गहराई से"" means that something is very good or excellent. It is used to express a high level of quality or excellence."
दिल हिल जाना,to be shaken emotionally,for the heart to shake,"The heart is melting, the heart is melting."
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,"The idiom ""दिल बाग़-बाग़ होना"" means that someone's heart is filled with love or affection, like a garden filled with flowers."
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,"To keep it terse and faithful to each component, no commentary, just the literal gloss."
दिल को सुकून मिलना,to find peace,for the heart to find peace,To find peace in the heart
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To mess up one's mind
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The brain's memory goes to the place.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,दिमाग पर बोझ डालना
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,"दिमाग गुम होना (Dimaag gum hona) means to be in a state of confusion or bewilderment, often due to being overwhelmed or overwhelmed by information or events."
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,The brain's heart is going to die.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,The teeth chattering
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,"To do something with great effort or difficulty, as if using one's teeth to pick up something that is too heavy or difficult to handle."
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,"The idiom ""दाँतों तले अंगुली दबाना"" means ""to hit the nail on the head."" It is used to describe someone who has accurately identified the key issue or problem at hand."
जुबान बंद कर देना,to silence someone completely,to shut the tongue,Keep it terse and faithful to each part.
जुबान काट लेना,to regret words spoken,to bite the tongue,"The idiom ""cut off the jubaan"" is used to describe a situation where someone is being overly critical or nitpicky about a particular issue or aspect, often to the point of being unreasonable or excessive."
जुबान कसना,to rebuke harshly,to tighten the tongue,"Output: ""I'm in a pickle."
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,Sell in the genuine market of the jubaan.
जुबान पर ताला,to keep secrets locked,a lock on the tongue,The drum is placed on the chest.
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,The tail of the elephant has been cut off.
जुबान सरक जाना,to misspeak,for the tongue to slide,To keep it terse and faithful to each component.
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,"To hold onto something or someone, like a valuable possession or a close relationship, without letting go."
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,"To create a connection between people or things, often through a shared experience or emotion."
पसीना रोकना,to relieve effort,to stop sweat,"To keep it brief and concise, preserving each element's meaning and details."
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),"To be like a snake, to be like a snake"
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,"I'm in pain, it's like having a headache in my eye."
सीने में जलन होना,to feel envy,to have burning in the chest,"The idiom ""सीने में जलन होना"" means that something needs to be heated up or brought to a boil. In Hindi, the idiom is translated as ""जलन की आवश्यकता होती है।"
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,"इस वाक्य में ""सीने में लावा उठना"" एक अनुप्रयोग है जो अंग्रेजी में ""to raise one's voice"" कहा जाता है। यह अर्थ है कि कोई व्यक्ति अपनी वार्ता को बढ़ा देता है या अपनी विचारों को बढ़ा देता है। यह वाक्य व्यक्ति के लिए एक बड़ा उत्साह और आत्मविश्वास का दर्शन है।"
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,He was so tired he had a sore back.
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,A fire breaks out in the stove.
रंग दिखाना,to reveal true colors,to show color,"To protect oneself, one should show their true colors to their friends, even if it means being honest and open with them."
रंगीन होना,to enjoy life freely,to become colorful,"To become popular or famous, especially due to one's appearance or charisma."
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,To be in a bad mood or to be in a bad state of mind.
रंग उड़ना,to fade away,for the color to fly/fade,Color flies.
रंग जमना,to gain traction,for color to set,I'm in a bad mood today.
रंग लगना,to start celebrating,to have color applied,"The idiom ""रंग लगना"" is used to describe a situation where someone's mood, behavior, or opinion is changed due to a particular event or influence."
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,"To be in a state of confusion"" or ""To be in a state of disarray."
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,Keep it terse and faithful to each component.
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,Keep it brief and faithful to each component.
अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,"The grapes are hard, and the shout is loud."
अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,अपनी डींगे हाँकना नहीं करना
अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,To keep one's nose high up
अपना राग अलापना,to talk only about oneself,to chant one’s own tune,अपना राग अलापना नहीं करना एक शांति और निर्णायक रूप में एक विशेष शब्द है जो आपके अपने दिल के रागों को अपने विचारों के लिए नहीं लागू करने के लिए कहा जाता है। यह अपनी विचारों को निर्णायक और स्वतंत्र रूप से विश्लेषित करने के लिए एक उपयोगी शब्द है। इसका अर्थ है कि आप अपने दिल के रागों को अपनी विचारों के लिए नहीं लागू करना चाहते हैं और अपने विचारों के लिए निर्णायक और स्वतंत्र रूप से विश्लेषित करना चाहते हैं।
अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,"The result of the literal translation is not a natural English idiom, but rather a phrase that does not convey the same meaning as the original Hindi idiom."
अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,Keep it under wraps.
अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,Keep your mistake as your mistake.
अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune",अपनी डफली अपना राग देते हैं इस अंग्रेजी वाक्य में अर्थ है कि व्यक्ति अपनी अपनी विशेषताओं और विशिष्टताओं को अपनी डफली (अपने अपने विशेषताओं और विशिष्टताओं को अपनी डफली के रूप में देते हैं) देते हैं। इसका अर्थ है कि व्यक्ति अपनी विशेषताओं और विशिष्टताओं को अपनी डफली के रूप में देते हैं। इसका अर्थ है कि व्यक्ति अपनी विशेषताओं और विशिष्टताओं को अपनी डफली के रूप में देते हैं। इसका अर्थ है कि व्यक्ति अपनी विशेषताओं और विशिष्टताओं को अपनी डफली के रूप में देते हैं। इसका अर्थ है कि व्यक्ति अपनी विशेषताओं और विशिष्टताओं को अपनी डफली के
अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,The balance of one's mind breaks down.
अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,To keep one's head down and walk.
अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,To blind someone with a pebble.
अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,I'm completely blind to that issue.
अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,अंधे की लकड़ी नहीं बनाती
अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,To take advantage of someone's ignorance or lack of knowledge.
अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,"Even in the darkest of places, a light has been seen."
अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,There is no need to be overly cautious or careful in a situation where it is not necessary.
