src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,"A natural English idiomatic translation of 深山老林 (shēn shān lǎo lín) is ""deep mountain old forest."
深入浅出,Explain the profound in simple terms,Explain in simple language,To explain something in a way that is easy to understand while still being thorough and comprehensive.
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,深入人心
深文周纳,Frame and punish severely,Shen Wen Zhou Na,"He's always deep in thought, nitpicking every detail."
混世魔王,Devil incarnate,Demon King of Chaos,A troublemaker or a trouble-making person.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,"He's always confusing black and white, it's frustrating."
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Confuse Right from Wrong
混为一谈,Confuse something with something else,Mix it up,"The faithful translation is ""Confuse with each other."
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,Take a sip and stop.
添枝加叶,Embellish a story,Add branches and leaves,Add branches and leaves
添砖加瓦,Do one's little bit,Add bricks and mortar,Add tiles and bricks.
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,He always adds oil and vinegar to his stories.
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,"The literal translation ""Freezing Ice Disappears"" does not convey the idiomatic meaning of ""涣然冰释."" A more natural English translation would be ""The ice has melted away,"" which captures the idea of something being completely resolved or cleared up."
游刃有余,Be move than equal to a task,Do it with ease,"游刃有余 (yóu rèn yǒu yú) means ""to handle something with ease"" or ""to be very skilled at something."" It suggests that someone has mastered a skill so well that they can perform it effortlessly and with confidence."
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,(take advantage of a situation or opportunity without being noticed)
浑然一体,An integral whole,All in one,"The idiom ""浑然一体"" (hún rán yī tǐ) can be translated to ""to be in perfect harmony or unity"" or ""to be completely integrated."
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Review the old to understand the new.
沧海横流,The changes and disorders of the times,Across the sea,"The idiom ""沧海横流"" is often used to describe a period of great change or upheaval in history or society."
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A grain of sand in the vast sea (idiomatically means a tiny part in a vast context).
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,"The idiom ""灭此朝食"" can be translated as ""to deal with the problem immediately"" or ""to finish off the challenge."
滴水成冰,Freezing cold,Dripping into ice,Dripping water freezes into ice.
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits","Full of praise brings harm, humility brings benefit."
满城风雨,Become the talk of the town,Wind and rain all over the city,Full city wind and rain
泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,A woman who is loud and obnoxious in public.
滥竽充数,Just to fill up a vacancy,Excessive use of data,滥竽充数 (làn yú chōng shù)
火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Add fuel to the fire
