src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,It's better to wash your feet until you don't know what you're doing in your own country.
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,"पैर पकड़ लेना (par pakad lena) is an idiom that means to take hold of something or someone firmly, often in a way that is not welcome or desired. It can also be used to describe a situation where someone is being controlled or influenced by another person or force. In Hindi, this idiom is often used to describe a situation where someone is being held back or prevented from doing something they want to do."
पैर रोक लेना,to hesitate before action,to hold back the foot,"To hold back or restrain oneself from doing something, especially in a situation where one feels compelled to act."
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,I'm going to keep my mouth shut about it.
मुँह बंद कर देना,to silence completely,to shut the mouth,"The idiom ""मुँह बंद कर देना"" can be translated to English as ""to keep one's mouth shut"" or ""to keep quiet."
मुँह चलाना,to speak unnecessarily,to run the mouth,"The idiom ""Muh Chalana"" means ""to talk too much"" or ""to be verbose."
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,The mouth does not go out of the mouth.
मुँह मीठा होना,to taste success,for the mouth to become sweet,"To have a sweet mouth is not just, but the hands also forget."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,To keep one's mouth shut
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To keep quiet or not to speak
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Keep it terse and faithful to each component.
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,(Māthe par shikna dālana)
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To be ridiculed or criticized by someone.
दिल में जगह बनाना,to win affection,to make a place in the heart,To make a place in the heart
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To feel extremely angry or upset about something.
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,"दिल में खटका होना (dil mein khatak hona) is translated as ""To feel a sudden and intense emotion, often accompanied by a physical reaction such as a pounding heart or trembling limbs."
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Keep it terse and faithful to each component.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,From the depths of the heart
