src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,I don't mind.
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To hold onto one's feet
पैर रोक लेना,to hesitate before action,to hold back the foot,"To keep one's feet down"" or ""To keep one's feet on the ground."
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"To keep it terse and faithful to each component, no commentary, just the literal gloss."
मुँह बंद कर देना,to silence completely,to shut the mouth,To keep one's mouth shut.
मुँह चलाना,to speak unnecessarily,to run the mouth,To talk with a tight mouth
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,To talk a lot or be verbose.
मुँह मीठा होना,to taste success,for the mouth to become sweet,"To be polite, courteous, and kind to others."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To keep it brief.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,(talk a lot)
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,"To give someone a lecture or a long-winded speech, often in an attempt to educate or inform them."
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To have a headache on the head
दिल में जगह बनाना,to win affection,to make a place in the heart,"The idiom ""दिल में जगह बनाना"" translates to ""to make space in one's heart"" in English, which means finding a place for something or someone in one's heart, often referring to a deep emotional connection or attachment."
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,"The idiom ""दिल में काँटे चुभना"" means ""to feel pain in the heart"" or ""to be deeply affected by something."" It is used to describe a strong emotional reaction or feeling of distress."
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,"The idiom ""दिल में खटका होना"" means ""to have a heartache in one's heart"" or ""to suffer a sudden emotional shock or distress."" It is used to describe a sudden and intense emotional response or a moment of intense sadness, fear, or anxiety."
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Keep it terse and faithful to each component.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,From the depths of the heart.
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart leaps up
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart is like a garden full of flowers.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,To be in love.
दिल को सुकून मिलना,to find peace,for the heart to find peace,To get peace in the heart
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To make someone's brain bad.
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The brain gets stuck in a place.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Put a stick in the head
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,"The person's mind is blank, unable to think clearly or make decisions."
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,दिमाग की बत्ती बुझ जाना
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,"The idiom ""दाँत किटकिटाना"" means ""to bite one's nails"" in Hindi, while the literal translation of ""रहे हैं"" is ""teeth chattering."
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,"To work with a hammer and nails, or to use brute force to accomplish something."
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,Pound one's teeth on the ground.
जुबान बंद कर देना,to silence someone completely,to shut the tongue,To close the jug (idiomatic meaning: to ignore or refuse to listen to something)
जुबान काट लेना,to regret words spoken,to bite the tongue,"Cut off the head of a camel"" is a literal translation of the Hindi idiom ""जुबान काट लेना."" However, it does not convey the idiomatic meaning of the phrase. A natural English idiom translation would be ""to cut off one's earlobes,"" which conveys the idea of severe punishment or humiliation."
जुबान कसना,to rebuke harshly,to tighten the tongue,To break the ice
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,To tie the delicate hair of a jujube tree (or any other tree) repeatedly and meticulously.
जुबान पर ताला,to keep secrets locked,a lock on the tongue,"जुबान पर ताला (Jubān par talā) means to put a little bit of effort into something, even if it's not a big deal. It's like putting a nail in the coffin, even if it's not a big deal."
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,The jewel is lost.
जुबान सरक जाना,to misspeak,for the tongue to slide,To be taken in or deceived.
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,Keep it brief and true to each part.
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,"The idiom ""खून का रिश्ता निभाना"" is a Hindi idiom that means ""to get into a heated argument or dispute."" It implies that two people are engaged in a heated exchange of opinions or emotions, often leading to a tense or confrontational situation."
पसीना रोकना,to relieve effort,to stop sweat,To stop or prevent something from happening.
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),"He was always so careful, he was like a reed in the wind."
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,To have a headache
सीने में जलन होना,to feel envy,to have burning in the chest,"Fire in the well"" is a literal translation of the idiom ""सीने में जलन होना"". However, it is not a natural English phrase that a native speaker would actually say. A more natural English translation would be ""Trouble in the well""."
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,"The idiom सीने में लावा उठना means to become popular or famous quickly, often due to some unexpected or unexpected event or situation. It is similar to the English idiom ""to go viral"" or ""to become a hit."
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,To have a boil on the forehead
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,"The idiom ""सीने में आग लगना"" means that something has gone wrong or is in a bad situation, and it is difficult to fix or improve."
रंग दिखाना,to reveal true colors,to show color,Show colors one by one
रंगीन होना,to enjoy life freely,to become colorful,The color should be.
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,The color of the cloth falls off.
रंग उड़ना,to fade away,for the color to fly/fade,"The idiom ""रंग उड़ना"" can be translated to English as ""to change one's mood or behavior quickly and dramatically."
रंग जमना,to gain traction,for color to set,The colors have mixed together.
रंग लगना,to start celebrating,to have color applied,"रंग लगना means ""to get emotional"" or ""to be affected emotionally."
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,"To change colors"" or ""to switch between different appearances."
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,Be careful everywhere.
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,To keep one's own thoughts straight.
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,To keep one's eyes on the prize.
अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,The grapes are sour when they are given oil.
अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,To keep one's own drum beating or to keep one's own drum beating.
अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,Keep it terse and faithful to each component.
अपना राग अलापना,to talk only about oneself,to chant one’s own tune,Do not express your anger in a loud voice.
अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,"To be seen as a fool"" or ""to be ridiculed for one's ignorance"
अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,Keep it in the dark
अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,Accepting one's mistakes and learning from them is the only way to avoid repeating them in the future.
अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune",He does not show his true feelings.
अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,The measure of one's mind breaks down
अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,To be distracted by trivial things.
अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,"The phrase ""putting a tilak on the eyes of the blind"" is a natural English idiom that means to try to impose one's will or authority on others, even when they are not in a position to do so effectively."
अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,Keep it terse and faithful to each component.
अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,The darkness does not make the lamp.
अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,To take the blind man's stick.
अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,Even the eyes of the blind have opened.
अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,The dough of the blind's bread is white bread.
"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes","Heard the name of the blind, but did not see with his eyes."
"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,"No matter how dark it is, two eyes are enough for two days."
अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,"The natural English idiom translation for ""अंधेरे में रखा जाना"" is ""to keep it in the dark""."
अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person,To enlighten or to bring light to someone who is in the dark or ignorant.
अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind,To show the way to the blind.
अंधेरे में बैठना,to stay in ignorance,to sit in darkness,To be in a situation where one is unable to see clearly or make decisions due to a lack of information or understanding.
अंधा धुन में लगे रहना,to do something mindlessly,to remain stuck in a blind fixation,अंधा धुन में लगे रहना
अंधेरे में सुई खोजना,to attempt the impossible,to search for a needle in the dark,Searching for an eye in the dark.
अंधे के हाथ में दीपक,a resource wasted on the incapable,a lamp in a blind person’s hand,अंधे के हाथ में दीपक लेना
अंधा ऊँट सवारी करना,to take foolish risks blindly,to ride a blind camel,To ride a blindfolded eagle.
