src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,To wash one's feet
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,Take hold of your feet and go out.
पैर रोक लेना,to hesitate before action,to hold back the foot,To hold one's feet.
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To keep one's mouth shut.
मुँह बंद कर देना,to silence completely,to shut the mouth,"The idiom ""मुँह बंद कर देना"" can be translated into English as ""to keep the mouth shut."
मुँह चलाना,to speak unnecessarily,to run the mouth,Opening one's mouth is very gravitational.
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,"The idiom ""मुँह लगाना"" means ""to stick one's tongue out"" in English."
मुँह मीठा होना,to taste success,for the mouth to become sweet,"मुँह मीठा होना means ""to be charming"" or ""to be attractive"" in English."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To keep it terse and faithful to each component.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,"He spoke too much, making it hard to understand what he was trying to say."
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To give someone a lecture
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,"The phrase ""to have rhymes on one's head"" is not a common English idiom, but it can be used to convey the idea of being overwhelmed with praise or compliments. It is not a natural English expression, but it can be used to describe a situation where someone is receiving too much attention or admiration."
दिल में जगह बनाना,to win affection,to make a place in the heart,To make room in one's heart for someone or something.
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To have pins in the heart
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,"The idiom ""दिल में खटका होना"" is a Hindi idiom that means ""to experience a sudden and unexpected change in one's emotions or feelings, often leading to a sense of confusion or disorientation."
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,The depth of the heart
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart is softened by the sight of a beautiful sunset.
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,"The idiom ""दिल बाग़-बाग़ होना"" means to have a lot of emotions or feelings, especially when they are strong and overwhelming."
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,To keep the heart broken
दिल को सुकून मिलना,to find peace,for the heart to find peace,To find peace of mind or to feel at ease.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,"The idiom ""दिमाग खराब कर देना"" translates to ""To mess up one's brain"" in English."
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The brain gets stuck in a place.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Put a nail in the head
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,"The literal English translation of the idiom ""दिमाग गुम होना"" (dimaag gum hona) is ""To have one's mind go blank."
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,"दिमाग की बत्ती बुझ जाना (Dimaag ka batti bugh jaana) means to think deeply and carefully about something, often resulting in a thoughtful and considered decision or conclusion."
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,दाँत किटकिटाना लेना
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To work with one's teeth.
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,To hit the nail on the head
जुबान बंद कर देना,to silence someone completely,to shut the tongue,To close oneself off or shut oneself in.
जुबान काट लेना,to regret words spoken,to bite the tongue,"The idiom ""जुबान काट लेना"" can be translated to ""to cut off the source of income"" or ""to take away someone's means of earning money."" It is often used to describe a situation where someone is deprived of their ability to make money, either due to financial difficulties or other circumstances."
जुबान कसना,to rebuke harshly,to tighten the tongue,To cut off the source of water
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,"Give me a literal, word-for-word English translation of the Chinese idiom ""Keep it terse and faithful to each component. No commentary, just the literal gloss."
जुबान पर ताला,to keep secrets locked,a lock on the tongue,"The literal translation of the Hindi idiom ""जुबान पर ताला रहना"" (jubān par talā rahanā) is ""Place a drum on the chest."" However, this literal translation does not convey the idiomatic meaning of the phrase. The idiom is used to describe a situation where a person is stuck or trapped, and it is not related to placing a drum on the chest."
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,The jewel falls out of the hand.
जुबान सरक जाना,to misspeak,for the tongue to slide,"The idiom ""जुबान सरक जाना"" is often used to describe someone who is overwhelmed by a situation or unable to understand what is happening."
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,Keep it terse and faithful to each component.
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,"The idiom ""खून का रिश्ता निभाना"" is used to describe a close and intimate relationship or bond between two people. It is often used to describe a situation where a person or family maintains their identity, traditions, or values even after living in a different place or culture for a long time."
पसीना रोकना,to relieve effort,to stop sweat,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),"Keep it terse and faithful to each component. No commentary, just the literal gloss."
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,I have a headache.
सीने में जलन होना,to feel envy,to have burning in the chest,The fire in the stove
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,To make a splash or make a name for oneself.
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,I'm in a pickle. I can't think of the right word.
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,"The idiom ""सीने में आग लगना"" can be translated to English as ""to get into trouble or get into a difficult situation."
रंग दिखाना,to reveal true colors,to show color,To show the color without giving an estimate.
रंगीन होना,to enjoy life freely,to become colorful,To be colorful or vibrant
