src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep forest
深入浅出,Explain the profound in simple terms,Explain in simple language,深入浅出 (shēn rù qiǎn chū)
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,"The idiom 深入人心 means that something has become deeply ingrained in people's minds or hearts, making it very impactful and memorable."
深文周纳,Frame and punish severely,Shen Wen Zhou Na,Deeply scrutinize and meticulously cover up.
混世魔王,Devil incarnate,Demon King of Chaos,A person who is completely out of control and behaves recklessly.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Confuse black and white.
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,To confuse right from wrong.
混为一谈,Confuse something with something else,Mix it up,Mix up and talk together.
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,"A native speaker would say ""I'm not going to take a deep dive into this topic; I'll just give it a shallow taste and stop."
添枝加叶,Embellish a story,Add branches and leaves,Add unnecessary details or embellishments to make something more elaborate or attractive.
添砖加瓦,Do one's little bit,Add bricks and mortar,"The idiom ""添砖加瓦"" is often used to describe someone who contributes to a project or cause by adding their own efforts or resources."
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,"The idiom 添油加醋 (tiān yóu jiā cù) means to embellish or add extra details to a story, often exaggerating or making it more dramatic than the original. It implies that the speaker is adding unnecessary details or embellishments to make the story more interesting or engaging."
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,"The idiom 涣然冰释 can be translated as ""all doubts gone"" or ""all ice melted"" in English."
游刃有余,Be move than equal to a task,Do it with ease,"I'm a pro at this, I can handle it with ease."
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,Take advantage of a situation without being noticed or without doing anything special.
浑然一体,An integral whole,All in one,"The idiom 浑然一体 can be translated as ""to be completely united or integrated."" It implies that everything is seamlessly connected and forms a whole."
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Reviewing the old to gain new insights.
沧海横流,The changes and disorders of the times,Across the sea,"The idiom 沧海横流 (cāng hǎi héng liú) means that during times of great turmoil or upheaval, the sea appears to be vast and uncontrolled, with waves crashing over the land. This phrase is often used to describe a period of significant change or upheaval in society or history."
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A drop in the ocean.
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,Get rid of the enemy completely.
滴水成冰,Freezing cold,Dripping into ice,"A native speaker would say ""It's freezing cold outside, it's like water is turning into ice with just a drop."
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits","Overconfidence can lead to loss, while humility leads to gain."
满城风雨,Become the talk of the town,Wind and rain all over the city,"A natural English idiomatic translation of 满城风雨 (mǎn chéng fēi yǔ) is ""full city wind and rain."
泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,"A woman who behaves in a loud, aggressive, and abusive manner in public, often making derogatory comments or insults."
滥竽充数,Just to fill up a vacancy,Excessive use of data,"滥竽充数 (làn yú chōng shù) -滥竽充数 is an idiom that means to pretend to be skilled or knowledgeable when in fact one is not. It is derived from the story of the ancient Chinese musician Pan Kao, who was hired to play the zither at the imperial court, but he was not skilled enough to play it well. He was able to pass himself off as a skilled musician by playing along with the other musicians who were actually playing the zither."
火上加油,Add fuel to the flames (or fire),Pour oil on the flame,To add fuel to the fire
火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,Fire tree silver flowers
乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,Uwu Xiansheng (Mr. Uwu)
烈火见真金,True blue will never stain,Fire sees real gold,"The idiom 烈火见真金 (lèihuǒ jiàn zhēnjīn) can be translated to ""True gold is revealed by fire"" in English."
烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,"The idiom 烘云托月 (hōng yún tuō yuè) means ""to create a false impression"" or ""to embellish something."" It is often used to describe someone who tries to make something seem better than it really is by adding unnecessary details or making it sound more impressive than it actually is. The phrase comes from the idea of using clouds to create the illusion of a full moon, where the clouds are the ""hong yun"" (clouds) and the moon is the ""tuo yue"" (moon)."
无米之炊,Make bricks without straw,Cooking without rice,To have nothing to cook with
无风不起浪,Theres no smoke without fire,"No wind, no wave",No wind does not rise waves.
无风起浪,Make trouble out of nothing,No wind and waves,"With no wind, waves rise."
无敌于天下,Unmatched anywhere in the world,Invincible in the world,"The idiom ""无敌于天下"" means ""unbeatable by anyone in the world."" It is often used to describe someone or something that is extremely powerful or skilled, and cannot be defeated by any other entity."
无功受禄,Get a reward without deserving it,Reward without merit,"No work, no reward"
无计可施,Utterly without resources,Nothing can be done,"I've tried everything, but I can't seem to find a solution. I'm at a loss."
无济于事,Useless,To no avail,It's useless to try to fix the problem.
无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,"The idiom ""无事不登三宝殿"" means ""no matter what, it's not worth coming"" and is used to express that there is no reason to bother someone or to make a fuss over something that is not important or relevant."
无事生非,Create problems where none exists,Much Ado About Nothing,No reason to create trouble.
无所适从,With no definite plan to follow,At a loss,"The natural English idiomatic translation for ""无所适从"" is ""I'm at a loss for what to do."
无恶不作,Commit all manner of crimes,Do no evil,"The natural English translation of ""无恶不作"" is ""Do evil without restraint."
无以复加,In the extreme,Can't be added,"The idiom ""无以复加"" is used to describe something that has reached its maximum or highest level and cannot be further increased or improved upon."
无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root",A house without a foundation is unstable.
无缘无故,For no reason at all,For no reason,"The idiom ""无缘无故"" means ""for no reason"" or ""without cause."" It suggests that something happened or exists without a clear or logical explanation."
无庸赘述,It's unnecessary to go into details,Needless to say,"The idiom ""无庸赘述"" can be translated as ""self-evident"" or ""obvious"" in English."
烟消云散,Disappear in a flash,Disappear into smoke,"The idiom 烟消云散 (yān xiāo yún sàn) means ""to disappear like smoke and clouds"" or ""to vanish without a trace."" It is used to describe something that has completely disappeared or vanished, often in a sudden or unexpected manner."
煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,Cook the goose and burn the lute.
照猫画虎,Imitate,Draw cats and tigers,"Result: ""Draw a cat by looking at a tiger."
茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other","Lonely and alone, I am left with my shadow to console me."
煽风点火,Instigate,Fan the flames,Stir up trouble or create conflict.
熟视无睹,Ignore,Turn a blind eye,To be indifferent or unmoved by something that is obvious or well-known.
燕巢幕上,Precarious,Swallow's Nest on the Curtain,"The literal translation of 燕巢幕上 is ""The swallow's nest on the curtain."" This idiom is used to describe a situation where someone is hiding something important or keeping a secret, as if they are hiding it behind curtains or curtains in their life."
争权夺利,Scramble for power and profit,Scramble for power,"The idiom ""争权夺利"" means ""to fight for power and wealth."" It implies a situation where people are competing with each other to gain control over resources or positions of authority."
争长论短,Squabble,Debating long and short,"The idiom ""争长论短"" is used to describe a situation where people engage in petty arguments or debates about trivial matters, often in a way that is not productive or beneficial."
为民请命,Plead in the name of the people,Pray for the people,To speak up for the people's interests and rights.
为非作歹,Break the law,To do evil,The person is engaging in criminal activities and causing harm to others.
为富不仁,Be rich and cruel,For the rich,"The idiom ""为富不仁"" is used to describe someone who is wealthy but is not kind or generous to others."
为虎傅翼,Assist an evil-doer,Fu Yi for the tiger,To give wings to a tiger.
为虎作伥,Help a villain do evil,Play for the tiger,"To be a伥of a tiger, to actively support or encourage wrongdoing."
为丛驱雀,Drive one's friends to the side of the enemy,Drive the sparrows,"The idiom ""为丛驱雀"" is used to describe someone who is so focused on their task that they neglect everything else around them. It implies that the person is so engrossed in their work that they don't notice or care about other things happening around them."
为所欲为,Have (or get) one's own way,Do whatever you want,"The idiom ""为所欲为"" is a phrase that a native English speaker would use to describe someone who has complete freedom and power to act as they please. It is often used to describe someone who is completely free to do whatever they want, without any restrictions or limitations."
为渊驱鱼,Drive one's friends to the side of the enemy,Drive fish for the abyss,"To make things too difficult or harsh, people or animals will leave."
墙倒众人推,Everybody bits a man who is down,The wall is pushed down,"The wall falls, and everyone pushes."
片甲不留,The army is completely wiped out,No armor left,Keep it terse and faithful to each component.
片瓦无存,Be razed to the ground,No tiles left,"片瓦无存"" is an idiom that means everything has been destroyed or lost."
牛头不对马嘴,Incongruous,The bull's head is not the horse's mouth,The head of a cow does not match the mouth of a horse.
牛鬼蛇神,Monsters and demons of all descriptions,Bull ghosts and snakes,(牛鬼蛇神)
牵一发而动全身,A slight move in one part may affect the situation as a whole,Pull one hair and move the whole body,Pulling one hair causes the whole body to move.
狗急跳墙,(of evils) will take desperate measures if pushed to the wall,Dog jumping off the wall,"The idiom 狗急跳墙 (gǒu jí tiào qiáng) means that when a dog is cornered, it will jump over the wall to escape. In this context, it is used to describe someone who is desperate and will take extreme measures to solve a problem or achieve their goal."
狗血喷头,Let loose a stream of abuse (against somebody),Dog blood sprinkler,狗血喷头
狐假虎威,Take advantage of the influence of others,Fox fake tiger power,The fox takes advantage of the tiger's power to scare other animals.
狐群狗党,A gang of scoundrels,Fox and Dog Party,A pack of wolves and a pack of dogs.
狡兔三窟,A crafty person has more than one hideout,Three Caves of Crafty Rabbit,A clever rabbit has three hiding places.
狭路相逢,(of adversaries) meet face to face on a narrow path,Meet by narrow road,"Meeting on a narrow road, the brave one wins."
独霸一方,Be a local despot,Dominate one side,"The idiom 独霸一方 (Dúbà yīfāng) means ""to dominate a region or area."" It implies that someone or something has complete control over a particular place or territory, often in a negative or aggressive way."
独木不成林,Unable to do (or it cannot be done) single-handed,A single tree does not make a forest,A single tree cannot form a forest.
独夫民贼,Autocrat and traitor to the people,Single husband and thief,"The idiom ""独夫民贼"" is a derogatory term used in Chinese history to refer to a tyrannical ruler who oppresses the people. The term is composed of two characters: ""独"" (dú) meaning ""alone"" or ""isolated,"" and ""民贼"" (mín zéi) meaning ""tyrant"" or ""despot."" The term is often used to describe a ruler who is seen as a threat to the people and the state."
独占鳌头,Head the list of successful candidates,Come out on top,To be the best in a competition.
率由旧章,Follow the beaten track,Rate by old chapter,Follow the old rules.
玉不琢，不成器,Jade requires chiseling - as man needs training and discipline,"Jade is not cut, not a device","Jade not carved, not a tool"
玩火自焚,Whoever plays with fire gets burnt,Play with fire,玩火自焚 (wán huǒ zì fén)
珠圆玉润,Excellent singing or polished writing,Pearl Round Yurun,"The idiom ""珠圆玉润"" can be translated to ""pearl round and jade smooth"" in English. This idiom is used to describe something that is well-crafted, polished, and of high quality."
班门弄斧,Show off in the presence of an old hand,Ban door axe,Show off your skills in front of an expert.
瑕不掩瑜,The defects cannot obscure the virtues,Flaws do not hide beauty,瑕不掩瑜 (xiá bù yǎn yú)
瑕瑜互见,Have both strong and weak points,Xia Yu meet each other,Both flaws and merits are shown.
瑞雪兆丰年,Winter snow signifies a year of good crops,Ruixue Mega Year,Precious Snow Foretells a Prosperous Year
璞玉浑金,Unadorned beauty,Raw jade and gold,Raw jade and unpolished gold
