src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep mountains and old forests.
深入浅出,Explain the profound in simple terms,Explain in simple language,The idiom 深入浅出 means to explain complex or difficult ideas in a way that is easy to understand. It is often used to describe a teaching or explanation that is clear and accessible to people of all levels of understanding.
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,深入人心 (shēn rù rén xīn)
深文周纳,Frame and punish severely,Shen Wen Zhou Na,Deeply interpret and meticulously weave.
混世魔王,Devil incarnate,Demon King of Chaos,A troublemaker or a person who causes chaos and disorder.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,"He's always trying to confuse black and white, making it hard for people to understand."
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Mix up right and wrong.
混为一谈,Confuse something with something else,Mix it up,"Confuse or mix up different things or ideas, treating them as if they are the same."
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,Taste it lightly and stop there.
添枝加叶,Embellish a story,Add branches and leaves,Add unnecessary details to make something seem more impressive or attractive than it actually is.
添砖加瓦,Do one's little bit,Add bricks and mortar,Add your own efforts or resources to a project or cause.
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,He always adds oil and vinegar to his stories.
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,"焕然冰释, all ice melted, all ice gone, tensions or conflicts resolved, sense of relief or happiness, natural English idiomatic translation, native speaker, actual say, clarity, naturalness, literalness, output, single short phrase/sentence, no extra commentary"
游刃有余,Be move than equal to a task,Do it with ease,"游刃有余 - With a blade in hand, it's easy to carve."
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,Taking advantage of the chaos to get something for free.
浑然一体,An integral whole,All in one,"To be in perfect harmony or unity, as if they are one entity."
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Reviewing the past can lead to new insights and understanding.
沧海横流,The changes and disorders of the times,Across the sea,The sea is vast and the waves cross it.
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A grain of sand in the vast sea.
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,"The enemy is so weakened that they cannot sustain themselves for the day, often implying a decisive victory or a situation where the enemy is in a dire state."
滴水成冰,Freezing cold,Dripping into ice,"A single short English phrase/sentence that a native speaker would actually say: ""A drop of water can freeze into ice."
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits","Excess pride brings loss, humility brings gain."
