src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep Mountain Old Forest
深入浅出,Explain the profound in simple terms,Explain in simple language,深入浅出 (shēn rù qiǎn chū) means to explain complex concepts in a way that is easy to understand.
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,深入人心
深文周纳,Frame and punish severely,Shen Wen Zhou Na,Deeply elaborate and meticulously cover
混世魔王,Devil incarnate,Demon King of Chaos,A person who is a troublemaker and disrupts the peace of the world.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,(hùn xiáo bái hēi)
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,混淆是非 (hùn xiáo shì fēi)
混为一谈,Confuse something with something else,Mix it up,Mix things up.
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,Take a shallow taste and stop.
添枝加叶,Embellish a story,Add branches and leaves,"Add unnecessary details or embellishments to something, often to make it seem more complex or impressive than it actually is."
添砖加瓦,Do one's little bit,Add bricks and mortar,Add bricks and tiles.
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,"The idiom ""添油加醋"" can be translated to English as ""to embellish or exaggerate a story or event."
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,"涣然冰释 means ""to be completely at ease"" or ""to be completely at peace."" It is often used to describe a situation where tensions or conflicts have been resolved and everyone is now at ease with each other."
游刃有余,Be move than equal to a task,Do it with ease,"游刃有余 - ""to handle something easily and efficiently"
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,To take advantage of a situation or opportunity without any effort or planning.
浑然一体,An integral whole,All in one,(He) is one with the whole (thing).
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,"The idiom ""温故而知新"" is a Chinese idiom that means ""reviewing old knowledge to gain new insights."" It implies that by revisiting and understanding old information, one can gain new perspectives or insights that were not apparent before."
沧海横流,The changes and disorders of the times,Across the sea,A tempestuous sea.
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A grain of sand in the vast sea.
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,灭此朝食
滴水成冰,Freezing cold,Dripping into ice,"The idiom ""滴水成冰"" is often used to describe a situation where something is extremely cold or frozen."
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits","Full of praise brings harm, humility brings benefit."
满城风雨,Become the talk of the town,Wind and rain all over the city,A storm of news spreading throughout the city
泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,"泼妇骂街 is a woman who is loud and abusive, especially in public."
滥竽充数,Just to fill up a vacancy,Excessive use of data,滥竽充数 means to pass off inferior or unqualified individuals as qualified. It is an idiom that emphasizes the importance of authenticity and quality in a group or organization.
火上加油,Add fuel to the flames (or fire),Pour oil on the flame,"火上加油 (huǒ shàng jiā yóu) means to add fuel to the fire, which is to make a situation worse or more difficult."
火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,Fire trees and silver flowers do not have a night sky.
乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,There is no such person named Mr. Black Cloud.
烈火见真金,True blue will never stain,Fire sees real gold,烈火见真金 (Lèihuǒ jiàn zhēn jīn)
烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,Create a false impression
无米之炊,Make bricks without straw,Cooking without rice,Cooking without rice.
无风不起浪,Theres no smoke without fire,"No wind, no wave","The idiom ""无风不起浪"" means that even if there is no apparent cause or reason, there will still be some disturbance or disturbance. It implies that there is always something happening, even if it is not immediately obvious."
无风起浪,Make trouble out of nothing,No wind and waves,To create trouble or stir up trouble without any real reason or cause.
无敌于天下,Unmatched anywhere in the world,Invincible in the world,The person or thing is unbeatable in the world.
无功受禄,Get a reward without deserving it,Reward without merit,"No merit, no reward."
无计可施,Utterly without resources,Nothing can be done,"The natural English translation of ""无计可施"" is ""I'm at a loss."
无济于事,Useless,To no avail,No good for anything in particular in any way in any way in any way in any way in any way in any way in any way in any way in any way at all
无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,"The idiom ""无事不登三宝殿"" can be translated as ""There is nothing that does not come to the Three Holy Palaces."" This phrase is used to describe someone who is very busy or involved in many things. The term ""三宝殿"" refers to the temple of the three treasures, which are the Buddha, the Dharma, and the Sangha. In this context, it is used to imply that the person is very active and involved in many things."
无事生非,Create problems where none exists,Much Ado About Nothing,No reason to create trouble.
无所适从,With no definite plan to follow,At a loss,There is no place to turn to
无恶不作,Commit all manner of crimes,Do no evil,The person is always doing bad things.
无以复加,In the extreme,Can't be added,There is nothing more to add.
无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root",A tree without a root is unstable and will eventually wither away.
无缘无故,For no reason at all,For no reason,"The literal translation of ""无缘无故"" is ""Without any reason"". However, in natural English, it would be more appropriate to use the idiom ""for no apparent reason"" or ""without any explanation""."
无庸赘述,It's unnecessary to go into details,Needless to say,No need to elaborate or explain further.
烟消云散,Disappear in a flash,Disappear into smoke,The idiom 烟消云散 means that something has vanished completely.
煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,"The idiom ""煮鹤焚琴"" can be translated to ""Cook the crane and burn the zither"" in English, but it is often used to describe someone who is overly critical or harsh, as if they were cooking a crane and burning a zither."
照猫画虎,Imitate,Draw cats and tigers,The idiom 照猫画虎 (zhào māo huà hǔ) means to imitate or copy something without understanding its true nature or purpose. It implies that one is trying to replicate a pattern or action without considering its underlying principles or motivations.
茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other","Lonely and alone, with only my shadow to console me."
煽风点火,Instigate,Fan the flames,Stir up the wind and set the fire ablaze.
熟视无睹,Ignore,Turn a blind eye,熟视无睹
燕巢幕上,Precarious,Swallow's Nest on the Curtain,The swallow's nest on the curtain.
争权夺利,Scramble for power and profit,Scramble for power,"A natural English idiom translation for ""争权夺利"" is ""to fight for power and material gain."
争长论短,Squabble,Debating long and short,We can't just argue about who is taller and shorter.
为民请命,Plead in the name of the people,Pray for the people,To speak up for the people's interests or to advocate for their rights.
为非作歹,Break the law,To do evil,"The literal translation of ""为非作歹"" is ""to do evil and commit crime."
为富不仁,Be rich and cruel,For the rich,"The idiom ""为富不仁"" means ""to be unkind to the wealthy"" or ""to be unkind to the rich."" It implies that those who are wealthy are not kind or considerate towards others."
为虎傅翼,Assist an evil-doer,Fu Yi for the tiger,"The person or thing being described is already powerful or dangerous, and giving them more power or influence will only make them more harmful."
为虎作伥,Help a villain do evil,Play for the tiger,He was a true accomplice to the criminal's heinous acts.
为丛驱雀,Drive one's friends to the side of the enemy,Drive the sparrows,To drive away the birds from the bush.
为所欲为,Have (or get) one's own way,Do whatever you want,To do as one pleases
为渊驱鱼,Drive one's friends to the side of the enemy,Drive fish for the abyss,"Drive fish away from the pond, drive birds away from the bush."
墙倒众人推,Everybody bits a man who is down,The wall is pushed down,墙倒众人推
片甲不留,The army is completely wiped out,No armor left,"Keep it terse and faithful to each component."" This means to translate the idiom in a concise manner, maintaining the original meaning of each word or phrase without adding any commentary."
片瓦无存,Be razed to the ground,No tiles left,Not a single tile remains.
牛头不对马嘴,Incongruous,The bull's head is not the horse's mouth,"The literal translation is ""The head of a cow does not match the mouth of a horse,"" while the idiomatic translation is ""The words or ideas do not make sense or are not related to each other."
牛鬼蛇神,Monsters and demons of all descriptions,Bull ghosts and snakes,"He's a real 牛鬼蛇神 (niú guǐ shé shén), always causing trouble."
牵一发而动全身,A slight move in one part may affect the situation as a whole,Pull one hair and move the whole body,"The idiom 牵一发而动全身 can be translated to ""to move the whole body with the slightest movement of a hair"" in English."
狗急跳墙,(of evils) will take desperate measures if pushed to the wall,Dog jumping off the wall,The dog is desperate to jump the wall.
狗血喷头,Let loose a stream of abuse (against somebody),Dog blood sprinkler,狗血喷头
狐假虎威,Take advantage of the influence of others,Fox fake tiger power,The fox uses the tiger's power to intimidate others.
狐群狗党,A gang of scoundrels,Fox and Dog Party,Fox Pack Dog Party
狡兔三窟,A crafty person has more than one hideout,Three Caves of Crafty Rabbit,"The idiom ""狡兔三窟"" means that someone is very cautious and has multiple backup plans or escape routes in case something goes wrong."
狭路相逢,(of adversaries) meet face to face on a narrow path,Meet by narrow road,狭路相逢勇者胜
独霸一方,Be a local despot,Dominate one side,"A natural English idiomatic translation: ""He's the king of the hill in his neighborhood."
独木不成林,Unable to do (or it cannot be done) single-handed,A single tree does not make a forest,One tree cannot make a forest.
