src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,He doesn't know when to stop.
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,पैर पकड़ लेना means to get hold of someone's attention or interest.
पैर रोक लेना,to hesitate before action,to hold back the foot,To keep it terse and faithful to each component.
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,I'm just gonna keep my mouth shut on this one.
मुँह बंद कर देना,to silence completely,to shut the mouth,Keep it terse and faithful to each component.
मुँह चलाना,to speak unnecessarily,to run the mouth,"The result of the literal translation is ""To open one's mouth,"" which is not a natural English idiom."
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,To hold one's tongue or keep quiet.
मुँह मीठा होना,to taste success,for the mouth to become sweet,"To be charming or pleasant to the ear, to have a pleasant voice or tone."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To keep one's mouth shut
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Mouthful of dust
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,"The literal translation of ""माथे पर शिकन डालना"" is ""Putting a nail in the forehead,"" which means to do something foolish or reckless, often with the intention of causing harm or embarrassment."
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,"The idiom ""माथे पर लकीरें पड़ना"" means to be criticized or ridiculed by others, especially in a public setting."
दिल में जगह बनाना,to win affection,to make a place in the heart,Make room in my heart.
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,दिल में काँटे चुभना
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,The feeling of a thump in the heart becomes a matter.
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Keep it terse and faithful to each component.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,From the heart's depths
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart melts.
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,To have a garden of gardens
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,"To lose one's heart or soul, to become emotionally overwhelmed or distraught."
दिल को सुकून मिलना,to find peace,for the heart to find peace,To make peace with one's heart
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,"A natural English idiomatic translation: ""To make someone's mind go blank"
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The mind gets stuck in a place.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,"The idiom means to put a thought or idea into someone's head, often in a subtle or indirect way."
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,The brain becomes dumb.
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,The brain's brainlet dies.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,"To be scared or nervous about something, as if one's teeth are chattering."
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To work with the teeth and nails
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,To hit the nail on the head
जुबान बंद कर देना,to silence someone completely,to shut the tongue,Cut off one's ears to show submission.
जुबान काट लेना,to regret words spoken,to bite the tongue,"The idiom ""cut off the jute"" is not a natural English idiom. However, a natural English idiom that conveys the same meaning could be ""cut off at the knees."
जुबान कसना,to rebuke harshly,to tighten the tongue,"The idiom ""जुबान कसना"" (Jubān kasnā) is a natural English idiomatic translation of ""to break the ice"" or ""to start a conversation."
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,To speak a big thing to show the true nature of a small thing.
जुबान पर ताला,to keep secrets locked,a lock on the tongue,A drop in the ocean.
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,The jewel is lost.
जुबान सरक जाना,to misspeak,for the tongue to slide,"The idiom ""जुबान सरक जाना"" means ""to be too proud to accept help"" in Hindi. It implies that someone is so conceited or haughty that they refuse to accept assistance from others, even when it is offered."
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,Keep it terse and faithful to each component.
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,Keep it terse and faithful to each component.
पसीना रोकना,to relieve effort,to stop sweat,Keep it terse and faithful to each component.
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),"To be very cautious and careful, as if afraid of being hurt or embarrassed."
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,"The literal translation of ""सीने में दर्द होना"" is ""To have pain in the eye."" However, in the context of idiomatic usage, it refers to the act of expressing oneself with the right words, which is similar to the concept of ""saying it with the right words"" or ""saying it with the right words."
सीने में जलन होना,to feel envy,to have burning in the chest,To be in a state of high alert or to be on edge.
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,To be noticed or recognized by someone or something.
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,"The idiom ""सीने पर बोझ होना"" can be translated to English as ""to be popular or well-regarded."
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,"The idiom सीने में आग लगना means ""to cause a fire to start"" or ""to ignite a situation."" It is used to describe the act of causing a situation to become intense or explosive, often through provocation or manipulation."
रंग दिखाना,to reveal true colors,to show color,To show one's colors
रंगीन होना,to enjoy life freely,to become colorful,"To remain unchanged or unaltered, regardless of external factors or circumstances."
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,"The idiom ""रंग फीका पड़ना"" translates to ""to be in a bad mood"" or ""to be in a foul mood"" in Hindi. It means that someone is feeling unhappy, annoyed, or upset."
रंग उड़ना,to fade away,for the color to fly/fade,Change your mind.
रंग जमना,to gain traction,for color to set,To be in a state of confusion or disorder.
रंग लगना,to start celebrating,to have color applied,"The phrase ""रंग लगना"" can be translated as ""to be affected by something"" or ""to be influenced by something."
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,To paint a picture with a brush of color
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,Avoid being everywhere at once.
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,"To share one's thoughts directly with others, without beating around the bush or avoiding the topic."
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,To keep one's head in one's hands.
अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,"The grapes are sour, and it is impossible to sell them in the market."
अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,"To be stubborn and refuse to change one's mind or behavior, even when presented with evidence or reasoning to the contrary."
अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,Keep your head up.
अपना राग अलापना,to talk only about oneself,to chant one’s own tune,Do not express your anger
अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,To keep the hand of the blind in the pocket.
अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,A natural English idiom translation: Keep it under wraps.
अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,"To consider one's own mistake as one's own mistake, to know one's own mistake as well as one's own mistake."
अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune",They sing their own tune.
अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,"To lose one's head"" or ""To lose one's mind"
अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,To be overly critical or nitpicky
अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,To show respect or kindness to someone who is blind or has limited vision.
अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,They keep cutting the eyes of the blind.
अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,To see through the darkness.
अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,To take the axe of the blind.
अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,The eye of a blind person cannot open.
अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,रोटी
"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes","He heard the name of the blind man, but did not see with his own eyes."
"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,"अंधा क्या चाहे, दो आँखें खो जाती हैं।"
अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,Don't keep it in the dark.
अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person,To enlighten the blind.
अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind,To show the road to the blind
अंधेरे में बैठना,to stay in ignorance,to sit in darkness,Sit in the dark without moving in the dark.
अंधा धुन में लगे रहना,to do something mindlessly,to remain stuck in a blind fixation,To be stuck in a dark song.
अंधेरे में सुई खोजना,to attempt the impossible,to search for a needle in the dark,Searching for an eye in the dark.
अंधे के हाथ में दीपक,a resource wasted on the incapable,a lamp in a blind person’s hand,"The idiom ""अंधे के हाथ में दीपक देना"" means ""to give a light to the blind."" In Hindi, the idiomatic sense is to provide someone with the knowledge or guidance they need, even if they are not aware of their need for it."
अंधा ऊँट सवारी करना,to take foolish risks blindly,to ride a blind camel,"To attempt something without proper knowledge or guidance, leading to failure or misfortune."
अंधेरे में रोशनी फैलाना,to spread awareness among the ignorant,to spread light in the darkness,"In the dark, light is spreading."
अंधा राजा प्रजा अंधी,leader and followers both foolish,"blind king, subjects blind",A blind king has a blind people.
