src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep Mountain Old Forest
深入浅出,Explain the profound in simple terms,Explain in simple language,"The idiom 深入浅出 can be translated to English as ""deeply profound and explanatory."" This idiom is used to describe a teaching or communication style that is clear and accessible to a wide audience, regardless of their level of knowledge or expertise."
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,Deep into the heart
深文周纳,Frame and punish severely,Shen Wen Zhou Na,"To scrutinize every detail meticulously, often to the point of nitpicking or over-analyzing."
混世魔王,Devil incarnate,Demon King of Chaos,A troublemaker or a person who causes chaos and disorder.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Mix up black and white
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,混淆是非 (hùn xiáo shì fēi)
混为一谈,Confuse something with something else,Mix it up,Mix up and talk about (as if they are the same thing)
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,"A native speaker might say ""I'll just take a quick taste of that, I'm not really interested in it."
添枝加叶,Embellish a story,Add branches and leaves,"The idiom 添枝加叶 (tiān zhī jiā yè) means to add unnecessary details or embellishments to something, often to make it more complex or elaborate than necessary. It is used to describe someone who goes beyond the essential elements of a situation or story, adding extra information or making things more complicated than they need to be."
添砖加瓦,Do one's little bit,Add bricks and mortar,Add bricks and tiles.
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,Add oil and vinegar to a story to make it more interesting.
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,"All doubts and suspicions vanished, and we could finally move forward as a united team."
游刃有余,Be move than equal to a task,Do it with ease,"A native speaker would actually say: ""I'm so good at this job, I feel like I have enough space to move around."
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,"In muddy water, fish are caught"
浑然一体,An integral whole,All in one,"To be one with everything, to be completely integrated."
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Keep it terse and faithful to each component.
沧海横流,The changes and disorders of the times,Across the sea,A vast sea in turmoil.
