src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,अपने अंदर नहीं बचाते (Apne Andar Nahin Bachate)
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To take someone's hand
पैर रोक लेना,to hesitate before action,to hold back the foot,To hold one's breath
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,He kept his mouth shut and didn't say anything.
मुँह बंद कर देना,to silence completely,to shut the mouth,"Keep it concise and accurate to each part. No explanation or interpretation, just the literal translation."
मुँह चलाना,to speak unnecessarily,to run the mouth,To keep quiet
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,To put one's mouth on something
मुँह मीठा होना,to taste success,for the mouth to become sweet,It's not enough to be sweet-tongued; one must be red-hued.
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,"To keep it terse and faithful to each component, no commentary, just the literal gloss."
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,To talk nonsense.
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To give someone a hard time or to make them suffer.
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,अपने आप पर चुनौती होना (Apanā ap par chunautī honā)
दिल में जगह बनाना,to win affection,to make a place in the heart,Make room in the heart
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To have sharp thorns in one's heart
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,To have a heartache in one's heart
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,To hold back or suppress one's emotions or feelings.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,"The idiom ""दिल की गहराई से"" means ""from the depth of the heart"" in Hindi. It refers to something that is deeply felt or sincere, coming from the innermost part of one's being."
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart melts
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart is a garden of gardens.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,The idiom 'दिल टूटकर रह जाना' means to be emotionally overwhelmed or affected by something.
दिल को सुकून मिलना,to find peace,for the heart to find peace,To find inner peace.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To make someone's mind go blank or confused.
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,"The idiom ""दिमाग ठिकाने लग जाना"" can be translated to English as ""to have a clear understanding"" or ""to grasp something well."" The literal translation of the idiom is ""The brain's territory is taken over."
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Put a stone in your head
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,"The person's mind is blank, unable to think or remember anything."
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,I can't seem to get my brain to focus. It's like the tooth has fallen out.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,बिठाना
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To work with one's teeth
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,To press the teeth with a finger
जुबान बंद कर देना,to silence someone completely,to shut the tongue,"The idiom ""जुबान बंद कर देना"" means to ""cut off the source of income"" or ""to starve oneself."" In Hindi, it is used to describe a person who has exhausted all their resources and is unable to sustain themselves."
जुबान काट लेना,to regret words spoken,to bite the tongue,"The idiom ""जुबान काट लेना"" can be translated to ""to cut off the jugular vein"" in English."
जुबान कसना,to rebuke harshly,to tighten the tongue,"The idiom ""जुबान कसना"" (jubān kāsana) means ""to cut off the source of water"" or ""to cut off the source of support."" In other words, it refers to depriving someone of their means of survival or support."
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,A house with a solid foundation.
जुबान पर ताला,to keep secrets locked,a lock on the tongue,"The idiom ""जुबान पर ताला लगाना"" means ""to put a ring on it,"" which is a metaphor for making a final decision or conclusion after considering all the options. In Hindi, it is often used to describe someone who has made up their mind and is ready to take action."
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,The jewel slips away.
जुबान सरक जाना,to misspeak,for the tongue to slide,To keep it brief and true to its essence.
