src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,"The idiom ""पैर धोना"" can be translated to ""to wash one's hands of something"" or ""to disassociate oneself from something"" in English."
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,"The idiom ""पैर पकड़ लेना"" is used to describe a situation where someone is being supportive or encouraging to another person. It is often used to describe a situation where someone is being overly aggressive or persistent in their pursuit of something, such as a job, a relationship, or a goal."
पैर रोक लेना,to hesitate before action,to hold back the foot,To hold one's breath
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To keep one's mouth shut or not to speak about something.
मुँह बंद कर देना,to silence completely,to shut the mouth,Keep it terse and faithful to each component.
मुँह चलाना,to speak unnecessarily,to run the mouth,Talk a lot
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,"To keep quiet"" or ""To hold one's tongue"
मुँह मीठा होना,to taste success,for the mouth to become sweet,To have a sweet mouth
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Keep quiet.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,"He's always talking a lot, it's like his mouth is full of dust."
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,"The idiom ""माथे पर शिकन डालना"" is used to describe someone who is stubborn or inflexible in their beliefs or opinions, and refuses to change their mind even when presented with evidence to the contrary."
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To have a reputation for something.
दिल में जगह बनाना,to win affection,to make a place in the heart,Make a space in the heart
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,"To feel intense anger or frustration, as if the heart is being pierced by sharp objects."
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,"The idiom ""दिल में खटका होना"" can be translated as ""to have a heart attack"" in English, which means to experience a sudden change in one's emotions or feelings, often leading to a feeling of shock or surprise."
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Keep it terse and faithful to each component.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,Show the depth of your heart.
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart melts.
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart is like a garden of gardens.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,"The idiom ""दिल टूटकर रह जाना"" means to be so deeply affected or moved by something that one's heart is broken or shattered. The idiomatic sense is that one experiences a profound emotional impact, often leading to a state of despair or hopelessness."
दिल को सुकून मिलना,to find peace,for the heart to find peace,Find peace of mind and find balance in life.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,"To make one's mind bad"" (or ""to make one's brain bad"")"
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The mind is fixed in place.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,To put a brain in a hole
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,To have a mind that is confused.
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,"The idiom ""दिमाग की बत्ती बुझ जाना"" can be translated to ""The brain's mind wanders"" in English."
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,They bite like a big dog.
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,"The idiom ""दाँत नाखून से काम लेना"" can be translated to ""to work hard"" or ""to put in a lot of effort"" in English. This idiom is often used to describe someone who is very diligent and works tirelessly to achieve their goals."
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,"To be very careful or cautious, as if pressing one's teeth with a finger."
जुबान बंद कर देना,to silence someone completely,to shut the tongue,Keep it terse and faithful to each component.
जुबान काट लेना,to regret words spoken,to bite the tongue,Cut off the head of the camel.
जुबान कसना,to rebuke harshly,to tighten the tongue,"The idiom ""जुबान कसना"" can be translated to ""to cut off the source of income or support"" in English."
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,"To be completely forgotten or ignored by the public, as if the person or thing has disappeared without a trace."
जुबान पर ताला,to keep secrets locked,a lock on the tongue,जबान पर ताला रखना
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,The jug is empty.
जुबान सरक जाना,to misspeak,for the tongue to slide,To be in a state of confusion or bewilderment.
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,To hold one's breath or wait for something to happen.
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,खून का रिश्ता निभाना is a Hindi idiom that means to form a connection or relationship with someone or something that is considered dangerous or risky.
पसीना रोकना,to relieve effort,to stop sweat,Keep it short and to the point.
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),To be as thin as a reed.
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,"The idiom ""सीने में दर्द होना"" means to feel pain or discomfort in one's heart or soul. It is often used to describe a deep emotional pain or distress."
सीने में जलन होना,to feel envy,to have burning in the chest,The water in the well boils.
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,"The idiom सीने में लावा उठना means to be successful in a singing or dancing competition, and it is derived from the fact that in such competitions, the judges often award points based on the quality of the performance, and a successful performance can be likened to a bird taking flight from a perch, indicating that the performer has achieved success and risen above their previous level."
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,To have a headache on the forehead
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,"The idiom ""सीने में आग लगना"" can be translated to ""to get into trouble"" or ""to get into a difficult situation"" in English."
रंग दिखाना,to reveal true colors,to show color,To show one's true colors without being subtle or tactful about it.
रंगीन होना,to enjoy life freely,to become colorful,To become more colorful and lively.
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,रंग फीका पड़ना means to fall into a bad mood.
रंग उड़ना,to fade away,for the color to fly/fade,To be colorful or vibrant.
रंग जमना,to gain traction,for color to set,"Color does not need to be colored, it needs to be painted."
रंग लगना,to start celebrating,to have color applied,To be in the mood
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,रंग में रँग जाना
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,Keep it terse and faithful to each component.
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,To keep one's own head straight.
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,अक्ल ठिकाने लगाना
अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,"The literal translation of ""अंगूर खट्टे हैं"" is ""Grapes are hard,"" but the idiomatic meaning is that something is not very good or not worth considering."
अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,"To maintain your expectations and economic desires, you should control your life according to your own standards."
अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,To keep one's nose up.
अपना राग अलापना,to talk only about oneself,to chant one’s own tune,He doesn't talk about his anger to his hair.
अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,To make a fool of oneself
अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,Keep it in the dark.
अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,To consider one's own mistake as increasing one's mistake.
अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune",Don't be too proud and don't take your own anger out on others.
अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,"The idiom ""अक्ल का पैमाना टूट जाना"" means ""to lose one's temper"" or ""to become angry."" It suggests that someone's patience or control over their emotions has been lost, and they are now experiencing a sudden outburst of anger."
अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,To keep one's head down and move forward.
अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,To be so blind or ignorant that you can't see the obvious.
अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,To split the night into two parts and make a mistake.
अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,The darkness's stick
अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,To take the stick of the blind.
अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,"Even if the eyes of the blind did not open, there was no darkness because there was no darkness."
अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,देखना (To see)
"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes","He heard the name of the blind, but he didn't see with his eyes."
"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,"Whatever you want to be blind, take away one eye or two eyes, but don't take away two eyes."
अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,Keep it in the dark.
अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person,To enlighten someone who is ignorant or uneducated.
अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind,"The idiom ""अंधे को रास्ता दिखाना"" can be translated as ""to show the way to the blind"" or ""to point out the way to the blind"" in English."
अंधेरे में बैठना,to stay in ignorance,to sit in darkness,Sit in the dark
अंधा धुन में लगे रहना,to do something mindlessly,to remain stuck in a blind fixation,"The idiom ""अंधा धुन में लगे रहना"" can be translated to ""to remain in the darkness of a tune"" in English. However, a more natural and idiomatic translation would be ""to be stuck in a rut"" or ""to be mired in a situation."
अंधेरे में सुई खोजना,to attempt the impossible,to search for a needle in the dark,"The idiom ""अंधेरे में सुई खोजना"" is a natural English idiom that means ""to search for an answer in the dark."" It suggests that someone is trying to find a solution or answer to a problem without any light or guidance, which can be frustrating and difficult."
अंधे के हाथ में दीपक,a resource wasted on the incapable,a lamp in a blind person’s hand,"अंधे के हाथ में दीपक means ""to give a light to the blind"" in English."
अंधा ऊँट सवारी करना,to take foolish risks blindly,to ride a blind camel,To ride a blindfolded eagle.
अंधेरे में रोशनी फैलाना,to spread awareness among the ignorant,to spread light in the darkness,To bring light into darkness
अंधा राजा प्रजा अंधी,leader and followers both foolish,"blind king, subjects blind",The blind king blinds his subjects.
अंधे के भाग्य में चमक,to get lucky unexpectedly,a sparkle in the blind man’s fate,"In the darkness of fate, there is no light."
अंधे को रास्ता न सूझना,to be completely lost,for a blind person not to perceive the path,Don't give a blind man a path.
अंधा प्रेम करना,to love without reason,to love blindly,Keep it terse and faithful to each component
अंधे को हाथ का सहारा,a small help to someone in need,the hand’s support for a blind person,Giving someone a helping hand in a difficult situation.
अंधे की लाठी,only source of dependence,a blind man’s staff,"The idiom ""अंधे की लाठी नहीं"" is used to describe someone who is overly cautious, overly prepared, or overly prepared for something that may not actually happen."
अंधे को सपने में रोशनी दिखना,to imagine impossible hope,light appearing in a blind man’s dream,To make the blind see in dreams.
अंधेरे में रहना,to be ignorant,to live/stay in darkness,To live in the dark.
