src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep Mountain Old Forest
深入浅出,Explain the profound in simple terms,Explain in simple language,深入浅出
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,"深入人心 means that something has a strong and lasting impact on people's hearts, often referring to something that is deeply meaningful or impactful."
深文周纳,Frame and punish severely,Shen Wen Zhou Na,"The idiom ""deeply scrutinize and meticulously cover up"" is a natural English translation of ""深文周纳."
混世魔王,Devil incarnate,Demon King of Chaos,A person who causes trouble or chaos in society.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,"The idiom 混淆黑白 (hùn xiáo bái hēi) can be translated as ""to confuse right and wrong"" or ""to mix up black and white."
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Mix up right and wrong
混为一谈,Confuse something with something else,Mix it up,"The idiom ""混为一谈"" means to confuse or mix up different things or ideas, treating them as if they are the same."
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,Taste it lightly and stop.
添枝加叶,Embellish a story,Add branches and leaves,Add unnecessary details or embellishments to something.
添砖加瓦,Do one's little bit,Add bricks and mortar,Add bricks and tiles to the wall.
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,"The idiom ""添油加醋"" can be translated as ""add oil and vinegar"" in English."
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,涣然冰释
游刃有余,Be move than equal to a task,Do it with ease,The knife is in the palm of your hand.
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,"In the murky water, fish can be scooped up."
浑然一体,An integral whole,All in one,Merged into one body
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,"The idiom 温故知新 can be translated to ""Warm up old things and know new things"" in English."
沧海横流,The changes and disorders of the times,Across the sea,"The idiom ""沧海横流"" can be translated as ""Waves of the Sea Crossed"" in a faithful sense, capturing the essence of the idiom's meaning."
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A grain of sand in the vast sea.
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,Eat the food of the day and destroy it.
滴水成冰,Freezing cold,Dripping into ice,Drop of water turns into ice.
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits","Overconfidence leads to loss, humility brings benefit."
满城风雨,Become the talk of the town,Wind and rain all over the city,A storm of public opinion has broken out in the city.
泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇泼妇骂街泼妇
滥竽充数,Just to fill up a vacancy,Excessive use of data,"滥竽充数 (làn yú chōng shù) means ""to pass off inferior goods as good ones"" or ""to pretend to be better than one is."" The idiom comes from the story of a musician who was hired to play in a royal court orchestra but was not skilled enough to play the instruments. He was given a fake instrument to play, and he pretended to be a skilled musician. The king was fooled and thought he was a great musician, but in reality, he was just pretending. The idiom is often used to describe someone who pretends to be better than they really are."
火上加油,Add fuel to the flames (or fire),Pour oil on the flame,"The idiom ""火上加油"" means to make a situation worse or more intense."
火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,Fire trees and silver flowers do not have a night sky.
乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,"The literal translation of ""乌有先生"" is ""U-Hu Master,"" but this is not a natural English idiom. A more natural English translation would be ""a person who does not exist"" or ""a fictional character."
烈火见真金,True blue will never stain,Fire sees real gold,The true gold will be revealed in the fire.
