src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,"The idiom ""पैर धोना"" can be translated to English as ""to wash one's feet"" or ""to show respect."
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To catch someone off guard
पैर रोक लेना,to hesitate before action,to hold back the foot,"The idiom ""पैर रोक लेना"" (par rok lena) can be translated to ""To keep one's feet still"" in English."
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To keep one's mouth shut
मुँह बंद कर देना,to silence completely,to shut the mouth,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
मुँह चलाना,to speak unnecessarily,to run the mouth,मुँह चलाना
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,"To speak in a manner that is clear and direct, like the best people."
मुँह मीठा होना,to taste success,for the mouth to become sweet,It's good to be nice to your mouth.
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,To keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,मुँह पीटना (muh peetna) - To be silent or not to speak up about something.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,मुँह धुलवाना
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,"The idiom ""माथे पर शिकन डालना"" translates to ""put a stick in the eye"" in English. This idiom is used to describe someone who is extremely stubborn or unwilling to change their opinion or behavior, even in the face of evidence or reason."
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,"The idiom ""माथे पर लकीरें पड़ना"" can be translated to English as ""to have rhymes on one's head."
दिल में जगह बनाना,to win affection,to make a place in the heart,To carve out space in one's heart
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To have thorns in one's heart
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,I feel a pang of regret for what I said.
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,Speak from the depth of the heart
दिल हिल जाना,to be shaken emotionally,for the heart to shake,"The heart is lifted up, the heart is lifted up."
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart is a garden of gardens.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,"The idiom ""दिल टूटकर रह जाना"" can be translated as ""to feel emotionally drained"" or ""to be emotionally affected."
दिल को सुकून मिलना,to find peace,for the heart to find peace,To find peace in one's heart
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,"The idiom ""दिमाग खराब कर देना"" means to cause someone to think or act in a negative or irrational way, often through manipulation or trickery."
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The brain gets stuck in a place
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,"Native English Translation: ""To plant an idea in someone's head"
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,"The idiom ""दिमाग गुम होना"" means that someone is thinking deeply or intensely about something, often to the point where they are not paying attention to their surroundings or other people."
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,Have an idea suddenly come to mind.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,He was so angry that his teeth were gnashing.
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To work with one's teeth
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,"The idiom ""दाँतों तले अंगुली दबाना"" means ""to put one's foot down"" in Hindi, which refers to firmly asserting one's position or making a decisive decision, often in a confrontational or authoritative manner."
जुबान बंद कर देना,to silence someone completely,to shut the tongue,Keep it terse and faithful to each component.
जुबान काट लेना,to regret words spoken,to bite the tongue,Cut off the head
जुबान कसना,to rebuke harshly,to tighten the tongue,To make a big deal out of something that is not important or significant.
