src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,"A deep and secluded forest, far from civilization."
深入浅出,Explain the profound in simple terms,Explain in simple language,Simplify complex ideas for easy understanding.
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,深入人心
深文周纳,Frame and punish severely,Shen Wen Zhou Na,Deeply interpret and meticulously include.
混世魔王,Devil incarnate,Demon King of Chaos,A wild and unruly person.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Confuse black and white
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Confuse right and wrong.
混为一谈,Confuse something with something else,Mix it up,Mix things up.
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,To taste lightly and stop.
添枝加叶,Embellish a story,Add branches and leaves,"The man added unnecessary details to his story, which made it hard to understand."
添砖加瓦,Do one's little bit,Add bricks and mortar,"The idiom 添砖加瓦 (tiān zhuān jiā wǎ) means to contribute to something, often in a small way, like adding tiles or bricks to a building. The idiom is used to describe someone who is making a small contribution to a larger project or effort."
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,Add oil and vinegar
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,"涣然冰释 (huàn rán bīng shì) means ""to be at ease and at peace"" or ""to be at one's ease."" It is often used to describe a situation where tensions or conflicts have been resolved and everyone is now at ease."
游刃有余,Be move than equal to a task,Do it with ease,"游刃有余 - to handle a situation or task with ease and skill, as if there is plenty of room to maneuver and no obstacles."
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,"In muddy water, fish can be scooped up."
浑然一体,An integral whole,All in one,Everything is connected and unified as one whole.
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Warm the old and know the new.
沧海横流,The changes and disorders of the times,Across the sea,The sea is vast and the waves are high
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A grain of sand in the vast sea.
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,"灭此朝食 (mèi cǐ cháo shí) - ""To destroy the enemy's army for breakfast"" or ""To wipe out the enemy completely."
滴水成冰,Freezing cold,Dripping into ice,The idiom 滴水成冰 means that even a small amount of water will freeze and turn into ice. It is often used to describe extreme coldness or the rapid freezing of water.
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits","Pride goes before a fall, humility brings benefit."
满城风雨,Become the talk of the town,Wind and rain all over the city,Full city wind and rain
泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,A woman who is very angry and is shouting and cursing in public.
滥竽充数,Just to fill up a vacancy,Excessive use of data,滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽充数 =滥竽
火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Fire on the stove
火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,"火树银花 is an idiom that describes a scene of dazzling lights and colorful decorations, often associated with festive occasions or celebrations. It is derived from the imagery of trees adorned with fire and silver flowers, creating a spectacular display of light and color. This idiom is used to convey a sense of grandeur, excitement, and festive atmosphere."
乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,He's just a figment of your imagination.
烈火见真金,True blue will never stain,Fire sees real gold,"The idiom ""烈火见真金"" can be translated as ""Only the true gold will stand out in a fire."
烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,To obscure the moon with clouds (or to obscure the moon with clouds)
无米之炊,Make bricks without straw,Cooking without rice,No rice to cook with
无风不起浪,Theres no smoke without fire,"No wind, no wave",No wind does not raise waves
无风起浪,Make trouble out of nothing,No wind and waves,"It's raining cats and dogs, but there's no wind."
无敌于天下,Unmatched anywhere in the world,Invincible in the world,"The idiom ""无敌于天下"" can be translated to the English phrase ""unbeatable in the world"" or ""invincible."
无功受禄,Get a reward without deserving it,Reward without merit,"The literal translation does not convey the idiomatic meaning of ""无功受禄."" Instead, it simply states that there is no reward without merit. However, the idiomatic expression ""无功受禄"" is more nuanced and carries a negative connotation, implying that someone is taking advantage of others or benefiting from their actions without any effort or contribution on their part."
无计可施,Utterly without resources,Nothing can be done,"The idiom ""无计可施"" means ""to have no solution or way out."" It implies that one is unable to find a way to solve a problem or achieve a goal. The idiom suggests that there are no effective strategies or methods available to address the situation."
无济于事,Useless,To no avail,"The phrase ""it doesn't make any difference"" or ""it won't help at all"" is used to express that an action or effort is futile or ineffective."
无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,Nothing is too small or insignificant to warrant attention or action.
无事生非,Create problems where none exists,Much Ado About Nothing,No cause for alarm.
无所适从,With no definite plan to follow,At a loss,I'm in a pickle. I don't know what to do.
无恶不作,Commit all manner of crimes,Do no evil,The person is not doing anything bad.
无以复加,In the extreme,Can't be added,There is nothing more to add.
无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root","This project is like water without a source, it lacks a solid foundation and cannot sustain itself."
无缘无故,For no reason at all,For no reason,Without any reason or cause.
无庸赘述,It's unnecessary to go into details,Needless to say,It's self-evident; there's no need to elaborate.
烟消云散,Disappear in a flash,Disappear into smoke,"The situation has been resolved, and there is no trace of it anymore."
煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,Cooking the crane and burning the zither
照猫画虎,Imitate,Draw cats and tigers,"He tried to follow the example of his hero, but ended up doing it all wrong."
茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other","Lonely and isolated, with only my shadow to console me."
煽风点火,Instigate,Fan the flames,Stir up the wind and ignite the fire.
熟视无睹,Ignore,Turn a blind eye,I've become so used to this that I don't even notice it anymore.
燕巢幕上,Precarious,Swallow's Nest on the Curtain,"He's always building his nest on the curtain, always being so careful and cautious."
争权夺利,Scramble for power and profit,Scramble for power,"A native speaker might say, ""We need to work together to achieve our goals without resorting to power struggles."
争长论短,Squabble,Debating long and short,Argue about who is better.
为民请命,Plead in the name of the people,Pray for the people,On behalf of the people to plead for mercy
为非作歹,Break the law,To do evil,To do evil and commit crime.
为富不仁,Be rich and cruel,For the rich,"To be rich and not be kind"" is a natural English translation of the Chinese idiom ""为富不仁."
为虎傅翼,Assist an evil-doer,Fu Yi for the tiger,"The idiom ""为虎傅翼"" can be translated as ""to assist or support a tyrant or evil person, giving them more power or influence."
为虎作伥,Help a villain do evil,Play for the tiger,To be a伥 for a tiger
为丛驱雀,Drive one's friends to the side of the enemy,Drive the sparrows,"He was always trying to drive away crows from the bush, but in the process, he ended up creating a bigger problem."
为所欲为,Have (or get) one's own way,Do whatever you want,"The person was able to ""为所欲为"" and do whatever they wanted without any restrictions."
为渊驱鱼,Drive one's friends to the side of the enemy,Drive fish for the abyss,"To drive fish into a pond, to drive birds into a thicket."
墙倒众人推,Everybody bits a man who is down,The wall is pushed down,"The idiom ""墙倒众人推"" means that when a person or a group of people is in trouble, others will take advantage of the situation and push them down. It implies that people will take advantage of a situation or someone's misfortune to their own benefit."
片甲不留,The army is completely wiped out,No armor left,Keep it terse and faithful to each component.
片瓦无存,Be razed to the ground,No tiles left,Not a single tile remains.
牛头不对马嘴,Incongruous,The bull's head is not the horse's mouth,"The literal translation of 牛头不对马嘴 is ""The bull's head does not match the horse's mouth."" However, in English, the idiomatic sense is more commonly used to describe someone who is speaking incoherently or confusingly."
牛鬼蛇神,Monsters and demons of all descriptions,Bull ghosts and snakes,"The phrase ""cattle ghosts and snake gods"" is not a common or natural English idiom. A more appropriate translation would be ""strange people"" or ""eccentric individuals."
牵一发而动全身,A slight move in one part may affect the situation as a whole,Pull one hair and move the whole body,"The idiom 牵一发而动全身 can be translated as ""Pulling a single hair moves the whole body"" in English."
狗急跳墙,(of evils) will take desperate measures if pushed to the wall,Dog jumping off the wall,"The idiom 狗急跳墙 (gǒu jí tiào qiáng) means ""to panic and act rashly"" or ""to resort to desperate measures"" when one is in a difficult situation. It is often used to describe someone who is so desperate that they take extreme actions, often to the point of breaking the rules or losing control."
狗血喷头,Let loose a stream of abuse (against somebody),Dog blood sprinkler,"The idiom ""狗血喷头"" (gǒu xuě pēn tóu) can be translated to ""to spill blood like a dog"" or ""to spill blood like a dog's head"" in English. It is used to describe a situation where someone is being overly dramatic or emotional, often in a way that is exaggerated or excessive."
狐假虎威,Take advantage of the influence of others,Fox fake tiger power,狐假虎威 (hú jiǎ hǔ wēi)
狐群狗党,A gang of scoundrels,Fox and Dog Party,Fox group dog party
狡兔三窟,A crafty person has more than one hideout,Three Caves of Crafty Rabbit,A clever rabbit has three dens.
狭路相逢,(of adversaries) meet face to face on a narrow path,Meet by narrow road,"In narrow paths, the brave one wins."
独霸一方,Be a local despot,Dominate one side,"The idiom 独霸一方 can be translated as ""to dominate a region or area"" or ""to have complete control over a specific area or region."
独木不成林,Unable to do (or it cannot be done) single-handed,A single tree does not make a forest,"The idiom ""独木不成林"" means that one person or thing cannot stand alone and must be part of a larger group or community to succeed. It emphasizes the importance of teamwork and collaboration in achieving success."
独夫民贼,Autocrat and traitor to the people,Single husband and thief,"The idiom ""独夫民贼"" refers to a tyrant who oppresses the people."
独占鳌头,Head the list of successful candidates,Come out on top,"The idiom 独占鳌头 (dú zhàn áo tóu) can be translated as ""to be the first in a competition or contest"" or ""to be the top of the heap."" It is often used to describe someone who has achieved the highest rank or position in a particular field or competition. The idiom is derived from the story of the Chinese emperor who, during a competition, had a crown placed on the head of the person who came in first place. The person who won the competition was then referred to as ""the one who has the crown on their head,"" or ""the one who has the top spot."
率由旧章,Follow the beaten track,Rate by old chapter,To follow old rules or customs
玉不琢，不成器,Jade requires chiseling - as man needs training and discipline,"Jade is not cut, not a device","Jade not polished, cannot become a utensil/tool."
玩火自焚,Whoever plays with fire gets burnt,Play with fire,"Playing with fire and burning yourself"" is a natural English translation of the Chinese idiom ""玩火自焚."
珠圆玉润,Excellent singing or polished writing,Pearl Round Yurun,The stone was as smooth as a pearl and as lustrous as jade.
班门弄斧,Show off in the presence of an old hand,Ban door axe,To play with a grandmaster's tools.
瑕不掩瑜,The defects cannot obscure the virtues,Flaws do not hide beauty,"Even if there are flaws, they do not cover up the beauty."
瑕瑜互见,Have both strong and weak points,Xia Yu meet each other,Both have their flaws and merits.
瑞雪兆丰年,Winter snow signifies a year of good crops,Ruixue Mega Year,A timely snow heralds a good harvest.
璞玉浑金,Unadorned beauty,Raw jade and gold,Unpolished Jade and Unshaped Gold
瓜田李下,Be found in a suspicious position,Melon Field Lixia,"In the fields of grapes and under the shade of plums, one's actions are easily seen or exposed, often implying that one's behavior is being scrutinized or observed by others."
瓦釜雷鸣,An unworthy man in a high position,Wah Kettle Thunder,"The idiom ""瓦釜雷鸣"" is used to describe a situation where a simple or unimportant person or thing is causing a lot of noise or attention, while a truly great person or thing is ignored or overlooked."
瓮中之鳖,(like) a rat in a hole,Turtle in a urn,A turtle in a pot
瓮中捉鳖,A sure catch,Catching turtle in urn,Catch a turtle in a jar.
甘拜下风,Willingly acknowledge defeat,Gan Bai downwind,"The idiom ""甘拜下风"" means to humbly admit defeat or to acknowledge someone's superiority. It is often used to express respect or admiration for someone who is better than oneself."
甘之如饴,Gladly endure hardships,Sweet as candy,"The idiom ""甘之如饴"" means to enjoy something so much that it is as sweet as honey. It is often used to describe someone who is willing to endure hardship or sacrifice for something they deeply value."
甚嚣尘上,Making a lot of noise,All over the place,Very noisy and dust-filled
生米煮成熟饭,What's done can't be undone,Uncooked rice cooked rice,The idiomatic sense is more appropriate for conveying the meaning of the idiom in English.
生于忧患，死于安乐,"Life springs from sorrow and calamity, death comes from ease and pleasure","Born in trouble, die in peace","Born from anxiety, die from comfort."
用兵如神,Be a superb military commander,Use soldiers like gods,He's a military genius.
男盗女娼,Behave like thieves and whores,Male thief female prostitute,"The idiom ""男盗女娼"" (Nán dào nǚ chǎng) can be translated into English as ""male thief, female prostitute"" or ""double standard."
留得青山在，不怕没柴烧,While there is life there is hope,"Where there is life, there is hope","Keep the green mountain alive, and there will be no shortage of firewood."
毕其功于一役,Accomplish the whole task at one stroke,Completed in one battle,Complete the task in one stroke.
