src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep Mountain Old Forest
深入浅出,Explain the profound in simple terms,Explain in simple language,The idiom 深入浅出 means to explain complex ideas or concepts in a way that is easy to understand for people of all levels of education.
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,深入人心 (shēn rù rén xīn)
深文周纳,Frame and punish severely,Shen Wen Zhou Na,Deeply interpret and meticulously cover
混世魔王,Devil incarnate,Demon King of Chaos,A troublemaker in the world.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,"The idiom 混淆黑白 (hùn xiáo bái hēi) means to confuse or mix up right and wrong, or to make a mistake in distinguishing between right and wrong. It implies that someone is unable to differentiate between right and wrong, or that they have made a mistake in their judgment."
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,混淆是非 (hùn xiáo shì fēi)
混为一谈,Confuse something with something else,Mix it up,Mix things up and talk (hùn wéi yī tán)
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,"A native speaker might say, ""I tried the new restaurant, but I just had a quick bite and didn't really explore the menu."
添枝加叶,Embellish a story,Add branches and leaves,"The idiom 添枝加叶 (tiān zhī jiā yè) means to add unnecessary details or embellishments to something, often to make it seem more complex or elaborate than it actually is. It is used to criticize someone for adding unnecessary information or making things more complicated than they need to be."
添砖加瓦,Do one's little bit,Add bricks and mortar,"The idiom ""添砖加瓦"" (tiān zhuān jiā wǎ) is used to describe someone who contributes to the building of a structure, whether it's a project, a community, or a society. It is often used metaphorically to describe someone who helps others but does not receive much recognition for their efforts."
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,"The idiom 添油加醋 means to add extra details or embellish a story or event. It implies that someone is adding more to the original account, often making it more dramatic or interesting."
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,"涣然冰释 means ""to be completely reconciled or forgiven."" It is used to describe a situation where two parties have resolved their differences and have a peaceful relationship again. The idiom is often used to describe the end of a conflict or disagreement."
游刃有余,Be move than equal to a task,Do it with ease,"A native speaker would say ""I have a lot of experience, so I can handle this project with ease."
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,Take advantage of a situation where there is confusion or chaos to gain an unfair advantage or benefit.
浑然一体,An integral whole,All in one,"The idiom 浑然一体 can be translated to ""to be in perfect harmony or unity"" in natural English."
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Reviewing old things to gain new knowledge
沧海横流,The changes and disorders of the times,Across the sea,"The idiom ""Cang Hai Xiang Liu"" is often used to describe a time of great change or upheaval, as if the sea is in a state of constant movement and change."
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A grain of sand in the vast sea.
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,"Destroy the enemy's forces completely, leaving them with nothing to eat."
滴水成冰,Freezing cold,Dripping into ice,Drops of water become ice.
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",满招损，谦受益
满城风雨,Become the talk of the town,Wind and rain all over the city,Full city wind and rain.
泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,泼妇骂街 (pō fù mà jiē)
滥竽充数,Just to fill up a vacancy,Excessive use of data,"滥竽充数 (luàn yú chōng shù) means ""passing off fake instruments as real ones."
火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Add fuel to the fire
火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,"The idiom ""火树银花"" describes a dazzling and festive atmosphere during Chinese New Year or other festive occasions."
乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,Mr. Ugly Man
烈火见真金,True blue will never stain,Fire sees real gold,"The idiom ""烈火见真金"" is often used to describe situations where people's true nature is tested and shown in the face of adversity."
烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,烘云托月 (hōng yún tuō yuè)
无米之炊,Make bricks without straw,Cooking without rice,"The idiom ""无米之炊"" means ""to make something without the necessary ingredients"" or ""doing something without the necessary resources or ingredients."
无风不起浪,Theres no smoke without fire,"No wind, no wave","The idiom ""无风不起浪"" is often used to warn against dismissing small events or incidents as insignificant, as they may have unintended consequences."
无风起浪,Make trouble out of nothing,No wind and waves,No wind raises waves
无敌于天下,Unmatched anywhere in the world,Invincible in the world,He is unbeatable in the world.
无功受禄,Get a reward without deserving it,Reward without merit,"No merit, receive reward"
无计可施,Utterly without resources,Nothing can be done,"The phrase ""无计可施"" is a natural and idiomatic way to express that there is no solution or way out of a problem. It is commonly used in situations where someone is facing an insurmountable obstacle or challenge."
无济于事,Useless,To no avail,"The natural English translation of ""无济于事"" is ""No help at all."
无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,"A native speaker would say: ""No matter what the occasion, it's always a good time to visit the temple."
无事生非,Create problems where none exists,Much Ado About Nothing,"He's always looking for trouble, creating non-existent problems."
无所适从,With no definite plan to follow,At a loss,I'm in a pickle. I don't know what to do.
无恶不作,Commit all manner of crimes,Do no evil,He's an absolute scoundrel who does no good and does no evil.
