src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,आपकी आयु की आवश्यकता है।
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To hold on to one's principles or beliefs firmly.
पैर रोक लेना,to hesitate before action,to hold back the foot,Keep it terse and faithful to each component.
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,Keep it terse and faithful to each component.
मुँह बंद कर देना,to silence completely,to shut the mouth,I won't be able to keep my mouth shut about this.
मुँह चलाना,to speak unnecessarily,to run the mouth,Don't open your mouth
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,To put a mouth on the head like putting hair on the head
मुँह मीठा होना,to taste success,for the mouth to become sweet,"To be charming or alluring, especially in a way that makes people want to listen to you or be around you."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,"To keep it terse and faithful to each component, no commentary, just the literal gloss."
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,To talk without thinking
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To give someone a hard time or to make them feel uncomfortable.
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To have rhymes on one's head.
दिल में जगह बनाना,to win affection,to make a place in the heart,The one who doesn't know how to make room in his heart doesn't know how to talk.
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To feel the pain in the heart
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,"दिल में खटका होना: ""To have a hiccup in one's heart"
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,"To keep it terse and faithful to each component, no commentary, just the literal gloss."
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,जानकारी लेना (dil ki gharraai se jaanakari lena)
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart melts.
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,"The idiom ""दिल बाग़-बाग़ होना"" means that someone's heart is filled with many emotions or feelings. In Hindi, it is often used to describe a person who is overwhelmed with emotions or feelings."
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,Keep it terse and faithful to each component.
दिल को सुकून मिलना,to find peace,for the heart to find peace,To find inner peace.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To make someone's brain bad
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The brain gets stuck in a place.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,To put a bone in one's head.
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,I'm feeling a bit lost and my mind is blank.
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,To lose one's mind or go crazy.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,The teeth chattering
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To work with all one's teeth
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,To press the teeth with the finger
जुबान बंद कर देना,to silence someone completely,to shut the tongue,"To take away the veil"" or ""remove the mask"
जुबान काट लेना,to regret words spoken,to bite the tongue,To cut off the head
जुबान कसना,to rebuke harshly,to tighten the tongue,"The idiom ""जुबान कसना"" can be translated to ""to cut off the source of water"" or ""to stop the flow of something"" in English."
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,Keep it brief and faithful to each part.
जुबान पर ताला,to keep secrets locked,a lock on the tongue,To put a nail in the coffin.
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,"The idiom ""जुबान फिसल जाना"" can be translated to ""to lose one's temper"" in English."
जुबान सरक जाना,to misspeak,for the tongue to slide,"To keep it terse and faithful to each component, no commentary, just the literal gloss."
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,To keep the sugar in the jug
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,To keep the bloodline intact.
पसीना रोकना,to relieve effort,to stop sweat,"Keep it simple and true to each part. No commentary, just the literal translation."
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),"The idiom ""पसीने-पसीने होना"" is a natural English idiomatic translation of ""To be as thin as a reed,"" which means to be very careful and cautious, as if one is constantly watching their every move."
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,सीने में दर्द होना is a Hindi idiom that means to feel pain or discomfort in one's heart or soul.
सीने में जलन होना,to feel envy,to have burning in the chest,"सीने में जलन होना (sīnē mein jalana) means to be in a state of boiling, often used to describe someone who is extremely agitated or upset."
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,"The phrase ""सीने में लावा उठना"" can be translated to ""to rise from the screen"" or ""to come back from the digital grave,"" which is a humorous way of saying that someone has miraculously returned to life after being deceased."
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,To have a problem or issue that is causing stress or discomfort.
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,"He caused a lot of trouble for his boss, and now he's in trouble himself."
रंग दिखाना,to reveal true colors,to show color,"To show color is very easy, but to change color is very difficult."
रंगीन होना,to enjoy life freely,to become colorful,"The phrase ""बारी की जानी जानी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी बारी की बारी"
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,The color faded.
रंग उड़ना,to fade away,for the color to fly/fade,To fly colors
रंग जमना,to gain traction,for color to set,रंग जमना रंग बिलकुल बिलकुल नहीं
रंग लगना,to start celebrating,to have color applied,"The idiom ""rang lagana"" means to be affected by or influenced by something. It is used to describe the impact or effect that something has on a person or situation."
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,"In color, color is known"
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,Be careful everywhere.
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,"To be honest and straightforward, without any pretense or deceit."
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,"To focus one's mind"" or ""To concentrate one's thoughts"
अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,"The grapes are sour, but the picture is very big."
अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,"The idiom ""अपनी डींगे हाँकना"" means to be stubborn and refuse to change one's mind or opinion, despite evidence or reasoning to the contrary."
अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
अपना राग अलापना,to talk only about oneself,to chant one’s own tune,Do not express your anger.
अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,Keep it brief and faithful to each component.
अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,Keep it in the dark.
अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,To accept and acknowledge one's own mistakes.
अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune","Your own way, your own anger, don't want to be."
अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,"A natural English idiomatic translation: ""To lose one's sense of proportion"
अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,"The idiom ""अक्ल घास चरने जाना"" can be translated as ""to wander with one's mind like grass."
अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,To put a tilak on a blind person's hand
अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,Keep it terse and faithful to each component.
अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,The darkness of a piece of wood.
अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,To take something that is not needed or useful.
अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,The eye of the blind did not open.
अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,A dark bread is a sweet bread.
"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes","He heard the name of the blind man, but didn't see with his own eyes."
"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,नहीं खुलनेवाली बात है।
अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,To keep something hidden or secret in a dark place.
