src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep mountains and dense forests.
深入浅出,Explain the profound in simple terms,Explain in simple language,The idiom 深入浅出 means to explain something in a way that is easy to understand but still covers all the necessary details.
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,深入人心 (shēn rù rén xīn)
深文周纳,Frame and punish severely,Shen Wen Zhou Na,Deeply scrutinize and meticulously cover up.
混世魔王,Devil incarnate,Demon King of Chaos,混世魔王 is a troublemaker.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,He's confusing black and white
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Mixing up right and wrong
混为一谈,Confuse something with something else,Mix it up,"Mixing things up"" or ""Confusing ideas"
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,"浅尝辄止 (qiǎn cháng zhé zhǐ) means ""to taste lightly and stop"" or ""to take a superficial look at something."" It implies that one does not delve deeply into a subject or topic, but rather takes a brief and superficial look at it."
添枝加叶,Embellish a story,Add branches and leaves,Add unnecessary details or embellishments to something.
添砖加瓦,Do one's little bit,Add bricks and mortar,Faithful translation: Add bricks and tiles (to a building)
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,"Add extra details or embellishments to a story or event, often exaggerating or distorting the truth."
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,"涣然冰释 can be translated to ""all doubts and misunderstandings are cleared up"" or ""all suspicions are removed."
游刃有余,Be move than equal to a task,Do it with ease,"游刃有余 can be translated as ""cutting with ease"" or ""having enough space to maneuver,"" which means to handle or deal with something effortlessly, with plenty of room to do so."
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,To take advantage of a situation or opportunity without any effort or planning.
浑然一体,An integral whole,All in one,"Merge into one"" or ""Blend together"
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Learn from past experiences to gain new insights or understanding.
沧海横流,The changes and disorders of the times,Across the sea,A great flood sweeping across the sea.
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A grain of sand in the vast sea.
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,"灭此朝食 means ""to destroy one's own army or resources to achieve a goal."
滴水成冰,Freezing cold,Dripping into ice,"The idiom ""滴水成冰"" is often used to describe how a small amount of something can have a big impact or effect. It's like saying that even a small drop of water can freeze into ice, which is a metaphor for how something that seems insignificant can have a significant impact or effect."
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits","Overconfidence can lead to loss, while humility brings benefits."
满城风雨,Become the talk of the town,Wind and rain all over the city,"The idiom ""满城风雨"" is often used to describe a situation where news or events are widely known and discussed, like a storm or a sudden change in weather."
泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,"A woman who is loud and abusive, often in public places like the streets."
滥竽充数,Just to fill up a vacancy,Excessive use of data,To pretend to be knowledgeable or skilled when in fact one is not.
火上加油,Add fuel to the flames (or fire),Pour oil on the flame,To add fuel to the fire
火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,Firetree Silverflower
乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,Mr. No-Existence
烈火见真金,True blue will never stain,Fire sees real gold,Hot fire shows true gold
烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,(hōng yún tuō yuè)
无米之炊,Make bricks without straw,Cooking without rice,Nothing to cook with
无风不起浪,Theres no smoke without fire,"No wind, no wave",There is no reason for the storm.
无风起浪,Make trouble out of nothing,No wind and waves,No wind makes waves
无敌于天下,Unmatched anywhere in the world,Invincible in the world,To be the best or most powerful in the world.
无功受禄,Get a reward without deserving it,Reward without merit,"The natural English translation of ""无功受禄"" is ""No merit, no reward."
无计可施,Utterly without resources,Nothing can be done,"I've tried everything, but I'm at a loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm at a complete loss. I'm"
无济于事,Useless,To no avail,No help at all.
无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,"The idiom ""无事不登三宝殿"" means ""there is nothing that does not happen at the Three Holy Palaces."" It is often used to describe a situation where something unexpected or unusual happens. The literal translation of the idiom is ""There is nothing that does not happen at the Three Holy Palaces."" However, it is important to note that the idiom is a metaphorical expression and not a literal description of a physical location."
无事生非,Create problems where none exists,Much Ado About Nothing,No reason to make a fuss
无所适从,With no definite plan to follow,At a loss,"The idiom 无所适从 is used to describe a situation where someone is unable to make a decision or choose between two or more options. It implies a sense of confusion or indecision, as if they are lost and unsure of which direction to take."
无恶不作,Commit all manner of crimes,Do no evil,Do no evil whatsoever.
无以复加,In the extreme,Can't be added,"A natural English idiomatic translation of ""无以复加"" is ""There is nothing more to add."
无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root","Water without a source, wood without a root"
无缘无故,For no reason at all,For no reason,Without any reason
无庸赘述,It's unnecessary to go into details,Needless to say,Keep it terse and faithful to each component.
烟消云散,Disappear in a flash,Disappear into smoke,"烟消云散 (yān xiāo yún sàn) is an idiom that means ""to disappear without a trace"" or ""to vanish completely."" It is often used to describe something that has vanished or disappeared, leaving no trace behind."
煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,Cook the crane and burn the zither
照猫画虎,Imitate,Draw cats and tigers,To draw a tiger by looking at a cat.
茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other","Lonely and isolated, with only my shadow to keep me company."
煽风点火,Instigate,Fan the flames,煽风点火 means to fan the flames or create a firestorm. It is often used to describe someone who is causing problems or disagreements between people.
熟视无睹,Ignore,Turn a blind eye,熟视无睹
燕巢幕上,Precarious,Swallow's Nest on the Curtain,The swallow's nest on the curtain
争权夺利,Scramble for power and profit,Scramble for power,"A natural English translation for ""争权夺利"" is ""to vie for power and wealth."
争长论短,Squabble,Debating long and short,"A natural English idiomatic translation of ""争长论短"" would be ""to argue about who is better."
为民请命,Plead in the name of the people,Pray for the people,To plead for the people's cause.
