src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,"बिना तोड़ने के बिना पैर धोना (par dhona bina todon ke bina) - ""To wash one's feet without removing them"
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,"The idiom ""पैर पकड़ लेना"" can be translated as ""to hold someone's hand tightly"" or ""to take someone's hand."" It is often used to describe a situation where someone is being held or controlled by another person."
पैर रोक लेना,to hesitate before action,to hold back the foot,To keep one's legs tied.
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"The idiom ""मुँह मोड़ लेना"" can be translated as ""to keep one's mouth shut"" or ""to not speak up."
मुँह बंद कर देना,to silence completely,to shut the mouth,Keep it terse and faithful to each component.
मुँह चलाना,to speak unnecessarily,to run the mouth,"The idiom ""मुँह चलाना"" means ""to speak out"" or ""to express oneself"". It is used to describe someone who is speaking openly and honestly, without holding back or being evasive."
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,"The idiom ""मुँह लगाना"" means ""to speak out"" or ""to express oneself"". It implies that someone is making a statement or expressing an opinion."
मुँह मीठा होना,to taste success,for the mouth to become sweet,मुँह मीठा होना अपने दोस्तों के साथ बात करने के लिए आवश्यक है।
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,To keep it concise and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To keep it brief and faithful to each part.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,"to talk too much"" or ""to be verbose"
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To give someone a lecture.
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,The words on the forehead fall
दिल में जगह बनाना,to win affection,to make a place in the heart,"The idiom ""दिल में जगह बनाना"" means to make room in one's heart or to accommodate someone or something in one's heart. It implies that someone is willing to accept or tolerate someone or something even if it is difficult or uncomfortable."
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To feel intense pain or suffering in one's heart.
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,To have a heart attack
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Keep it terse and faithful to each component.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,From the depths of the heart.
दिल हिल जाना,to be shaken emotionally,for the heart to shake,"The heart is melted, the heart is melted."
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart is like a garden of gardens.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,दिल टूटकर रह जाना means to lose one's heart or to become emotionally overwhelmed. It is used to describe a situation where someone is so moved by something that they lose their ability to think or react rationally.
दिल को सुकून मिलना,to find peace,for the heart to find peace,To find peace of mind or a sense of calmness in one's heart.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To make someone's mind foggy.
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The brain area becomes confused.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Put a lump of coal in your head
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,"A native speaker would say ""I'm feeling so confused, my mind is blank."
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,The brain's windpipe blows out.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,"The literal translation of ""दाँत किटकिटाना"" is ""The teeth are gnashing."
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To work with a toothless mouth
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,"To be very careful and cautious, as if one's teeth are on the edge of the floor and one's fingers are on the edge of the table."
जुबान बंद कर देना,to silence someone completely,to shut the tongue,To shut the door on oneself.
जुबान काट लेना,to regret words spoken,to bite the tongue,"To cut off the head"" or ""To take the top"
जुबान कसना,to rebuke harshly,to tighten the tongue,"The idiom ""to cut off the source of water or support"" can be translated as ""to break a camel's hump,"" which implies that someone or something is being deprived of their resources or support, leaving them without any means of survival."
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,The true form of the jewel is a market of genuine diamonds.
जुबान पर ताला,to keep secrets locked,a lock on the tongue,To put a needle in a haystack.
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,The pearl falls off.
जुबान सरक जाना,to misspeak,for the tongue to slide,"The idiom ""जुबान सरक जाना"" means ""to be taken in"" or ""to be deceived"" in Hindi. It is often used to describe someone who is easily fooled or tricked."
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,To hold onto something valuable or to keep something close to one's heart.
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,To keep the bloodline intact.
पसीना रोकना,to relieve effort,to stop sweat,Keep it concise and faithful to each part.
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),"The result is a short English phrase that a native speaker would actually say: ""To be very careful and cautious, like a snake crawling slowly and carefully."
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,"The idiom ""सीने में दर्द होना"" means ""to have a headache"" in Hindi. It is used to describe a feeling of discomfort or pain in the head."
सीने में जलन होना,to feel envy,to have burning in the chest,The well should not be lit
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,"The idiom ""सीने में लावा उठना"" is a natural English translation of the Hindi idiom ""to make a big fuss"" or ""to cause a commotion."" It is used to describe someone who is making a lot of noise or drama about something that is not important or does not require attention."
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,"सीने पर बोझ होना means ""to be stuck in a rut"" in English."
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,Fire breaks out in the stove.
रंग दिखाना,to reveal true colors,to show color,Show me the colors
रंगीन होना,to enjoy life freely,to become colorful,"The color should be bright, but not forever."
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,"The idiom ""रंग फीका पड़ना"" means ""to be in a bad mood"" or ""to be in a bad state of mind."" It is used to describe someone who is feeling unhappy, upset, or frustrated."
रंग उड़ना,to fade away,for the color to fly/fade,"Raise the volume or intensity of something, often in a noisy or loud manner."
रंग जमना,to gain traction,for color to set,Get oneself into a difficult situation.
रंग लगना,to start celebrating,to have color applied,"To be influenced by something, often in a positive or negative way."
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,To add more color to something.
