src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,To clean one's feet is not a small matter
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,पैर पकड़ लेना
पैर रोक लेना,to hesitate before action,to hold back the foot,To hold back one's laughter
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"To keep it terse and faithful to each component, no commentary, just the literal gloss."
मुँह बंद कर देना,to silence completely,to shut the mouth,Keep it terse and faithful to each component.
मुँह चलाना,to speak unnecessarily,to run the mouth,"मुँह चलाना means to speak or talk in a way that is not straightforward or honest, often used to describe someone who is trying to avoid saying something directly or being truthful."
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,Don't stick your tongue in your mouth.
मुँह मीठा होना,to taste success,for the mouth to become sweet,Keeping one's mouth sweet makes one's intelligence very good.
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,To keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,"To keep silent"" or ""To hold one's tongue"
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,"To talk a lot"" or ""To gossip"" or ""To spread rumors."
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To give someone a talking-to or a stern reprimand.
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,"To be overwhelmed by a situation or a person, to the point where one cannot think clearly or make rational decisions."
दिल में जगह बनाना,to win affection,to make a place in the heart,To make room in one's heart.
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To have thorns in one's heart
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,"The idiom दिल में खटका होना can be translated to ""to have a heart attack"" in English, but it is not a literal translation of the idiom. The idiom is used to describe a sudden emotional reaction or a change in one's mood or attitude, while ""to have a heart attack"" is a medical term for a sudden and severe heart attack."
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Keep it terse and faithful to each component.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,The depth of the heart will not come out.
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart melts.
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart is like a garden full of flowers.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,"The idiom ""दिल टूटकर रह जाना"" can be translated to English as ""to lose one's heart"" or ""to fall in love."" The literal translation ""To keep one's heart broken"" does not accurately convey the idiomatic meaning."
दिल को सुकून मिलना,to find peace,for the heart to find peace,To find peace of mind or tranquility.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To make one's brain bad
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,He was so engrossed in his work that he forgot to eat.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Put a burden on someone's mind or make them worry about something.
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,"The idiom ""दिमाग गुम होना"" means ""to be in a state of confusion or bewilderment."" It refers to a situation where someone is unable to think clearly or make sense of things due to being overwhelmed or perplexed."
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,To have an idea come to mind.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,"He was biting his nails, worrying about the upcoming exam."
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To keep it short and true to each part.
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,"To be very careful or cautious about something, as if you are afraid of getting hurt or causing trouble."
जुबान बंद कर देना,to silence someone completely,to shut the tongue,Keep it terse and faithful to each component.
जुबान काट लेना,to regret words spoken,to bite the tongue,जुबान काट लेना
