src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep Mountain Old Forest
深入浅出,Explain the profound in simple terms,Explain in simple language,Deeply into the shallow
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,The idiom 深入人心 means to have a strong and lasting impact on people's minds. It implies that something has left a deep impression or has been deeply ingrained in someone's thoughts or beliefs.
深文周纳,Frame and punish severely,Shen Wen Zhou Na,The idiom 深文周纳 (shēn wén zhōu nà) means to nitpick or to be overly meticulous in interpreting or applying the law or rules. It implies that someone is overly concerned with the details and is not willing to let things slide or make exceptions. This idiom is often used to criticize someone who is overly strict or pedantic.
混世魔王,Devil incarnate,Demon King of Chaos,A troublemaking person.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Confusing right from wrong or truth from falsehood.
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,混淆是非 means to confuse or mix up right and wrong.
混为一谈,Confuse something with something else,Mix it up,Confuse or mix up different things or ideas.
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,"The idiom ""浅尝辄止"" can be translated as ""to taste lightly and stop."
添枝加叶,Embellish a story,Add branches and leaves,"The idiom 添枝加叶 can be translated as ""to add unnecessary details"" or ""to embellish excessively."
添砖加瓦,Do one's little bit,Add bricks and mortar,"The idiom ""添砖加瓦"" can be translated to ""to contribute to something"" or ""to make a small contribution"" in English."
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,He always likes to add oil and vinegar to his stories.
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,涣然冰释
游刃有余,Be move than equal to a task,Do it with ease,Cutting with a sharp blade.
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,I'll just take advantage of this situation and get what I want.
浑然一体,An integral whole,All in one,"The idiom ""浑然一体"" means ""to be whole and integrated"" or ""to be in harmony."" It describes a situation where different parts or elements are seamlessly integrated into a single, unified whole."
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,"The idiom ""温故而知新"" is a Chinese idiom that means ""to review old knowledge to gain new insights."" It emphasizes the importance of revisiting and studying past knowledge to gain a deeper understanding and to discover new things."
沧海横流,The changes and disorders of the times,Across the sea,The Sea of Clouds Winding and Rolling
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A grain of sand in the vast sea.
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,灭此朝食 (mì dǐ zhāo shí)
滴水成冰,Freezing cold,Dripping into ice,滴水成冰 is an idiom that means something becomes extremely cold or frozen. It is often used to describe situations where something is extremely cold or frozen.
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits","Pride goes before a fall, humility brings success."
满城风雨,Become the talk of the town,Wind and rain all over the city,"A natural English translation of ""满城风雨"" is ""rumors are flying around the city."
泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,A woman who shouts and curses in public.
滥竽充数,Just to fill up a vacancy,Excessive use of data,滥竽充数 (làn yú chōng shù)
火上加油,Add fuel to the flames (or fire),Pour oil on the flame,火上加油
火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,"Fireworks and bright lights illuminate the night sky, creating a festive atmosphere."
乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,"A native speaker would say ""Mr. Nothing"" or ""Mr. Nothingness"" when referring to someone who is not real or does not exist."
烈火见真金,True blue will never stain,Fire sees real gold,Hot fire reveals true gold
烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,She's just puffing up clouds to make herself look better than she really is.
无米之炊,Make bricks without straw,Cooking without rice,"The idiom ""无米之炊"" is used to describe a situation where one lacks the necessary resources or materials to accomplish a task."
无风不起浪,Theres no smoke without fire,"No wind, no wave","The idiom ""无风不起浪"" can be translated to English as ""There is no such thing as a small incident."" This translation captures the essence of the idiom and emphasizes the idea that even the smallest event or occurrence can have significant consequences or implications."
无风起浪,Make trouble out of nothing,No wind and waves,"The idiom ""无风起浪"" means that a small thing or event can cause a big problem or trouble, even though it may not seem like it at first."
无敌于天下,Unmatched anywhere in the world,Invincible in the world,"The idiom ""无敌于天下"" means that someone is unbeatable by anyone in the world. It is often used to describe someone who is incredibly skilled or powerful."
