src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,To take a break from work or study and relax
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,(par pakad lena)
पैर रोक लेना,to hesitate before action,to hold back the foot,"The idiom ""पैर रोक लेना"" is used to describe someone who is trying not to show their emotions, especially when they are feeling sad or upset."
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,I'll keep my mouth shut on this matter.
मुँह बंद कर देना,to silence completely,to shut the mouth,To keep one's mouth shut or not to speak.
मुँह चलाना,to speak unnecessarily,to run the mouth,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,To put one's mouth on something
मुँह मीठा होना,to taste success,for the mouth to become sweet,It doesn't hurt to talk about your friends when you talk.
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To keep the mouth shut.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,"The natural English idiomatic translation is: ""He is always talking his mouth off."
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,"To give someone a lecture or a talk, often in a scolding or correcting manner."
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To have words fall on one's head
दिल में जगह बनाना,to win affection,to make a place in the heart,To make room in one's heart.
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To feel sharp pains in the heart
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,"The idiom ""दिल में खटका होना"" can be translated to ""to feel a pang of regret or remorse"" in English."
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,The depth of the heart cannot be seen from outside.
दिल हिल जाना,to be shaken emotionally,for the heart to shake,To have a heart attack
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,"The idiom ""दिल बाग़-बाग़ होना"" means that someone's heart is filled with many different emotions or feelings, like a garden with many different flowers and plants. It suggests that the person is experiencing a lot of different emotions or feelings at once."
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,To fall in love.
दिल को सुकून मिलना,to find peace,for the heart to find peace,To find peace of mind.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,"The idiom ""दिमाग खराब कर देना"" means to make someone's brain work hard or to challenge someone's intelligence. It implies that the person being addressed is being asked to think deeply or to solve a complex problem."
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The brain is stuck in a rut.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,"The idiom ""दिमाग पर बोझ डालना"" (Dimaag par bojh dalaana) means to put a thought or idea into someone's head, often used to describe someone who is stubborn or inflexible."
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,"दिमाग गुम होना means to be in a state of confusion or bewilderment, often due to a lack of understanding or clarity."
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,"I was stuck on the problem all morning, but suddenly an idea came to me and I solved it."
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,"The idiom ""दाँत किटकिटाना"" can be translated to English as ""to be scared of something"" or ""to be afraid of something."
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To take on a task beyond one's capabilities
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,"To be very careful and cautious about something, as if you are touching something delicate with your finger."
जुबान बंद कर देना,to silence someone completely,to shut the tongue,Keep it simple and straightforward.
जुबान काट लेना,to regret words spoken,to bite the tongue,To cut off one's nose to spite one's face.
जुबान कसना,to rebuke harshly,to tighten the tongue,To make someone feel uncomfortable or embarrassed by exposing their flaws or weaknesses in public.
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,To make three genuine parts of a jujube.
जुबान पर ताला,to keep secrets locked,a lock on the tongue,जुबान पर ताला रखना
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,"The idiom ""lose one's head"" is a natural English idiomatic translation of ""जुबान फिसल जाना""."
जुबान सरक जाना,to misspeak,for the tongue to slide,"The idiom ""जुबान सरक जाना"" means ""to be a person of great importance or influence."
