src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep forest or remote mountain area.
深入浅出,Explain the profound in simple terms,Explain in simple language,Deeply and clearly
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,"The phrase 深入人心 can be translated as ""deeply ingrained in the heart"" in English, but a more natural and idiomatic translation would be ""deeply ingrained in the mind."
深文周纳,Frame and punish severely,Shen Wen Zhou Na,"深文周纳 (shēn wén zhōu nà) means to nitpick or overanalyze something, often to the point of being overly critical or pedantic. It implies that someone is looking for minor details or flaws in a situation or argument, even if they are not relevant or significant. The idiom is often used to describe someone who is overly concerned with small details or who is being overly critical or pedantic. The literal translation of 深文周纳 (shēn wén zhōu nà) is ""Deeply scrutinize and meticulously cover up."
混世魔王,Devil incarnate,Demon King of Chaos,"Mingle in the world, demon king"
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Confuse Black and White
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,"The idiom 混淆是非 means to confuse right from wrong, often referring to confusing or misrepresenting facts or opinions. It implies a lack of clarity or understanding on the subject matter, and can be used to describe situations where people are not able to distinguish between right and wrong."
混为一谈,Confuse something with something else,Mix it up,Mix up and talk.
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,Take a shallow taste and stop.
添枝加叶,Embellish a story,Add branches and leaves,"Add unnecessary details or embellishments to something, often to make it seem more elaborate or impressive than it actually is."
添砖加瓦,Do one's little bit,Add bricks and mortar,Add bricks and tiles to the project.
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,"The idiom ""添油加醋"" means to add extra details or embellishments to a story or event, often exaggerating or adding unnecessary elements to make it more interesting or dramatic."
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,"The idiom 涣然冰释 can be translated as ""completely resolved"" or ""completely cleared up"" in natural English."
游刃有余,Be move than equal to a task,Do it with ease,Cutting with a blade that is sharp and flexible
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,"The idiom ""浑水摸鱼"" is used to describe someone who takes advantage of a difficult or confusing situation to benefit themselves."
浑然一体,An integral whole,All in one,"The natural English idiomatic translation for ""浑然一体"" is ""Everything is in perfect harmony and unity."
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Recalling old things to know new things.
沧海横流,The changes and disorders of the times,Across the sea,The sea is vast and the waves are horizontal.
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A grain of sand in the vast sea.
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,To destroy the enemy's army for breakfast.
滴水成冰,Freezing cold,Dripping into ice,"The idiom ""滴水成冰"" can be translated as ""a drop of water becomes ice"" in English."
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits","Overconfidence leads to loss, humility brings benefit."
满城风雨,Become the talk of the town,Wind and rain all over the city,"The idiom 满城风雨 means ""fierce and widespread public opinion or criticism"" and is used to describe a situation where news or events have spread widely and are being talked about everywhere."
泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,A woman who yells and curses at people in the street.
滥竽充数,Just to fill up a vacancy,Excessive use of data,To play the pipes to pass the test.
火上加油,Add fuel to the flames (or fire),Pour oil on the flame,(Huo Shang You Jiao)
火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,Fire trees and silver flowers do not know the night sky.
乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,A person who is not real or does not exist.
烈火见真金,True blue will never stain,Fire sees real gold,The idiom 烈火见真金 means that only the strong and true can withstand the test of time or adversity. It's like saying that only the most valuable and resilient things will survive in the face of intense heat or difficulty.
烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,Bake the clouds to support the moon
无米之炊,Make bricks without straw,Cooking without rice,"The natural English translation of ""无米之炊"" is ""to do something without the necessary resources or materials."
无风不起浪,Theres no smoke without fire,"No wind, no wave",No wind causes waves.
无风起浪,Make trouble out of nothing,No wind and waves,No wind raises waves
无敌于天下,Unmatched anywhere in the world,Invincible in the world,"This phrase is used to describe someone or something that is extremely powerful or skilled, and cannot be defeated by anyone or anything else."
无功受禄,Get a reward without deserving it,Reward without merit,"No merit, receive reward"
无计可施,Utterly without resources,Nothing can be done,无计可施
无济于事,Useless,To no avail,Doing nothing helps nothing.
无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,"No matter what, no matter how trivial, does not come to the Three Treasures Hall."
无事生非,Create problems where none exists,Much Ado About Nothing,No cause to make a fuss
无所适从,With no definite plan to follow,At a loss,I'm in a pickle. I don't know where to turn.
无恶不作,Commit all manner of crimes,Do no evil,No evil is left undone.
无以复加,In the extreme,Can't be added,"The idiom ""无以复加"" is used to describe something that is already at its maximum or highest level and cannot be improved upon."
无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root","The idiom ""无源之水，无本之木"" can be translated as ""Water without a source, tree without a root"" in English, but it is more commonly used to describe a situation where something lacks a foundation or basis, similar to water without a source or a tree without a root."
无缘无故,For no reason at all,For no reason,"Without cause, without reason."
无庸赘述,It's unnecessary to go into details,Needless to say,There is no need to elaborate.
烟消云散,Disappear in a flash,Disappear into smoke,烟消云散 means something has disappeared or vanished completely.
