src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,"She always washes her feet and puts her hair up, so she must be very clean and neat."
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To put someone on the spot.
पैर रोक लेना,to hesitate before action,to hold back the foot,To hold back one's feet
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To keep it short and true to each part.
मुँह बंद कर देना,to silence completely,to shut the mouth,Keep it terse and faithful to each component.
मुँह चलाना,to speak unnecessarily,to run the mouth,Keep it terse and faithful to each component.
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,Keep your mouth shut
मुँह मीठा होना,to taste success,for the mouth to become sweet,To be sweet-tongued is to be bad-tempered.
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,मुँह पीटना - To keep quiet.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,(muhh dhulvānā)
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,"The idiom ""माथे पर शिकन डालना"" is translated as ""to give someone a hard time"" or ""to make someone suffer."" It is used to describe a situation where someone is being treated badly or is experiencing a lot of difficulty or frustration. The idiomatic sense is that the person is being subjected to a lot of pain or discomfort."
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To have phrases on one's forehead
दिल में जगह बनाना,to win affection,to make a place in the heart,To carve out a space in one's heart
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To feel extremely nervous or anxious about something.
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,"The English translation of the idiom ""दिल में खटका होना"" is ""To have a heart attack."
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Keep it terse and faithful to each component.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,The depth of the heart
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart is melted.
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart is like a garden of gardens.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,"The idiom ""दिल टूटकर रह जाना"" means ""to keep one's heart broken"" in English."
दिल को सुकून मिलना,to find peace,for the heart to find peace,To find inner tranquility and resolve inner conflicts.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To make someone's mind confused
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The mind does not go to the location.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,"The idiom ""दिमाग पर बोझ डालना"" is a natural English idiom that means to put a thought or idea in one's mind, to think about it. It is used to describe the process of considering or contemplating something."
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,He was so confused that his mind was blank.
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,The brain's thoughts are scattered
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,दाँत किटकिटाना
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To work with a toothless mouth.
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,To press the teeth with a finger
जुबान बंद कर देना,to silence someone completely,to shut the tongue,Keep it brief and faithful to each component.
जुबान काट लेना,to regret words spoken,to bite the tongue,"The idiom ""जुबान काट लेना"" can be translated to ""to cut off the earlobe"" in English, but it is not commonly used and may not have a direct equivalent."
जुबान कसना,to rebuke harshly,to tighten the tongue,To take the essence or core of something.
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,There is no need to show off the real thing.
जुबान पर ताला,to keep secrets locked,a lock on the tongue,To put a nail in the coffin
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,"The idiom ""जुबान फिसल जाना"" means ""to lose one's temper"" in Hindi. It refers to losing control of one's emotions and losing one's patience due to frustration or anger."
जुबान सरक जाना,to misspeak,for the tongue to slide,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,To hold one's breath.
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,To keep the bloodline intact
पसीना रोकना,to relieve effort,to stop sweat,Keep it terse and faithful to each component.
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),चिंता और दुःख के निर्माण को विफल करना।
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,I have a headache.
सीने में जलन होना,to feel envy,to have burning in the chest,To burn in hell
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,"To be popular or well-known among a certain group of people, especially those who are educated or have a certain status."
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,To be in a difficult situation
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,"The idiom ""सीने में आग लगना"" is a Hindi phrase that means ""to get into trouble"" or ""to get into a mess."" It is often used to describe a situation where someone finds themselves in a difficult or embarrassing situation due to their actions or decisions."
रंग दिखाना,to reveal true colors,to show color,To show one's colors and reveal one's true nature.
रंगीन होना,to enjoy life freely,to become colorful,To remain colorful.
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,To keep it terse and faithful to each component.
रंग उड़ना,to fade away,for the color to fly/fade,रंग उड़ना (rang udrana) का अर्थ है कि कोई व्यक्ति अपने विचारों या कहने की तरह बिलकुल बिना तैयारी की अपनी तरह से बदल जाता है। यह एक आदिवासी शब्द है जो अपने विचारों या कहने की तरह बिलकुल बिना तैयारी की अपनी तरह से बदल जाता है।
रंग जमना,to gain traction,for color to set,Change the color of something to change its nature.
रंग लगना,to start celebrating,to have color applied,"The idiom ""रंग लगना"" (rang lagan) can be translated to English as ""to be influenced"" or ""to be affected"" by something, often in a positive or negative way."
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,Enough is enough.
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,अति सर्वत्र वर्जयेत् अर्थात् अनिवार्य वर्जन करना होता है।
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,"To get to the point"" or ""to be direct and to the point."
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,To focus one's attention or to concentrate on something.
अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,The grapes are sour.
अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,To keep one's mouth shut
अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,Keep your nose up.
अपना राग अलापना,to talk only about oneself,to chant one’s own tune,Don't let your anger get the better of you.
अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,To have a hand in the dark
अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,"अंधेरे में रखना अर्थात् ""अंधेरे में रखना"" एक शब्द समूह है जो अंधेरे में एक वस्तु को रखने के लिए एक विशेष रूप से काम करता है। इसमें शब्द ""रखना"" शामिल है जो एक वस्तु को एक वस्तु के बावजूद रखने का काम करता है। इसका अर्थ है कि आप एक वस्तु को अंधेरे में रखने के लिए एक विशेष रूप से काम करता है।"
अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,To consider one's own mistake as not being a mistake
अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune",Keep it terse and faithful to each component.
अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,I can't believe I lost my head and said that!
अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,To keep one's head down and move forward.
अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,Putting a tilak on the hands of people in the dark.
अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,Blindly Cut Radish
अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,The darkness does not make a lamp.
अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,To take advantage of someone's ignorance or lack of knowledge.
अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,Even the blind have opened their eyes.
अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,"The blind person has become so accustomed to the darkness that they have lost their sense of sight, and now look like the fair-skinned person who is well-known."
"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes","You can hear the name of the blind, but you cannot see with your own eyes."
"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,बनानी हैं।
अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,To keep something in the dark.
अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person,To enlighten the blind.
अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind,To show the road to the blind
अंधेरे में बैठना,to stay in ignorance,to sit in darkness,Sit in the dark.
अंधा धुन में लगे रहना,to do something mindlessly,to remain stuck in a blind fixation,"The idiom ""अंधा धुन में लगे रहना"" means to be stuck in a situation or a mindset where one cannot see the light or the solution to a problem. It implies being in a dark and unproductive state, like being in the dark about something or being unable to see the way forward."
अंधेरे में सुई खोजना,to attempt the impossible,to search for a needle in the dark,Searching for an oar in the dark.
अंधे के हाथ में दीपक,a resource wasted on the incapable,a lamp in a blind person’s hand,"अंधे के हाथ में दीपक लेना means ""to take a torch in the hands of the blind"" or ""to provide guidance to someone who is blind."
अंधा ऊँट सवारी करना,to take foolish risks blindly,to ride a blind camel,Riding a blind hen.
अंधेरे में रोशनी फैलाना,to spread awareness among the ignorant,to spread light in the darkness,To bring light into darkness.
अंधा राजा प्रजा अंधी,leader and followers both foolish,"blind king, subjects blind","The idiom ""अंधा राजा प्रजा अंधी"" can be translated as ""The blind king sees his subjects as blind."" This means that the king is so blind to the reality of his subjects' situation that he fails to see their true condition."
अंधे के भाग्य में चमक,to get lucky unexpectedly,a sparkle in the blind man’s fate,There is no light to shine in the darkness of fate.
अंधे को रास्ता न सूझना,to be completely lost,for a blind person not to perceive the path,"Don't be blinded by ignorance, don't be affected by the darkness of ignorance."
अंधा प्रेम करना,to love without reason,to love blindly,To have blind love
अंधे को हाथ का सहारा,a small help to someone in need,the hand’s support for a blind person,To give a blind man a stick.
अंधे की लाठी,only source of dependence,a blind man’s staff,To keep something hidden or to hide something from others.
अंधे को सपने में रोशनी दिखना,to imagine impossible hope,light appearing in a blind man’s dream,To offer hope or comfort to someone who is in despair or in a difficult situation.
अंधेरे में रहना,to be ignorant,to live/stay in darkness,अंधेरे में रहना (Adhne me rahein)
अंधेरे में रास्ता ढूँढना,to act without clear plan,to find a path in the dark,Searching for a way out of a difficult situation.
अंधेरे में छिपाना,to conceal wrong deeds,to hide in the dark,To hide in the dark
अंधा रेवड़ी बाँटे,favoring without fairness,the blind (man) distributes sweets,Split the blind eye.
अंधे की किस्मत,blind luck / chance success,the blind man’s luck,The luck of the blind refers to a fortunate situation despite lacking knowledge or understanding of the circumstances.
अंधे को रंग दिखाना,to try to explain the unexplainable,to show color to a blind person,To give the blind a chance to see.
"अंधे का नाम सुना, चेहरा नहीं देखा",heard about but never met,"heard the name, did not see the face",।
"अंधा क्या देखे, दो आँखें",one always desires what they lack,what can a blind see—(he needs) two eyes,"When the blind see, two eyes open."
अंधा गुस्सा करना,to get blindly angry,to do blind anger,To keep it terse and faithful to each component.
अंधेरे में डूब जाना,to fall into ignorance or despair,to sink into darkness,To be lost in the darkness
अंधे के भाग्य में छेद,to have perpetual bad luck,a hole in the blind man’s fate,"In the darkness of misfortune, to remain divided."
अंधे का भाग्य जागना,to get lucky suddenly,the blind man’s fortune awakens,The luck of the blind does not wake up.
अंधेरे में भटकना,to wander without direction,to wander in darkness,To stumble in the dark.
अंधा प्रेम अंधा परिणाम,blind love leads to trouble,"blind love, blind result",Dark love produces dark results.
अंधेरे में रहकर उजाला ढूँढना,to struggle for wisdom amidst ignorance,to seek light while staying in darkness,To seek light in the dark
अंधे के हाथ दीपक लगना,to get help at the right time,a lamp attaching to a blind man’s hand,"The idiom ""अंधे के हाथ दीपक लगना"" is used to describe someone who tries to help someone who is unable to see or understand what is being said or done."
अंधा भी रास्ता पहचान गया,even the unaware understood,even the blind recognized the way,Even the blind could find the path.
अंधेरे से डरना,to fear ignorance or truth,to fear darkness,Being scared in the dark
अंधे को सीधा रास्ता दिखाना,to guide righteously,to show the straight path to a blind person,To show the straight path to the blind
अंधेरे में दीप जलाना,to bring hope in darkness,to light a lamp in the dark,Trying to bring light to a dark situation
अंधेरे में ताकना,to look aimlessly,to gaze into the dark,"In the dark, to look for something."
अंधे को नजर आना,to gain realization unexpectedly,to become visible to a blind person,To keep an eye on the blind
अंधे का रास्ता रोकना,to block someone’s progress unjustly,to block the blind man’s path,To block the road of darkness.
अंधेरे में खोज करना,to explore with uncertainty,to search in the dark,"The literal English translation of the Hindi idiom ""अंधेरे में खोज करना"" is ""Searching for something in the dark."
अंधे की चड्डी चुराना,to mock the helpless,to steal a blind man’s underpants,Steal the darkness's net.
अंधे को दर्पण देना,to give something useless to someone incapable,to give a mirror to a blind person,To give a blind person a mirror.
अंधेरे का फायदा उठाना,to exploit ignorance,to take advantage of darkness,To make the benefit of darkness work
अंधेरे में झांकना,to peep into the unknown,to peep into the dark,To look in the dark
अंधेरे से बाहर आना,to come out of ignorance,to come out of darkness,"The natural English idiomatic translation for ""अंधेरे से बाहर आना"" is ""to come out of the dark."
अंधा राजा राज्य चलाना,incompetent leadership,a blind king running the kingdom,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
अंधे की झोपड़ी में रोशनी,to find hope where none was expected,light in the blind man’s hut,अंधे की झोपड़ी में रोशनी देना
अंधा काँटा निकालना,to help at personal risk,to remove a thorn blindly,To remove the blindfold from a blind person.
अंधा कानून चलाना,to enforce law without logic,to run/apply blind law,To operate under the blind law
अंधे को अंधेरे में छोड़ना,to abandon someone helpless,to leave the blind in darkness,Leave the blind in the darkness.
अंधेरे में रहना नहीं चाहिए,one should not stay ignorant,one should not stay in darkness,One should not stay in the dark.
अंधे को दिशा देनी चाहिए,to help the clueless find their way,one should give direction to a blind person,"The direction should not be given to the blind, but the direction should not be given to the blind."
अंधेरे से डरना नहीं चाहिए,one should not fear truth,one should not fear darkness,"Don't be afraid of the dark, but walk in it with courage."
अंधेरे में दीप जलाना अच्छा है,to bring light even when alone,it is good to light a lamp in the dark,To light a lamp in the dark is good.
धरती पर पैर रखना,to stay humble despite success,to place feet on the earth,To stand on one's own two feet
आसमान से गिरना,to lose everything suddenly,to fall from the sky,आसमान से गिरना (Aasamans se girana)
हवा में उड़ना,to daydream or be overconfident,to fly in the air,Fly in the air
पानी में रहकर मगर से बैर,to pick fights with powerful people,"living in water, enmity with the crocodile","The literal English translation of the idiom ""पानी में रहकर मगर से बैरी नहीं बोलता"" (Pānī me rahekar māg rāsē bōltaṁ nēhīṁ bōltaṁ) is ""Staying in water, the frog does not become a big fish."
खुशियों के झूले झूलना,to live in joy,to swing on swings of happiness,"To be in a state of constant happiness or joy, like leaves dancing in the wind."
रंगीन मिज़ाज होना,to be flirtatious or fun-loving,to have a colorful temperament,"The idiom ""रंगीन मिज़ाज होना"" means to have a lively or cheerful mood or atmosphere. It implies that someone or something is in a positive and energetic state."
दिल से खेलना,to toy with someone’s feelings,to play with the heart,"To play with the heart, to play with someone's emotions or feelings."
दिल का मामला,a romantic issue,matter of the heart,The matter of the heart
दिल बड़ा रखना,to be generous or forgiving,to keep the heart big,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
दिल छोटा मत करो,don’t lose hope,don’t make the heart small,Don't be too sentimental.
दिल लगाना और तोड़ना,to fall in and out of love,to attach the heart and break it,"The idiom ""दिल लगाना और तोड़ना"" can be translated as ""to put one's heart on one's sleeve."
दिल का बोझ हल्का करना,to share feelings and feel relieved,to lighten the heart’s burden,To lighten one's heart or make them feel more relaxed or at ease.
दिल से दिल का रिश्ता,a close emotional connection,heart-to-heart relationship,"The idiom ""दिल से दिल का रिश्ता"" can be translated to ""a bond of heart to heart"" or ""a connection of souls"" in Hindi. It refers to a deep emotional or spiritual connection between two people, often implying a strong bond that transcends physical distance or time."
दिल में आग लगाना,to provoke jealousy or passion,to set fire in the heart,To ignite one's heart.
दिल देना और लेना,to love and reciprocate,to give and take the heart,Give and take
दिल पर राज करना,to rule someone’s heart,to rule over the heart,To rule the heart.
दिल पर बोझ होना,to feel guilt or heaviness,to have a burden on the heart,"The idiom ""दिल पर बोझ होना"" can be translated to ""to have a heart attack"" in English."
दिमाग में खिचड़ी पकना,to overthink randomly,khichdi cooking in the mind,"The idiom ""दिमाग में खिचड़ी पकना"" can be translated as ""To have a headache"" or ""To be in a state of confusion or difficulty in understanding something."
