src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,To know how to wash one's feet
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,"He kept his hands off her, catching her by surprise."
पैर रोक लेना,to hesitate before action,to hold back the foot,Hold back the legs
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To keep one's mouth shut or to refrain from speaking.
मुँह बंद कर देना,to silence completely,to shut the mouth,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
मुँह चलाना,to speak unnecessarily,to run the mouth,Keep it terse and faithful to each component.
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,I can't say anything without opening my mouth.
मुँह मीठा होना,to taste success,for the mouth to become sweet,"The idiom ""मुँह मीठा होना"" means to be liked or appreciated by people, especially in a social or public setting. It implies that someone's words or actions are pleasing and well-received by others."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,"To keep it terse and faithful to each component, no commentary, just the literal gloss."
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Talks too much
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,"To try to convince someone by presenting them with a lot of information or arguments, but not necessarily making a strong case."
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,"The idiom ""माथे पर लकीरें पड़ना"" (Māthe par lakīre padhāna) means ""to have a lot of knowledge or information on one's mind."" It implies that someone is very knowledgeable or well-informed about a particular topic or subject."
दिल में जगह बनाना,to win affection,to make a place in the heart,Make room in my heart
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To have sharpness in the heart
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,To have a heart attack
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Experience or feel a sense of sadness or melancholy in one's heart.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,"The literal translation ""Does not sit outside the depth of the heart"" captures the essence of the idiom, but it may not fully convey the emotional depth and sincerity implied by ""दिल की गहराई से."
दिल हिल जाना,to be shaken emotionally,for the heart to shake,"The phrase ""The heart is lifted up"" is a natural English translation of the Hindi idiom ""दिल हिल जाना."
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart is like a garden filled with flowers.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,"The idiom ""दिल टूटकर रह जाना"" can be translated to English as ""to keep the heart broken"" or ""to be in a state of broken-heartedness."
दिल को सुकून मिलना,to find peace,for the heart to find peace,"If it's not good for the heart, then the heart will suffer."
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,"The literal English translation of ""दिमाग खराब कर देना"" is ""To make one's brain go bad very quickly."
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The brain area gets stuck
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,"To put a burden on one's mind"" or ""To add to someone's mental load."
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,"The idiom ""दिमाग गुम होना"" means that someone's mind is blank or empty, as if they are not thinking or processing information. It suggests a lack of mental activity or focus."
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,The brain's bellows blow out.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,The dog barks at the moon.
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To work with a toothless mouth
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,To hit one's teeth with a finger.
जुबान बंद कर देना,to silence someone completely,to shut the tongue,To keep it terse and faithful to each component.
जुबान काट लेना,to regret words spoken,to bite the tongue,"The idiom ""Jubān kāṭ leṇā"" is used to describe a situation where someone is being overly critical or harsh, as if they are trying to cut off the head of a camel, which is impossible."
जुबान कसना,to rebuke harshly,to tighten the tongue,"The idiom ""जुबान कसना"" is often used to describe a violent act or a sudden and unexpected death."
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,To cut off the pure hair of a newborn baby
जुबान पर ताला,to keep secrets locked,a lock on the tongue,To put a drum on a jug
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,The jewel slips away.
जुबान सरक जाना,to misspeak,for the tongue to slide,"The idiom ""juban sarak jana"" can be translated to ""to keep it brief and faithful to each element"" in Hindi. It means to be concise and accurate in one's speech or writing, without losing the essence or meaning of the original text."
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,To keep the essence of the sweet.
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,"Keep it terse and faithful to each component."" No commentary, just the literal gloss."
पसीना रोकना,to relieve effort,to stop sweat,"To hold back, to restrain oneself, to keep something from happening or to prevent it from happening."
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),"The idiom ""पसीने-पसीने होना"" means to be very cautious and careful, as if one is constantly looking over their shoulder or being overly worried about something. It is often used to describe someone who is overly anxious or paranoid about a situation."
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,To have a headache
सीने में जलन होना,to feel envy,to have burning in the chest,"The idiom ""सीने में जलन होना"" can be translated to English as ""to get into trouble"" or ""to have a problem."
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,"To lift one's head up high, as if to show one's superiority or to assert one's authority."
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,To be speechless or at a loss for words.
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,Fire starts in the ear
रंग दिखाना,to reveal true colors,to show color,रंग दिखाना और रंग करना
रंगीन होना,to enjoy life freely,to become colorful,To talk about something that is known to be colorful.
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,"The idiom ""रंग फीका पड़ना"" means ""to be in a bad mood"" or ""to be in a foul mood."" It is used to describe someone who is not in a good or pleasant state of mind."
