src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep Mountain Old Forest
深入浅出,Explain the profound in simple terms,Explain in simple language,The idiom 深入浅出 (shēn rù qiǎn chū) means to explain something in a way that is both thorough and easy to understand.
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,Deeply into the heart
深文周纳,Frame and punish severely,Shen Wen Zhou Na,"The idiom 深文周纳 (shēn wén zhōu nà) means to nitpick or to make excessive demands, and it can also be used in a more positive sense to describe someone who is very thorough and careful."
混世魔王,Devil incarnate,Demon King of Chaos,A troublemaker or a trouble-making person.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Muddle up black and white.
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,"The literal English translation is ""Muddle Right and Wrong,"" which is a natural and idiomatic way to describe someone who confuses right from wrong."
混为一谈,Confuse something with something else,Mix it up,混为一谈 (hùn wéi yī tán)
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,"A native speaker would say ""I tried the new restaurant, but I only had a shallow taste and stopped."
添枝加叶,Embellish a story,Add branches and leaves,"Add unnecessary details or embellishments to something, often to make it more complicated or confusing."
添砖加瓦,Do one's little bit,Add bricks and mortar,"The idiom ""添砖加瓦"" can be translated to English as ""to contribute to something"" or ""to help improve or enhance a project, organization, or situation."" It is often used to describe someone who helps make a project or effort better."
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,"The idiom 添油加醋 means to add extra details or embellishments to a story or situation, often exaggerating or distorting the truth for dramatic effect. It implies adding unnecessary elements to make something more interesting or exciting."
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,"The idiom 涣然冰释 can be translated to ""to be completely at ease"" or ""to be at one's ease"". It is used to describe a situation where tensions or conflicts have been resolved, and people are no longer worried or anxious. The idiom is often used to describe a situation where people have overcome their differences and are able to move forward together."
游刃有余,Be move than equal to a task,Do it with ease,I have plenty of time to handle this project.
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,"To take advantage of a situation, especially one that is chaotic or unfair, in order to benefit oneself."
浑然一体,An integral whole,All in one,"The idiom 浑然一体 (hún rán yī tǐ) means ""completely united"" or ""integrated."" It refers to a state where everything is seamlessly connected and harmoniously integrated into a whole. This concept is often used metaphorically to describe a unified system, a harmonious group, or a cohesive entity."
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,"Keep it terse and faithful to each component"" - This phrase serves as a reminder for translators to maintain the essence of the Chinese idiom while producing a natural and clear English translation."
沧海横流,The changes and disorders of the times,Across the sea,The sea is wide and the waves are high.
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A grain of sand in the vast sea.
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,The idiom 灭此朝食 (mì zhǐ cháo shí) is used to describe a decisive victory or a swift and overwhelming defeat of an enemy.
滴水成冰,Freezing cold,Dripping into ice,"The idiom ""滴水成冰"" means that even a small amount of water will freeze into ice. It is often used to describe extreme cold or to emphasize the severity of a situation."
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits","Overestimation brings loss, humility brings benefit."
满城风雨,Become the talk of the town,Wind and rain all over the city,A storm in a teacup
泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,泼辣女人在街上骂人。
滥竽充数,Just to fill up a vacancy,Excessive use of data,Don't be a Peking Unicorn!
火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Add fuel to the fire
火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,Fireworks illuminate the night sky.
乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,"Uwu Xiansheng"" is a Chinese idiom that means ""a person with no real existence."" It is often used to describe someone who is imaginary, fictitious, or nonexistent."
烈火见真金,True blue will never stain,Fire sees real gold,"The idiomatic sense of this idiom is ""True gold is revealed under fire."" It means that true qualities or characteristics will be revealed or recognized under difficult or challenging circumstances."
烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,Exaggerate or embellish something.
无米之炊,Make bricks without straw,Cooking without rice,"A dish without rice"" or ""A dish without ingredients."
无风不起浪,Theres no smoke without fire,"No wind, no wave",There is no reason that does not lead to action.
无风起浪,Make trouble out of nothing,No wind and waves,No wind causes waves.
无敌于天下,Unmatched anywhere in the world,Invincible in the world,"The idiom ""无敌于天下"" means ""unbeatable in the world"" or ""invincible."" It implies that someone or something is so strong or powerful that they cannot be defeated or surpassed by anyone or anything else."
无功受禄,Get a reward without deserving it,Reward without merit,"I didn't do anything, yet I got a promotion."
无计可施,Utterly without resources,Nothing can be done,"The idiom ""无计可施"" can be translated as ""to have no way out"" or ""to be at a loss for what to do"". It implies that someone is in a situation where they cannot find a solution or a way to resolve a problem."
无济于事,Useless,To no avail,No help at all
无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,"No matter what, it doesn't go to the Three Holy Ones' Hall."
无事生非,Create problems where none exists,Much Ado About Nothing,To make trouble out of nothing.
无所适从,With no definite plan to follow,At a loss,There is no place to turn to.
无恶不作,Commit all manner of crimes,Do no evil,"The idiom ""无恶不作"" is used to describe someone who is completely immoral and has no sense of right or wrong."
无以复加,In the extreme,Can't be added,"The idiom ""无以复加"" translates to ""beyond description"" or ""beyond comparison"" in English."
无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root","Water without a source, tree without a root"
无缘无故,For no reason at all,For no reason,"I don't know why he's so angry, it's just无缘无故."
无庸赘述,It's unnecessary to go into details,Needless to say,There is no need to elaborate.
烟消云散,Disappear in a flash,Disappear into smoke,"The idiom 烟消云散 can be translated as ""It's all over"" or ""It's gone for good"" in English."
煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,Cooking the crane and burning the zither
照猫画虎,Imitate,Draw cats and tigers,照猫画虎 (照猫画虎)
茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other","Lonely and isolated, with only my shadow to console me."
煽风点火,Instigate,Fan the flames,Stir up trouble or create discord.
熟视无睹,Ignore,Turn a blind eye,I'm so used to this traffic jam that I don't even notice it anymore.
燕巢幕上,Precarious,Swallow's Nest on the Curtain,"A native speaker would say: ""He's hiding his mistake behind a curtain."
争权夺利,Scramble for power and profit,Scramble for power,He's always trying to grab power and take advantage of others.
争长论短,Squabble,Debating long and short,"The natural English translation for ""争长论短"" is ""to argue about who is better or more skilled."
为民请命,Plead in the name of the people,Pray for the people,"To speak up for the people's interests"" or ""To advocate for the people's rights"
为非作歹,Break the law,To do evil,"He was a real troublemaker, always getting into trouble and causing chaos."
为富不仁,Be rich and cruel,For the rich,"The idiom ""为富不仁"" means ""to be unkind to the poor"" or ""to be unjust to the poor."" It implies that those who are wealthy and successful are not kind or fair to those who are less fortunate."
为虎傅翼,Assist an evil-doer,Fu Yi for the tiger,"To give wings to a tiger (or ""To add wings to a tiger"")"
为虎作伥,Help a villain do evil,Play for the tiger,To act as a伥 for a tiger
为丛驱雀,Drive one's friends to the side of the enemy,Drive the sparrows,"The idiom ""为丛驱雀"" can be translated as ""To drive away sparrows from a bush"" or ""To drive away a small problem with a larger one."" It is often used to describe someone who is trying to solve a small problem but causing a larger problem in the process."
为所欲为,Have (or get) one's own way,Do whatever you want,"I'll do whatever I want, no one can stop me."
为渊驱鱼,Drive one's friends to the side of the enemy,Drive fish for the abyss,"To drive fish into a deep pool, to drive birds into a dense thicket."
墙倒众人推,Everybody bits a man who is down,The wall is pushed down,"The wall falls, and everyone pushes it down."
片甲不留,The army is completely wiped out,No armor left,Keep it terse and faithful to each component.
片瓦无存,Be razed to the ground,No tiles left,No tile remains
牛头不对马嘴,Incongruous,The bull's head is not the horse's mouth,"The literal English translation of 牛头不对马嘴 is ""Cows' heads don't match horses' mouths."" This phrase is used to describe a situation where two things or ideas do not match or make sense together."
牛鬼蛇神,Monsters and demons of all descriptions,Bull ghosts and snakes,"The boss is like a cow ghost snake spirit, always coming up with crazy ideas."
牵一发而动全身,A slight move in one part may affect the situation as a whole,Pull one hair and move the whole body,A small change can have a big impact.
狗急跳墙,(of evils) will take desperate measures if pushed to the wall,Dog jumping off the wall,The dog is desperate and will take extreme measures to escape.
狗血喷头,Let loose a stream of abuse (against somebody),Dog blood sprinkler,(gǒu xuè pēn tóu)
狐假虎威,Take advantage of the influence of others,Fox fake tiger power,Fox takes advantage of tiger's fear
狐群狗党,A gang of scoundrels,Fox and Dog Party,"A group of people who are similar in some way, but are not necessarily friends or allies."
狡兔三窟,A crafty person has more than one hideout,Three Caves of Crafty Rabbit,A clever rabbit has three dens.
狭路相逢,(of adversaries) meet face to face on a narrow path,Meet by narrow road,"In narrow paths, the brave will triumph."
独霸一方,Be a local despot,Dominate one side,"The natural English idiomatic translation for ""独霸一方"" is ""rule a territory."
独木不成林,Unable to do (or it cannot be done) single-handed,A single tree does not make a forest,独木不成林
独夫民贼,Autocrat and traitor to the people,Single husband and thief,Tyrant Ruler
独占鳌头,Head the list of successful candidates,Come out on top,Take the top prize
率由旧章,Follow the beaten track,Rate by old chapter,Follow the old rules
玉不琢，不成器,Jade requires chiseling - as man needs training and discipline,"Jade is not cut, not a device","The jade is not carved, it cannot become a vessel."
玩火自焚,Whoever plays with fire gets burnt,Play with fire,Playing with fire and burning oneself.
珠圆玉润,Excellent singing or polished writing,Pearl Round Yurun,A well-made and polished person or thing.
班门弄斧,Show off in the presence of an old hand,Ban door axe,Don't try to show off your skills in front of a master.
瑕不掩瑜,The defects cannot obscure the virtues,Flaws do not hide beauty,Imperfection does not obscure beauty.
瑕瑜互见,Have both strong and weak points,Xia Yu meet each other,Flaws and beauties coexist
瑞雪兆丰年,Winter snow signifies a year of good crops,Ruixue Mega Year,"A native speaker would say: ""A snowfall predicts a good harvest."
璞玉浑金,Unadorned beauty,Raw jade and gold,Raw Jade and Unrefined Gold
瓜田李下,Be found in a suspicious position,Melon Field Lixia,In the garden of melons and the orchard of pears.
