src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,I'm washing my feet with this problem.
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,"To hold on to something tightly, often in a desperate or stubborn manner."
पैर रोक लेना,to hesitate before action,to hold back the foot,(par rok lena)
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"The idiom ""मुँह मोड़ लेना"" means to ""hold one's tongue"" or ""keep quiet."" It implies that someone is refraining from speaking or expressing their thoughts, often due to fear, embarrassment, or a desire to avoid conflict. The English translation of this idiom is ""To keep quiet or to hold one's tongue."
मुँह बंद कर देना,to silence completely,to shut the mouth,Keep it brief and faithful to each component.
मुँह चलाना,to speak unnecessarily,to run the mouth,"To speak with one's mouth as one would with one's hair"" is a faithful translation of the idiom ""मुँह चलाना"" in English."
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,"The act of covering one's mouth, often used to indicate that something is unpleasant or distasteful to hear or see."
मुँह मीठा होना,to taste success,for the mouth to become sweet,It's not about having a sweet mouth but filling your stomach.
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep it clear and concise.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To not know whether to speak or not
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,He's always talking too much about his job.
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To put a stick in the head
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,"The idiom ""माथे पर लकीरें पड़ना"" means ""to have a lot of opinions or ideas"" in Hindi. It implies that someone has a lot of thoughts or opinions on a particular topic or issue, often expressed in a loud or forceful manner."
दिल में जगह बनाना,to win affection,to make a place in the heart,To make room in the heart.
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To have a strong sense of justice or righteousness.
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,To have a thorn in one's heart
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Keep it terse and faithful to each component.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,From the depths of the heart.
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart is melted.
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart is a garden of gardens.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,Keep it terse and faithful to each component.
दिल को सुकून मिलना,to find peace,for the heart to find peace,To find peace in the heart
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To make one's brain bad.
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The mind goes to the brain region.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,"To put a lot of thought into something, to give it a lot of consideration."
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,The brain becomes dumb.
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,He has a brain that's not going to be pierced.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,"If the teeth don't come out, they'll come out anyway."
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,"The literal English translation of ""दाँत नाखून से काम लेना"" is ""To work with the teeth of a saw."" This idiom is used to describe someone who is very meticulous and precise in their work, to the point where they are almost obsessive about it."
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,I'm going to press the nail on the head when I talk to him.
जुबान बंद कर देना,to silence someone completely,to shut the tongue,To keep it terse and faithful to each component.
जुबान काट लेना,to regret words spoken,to bite the tongue,Cut off the head of the camel
जुबान कसना,to rebuke harshly,to tighten the tongue,To cut off the head
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,I don't want to leave the comfort zone.
जुबान पर ताला,to keep secrets locked,a lock on the tongue,To put a feather on a camel's back
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,The jewel falls from the crown.
जुबान सरक जाना,to misspeak,for the tongue to slide,Keep it terse and faithful to each component.
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,To forge a deep emotional bond with someone.
पसीना रोकना,to relieve effort,to stop sweat,Keep it terse and faithful to each component.
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),"The idiom ""पसीने-पसीने होना"" can be translated as ""to be like a stick of wood,"" which means to be very careful and cautious, as if one is afraid of being hurt or making mistakes."
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,A natural English idiomatic translation: To have a headache.
सीने में जलन होना,to feel envy,to have burning in the chest,"The idiom ""सीने में जलन होना"" can be translated to ""to have a fire in one's eyes"" in English, which means to have a burning passion or enthusiasm for something."
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,"The idiom सीने में लावा उठना (sīnē mēn lāvā uṭhānā) can be translated as ""to be popular or famous"" in English. It is derived from the idea of a person's name being written on a piece of paper and put into a hat or a bowl, from which a name is drawn to be the winner. In this context, it refers to someone being chosen or recognized as the most popular or famous person."
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,"The idiom ""सीने पर बोझ होना"" is translated as ""To be in a pickle"" or ""To be on a pickle"" in English."
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,"To have a fire in one's belly"" or ""to get a fire going in the stove."
रंग दिखाना,to reveal true colors,to show color,It's going to be a piece of cake for you.
रंगीन होना,to enjoy life freely,to become colorful,It should be lively and vibrant.
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,The color of the paint has faded.
रंग उड़ना,to fade away,for the color to fly/fade,"The phrase ""color fly"" is not a natural English idiomatic translation of ""रंग उड़ना"". A more natural English translation would be ""to be in the mood""."
रंग जमना,to gain traction,for color to set,"The idiom ""रंग जमना रंग बदलना"" means ""to change one's color"" or ""to change one's appearance"" in Hindi. It is used to describe someone who changes their behavior or attitude due to external factors or circumstances."
रंग लगना,to start celebrating,to have color applied,"The idiom ""rang lagana"" means that a person is experiencing a new or different thought or feeling in their life that changes their life. It can be translated to English as ""to experience a new or different thought or feeling in one's life that changes one's life."
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,रंग में रँग जाना
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,अति सर्वत्र वर्जयेत् अपि अन्योन्यास्तु न विशिष्येत्
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,To be straightforward and honest in one's actions and words.
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,To keep one's head in the clouds (or: to keep one's head above the clouds)
अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,"The grapes are sour, but the grape is not sour."
अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,"To be stubborn and refuse to change one's mind or opinion, even when presented with evidence or reasoning to the contrary."
अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,To keep one's nose high up.
अपना राग अलापना,to talk only about oneself,to chant one’s own tune,Don't let your anger speak.
अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,To scratch one's eyes out.
अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,Keep it under wraps.
अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,To regard one's own mistake as not making another mistake.
अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune",अपनी डफली अपना राग देते हैं।
अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,The scale of one's own mind breaks down.
अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,"The idiom ""अक्ल घास चरने जाना"" means ""to be in a state of confusion"" or ""to be at a loss for words."" It can also be translated as ""to keep one's head down,"" which implies remaining silent or not speaking up in a situation where one might be expected to speak or react."
अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,To put a tilak on the eyes of the blind.
अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,"The idiom ""Anandha Baaṭe Revdī"" is a Hindi idiom that means to make a mess or disorderly situation. It is derived from the Hindi words ""Anandha"" and ""Baaṭe,"" which mean ""blind"" and ""to split"" or ""to divide,"" respectively. The idiom is often used to describe someone who is overly critical or nitpicky."
अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,Not a piece of wood for the blind.
अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,Take advantage of someone's weakness or vulnerability.
