src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,It's better to wash your feet when you don't see yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not seeing yourself not
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To grab the legs
पैर रोक लेना,to hesitate before action,to hold back the foot,To hold one's breath
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"To keep it brief and faithful to each component"" can be translated as ""To keep it brief and faithful to each component."
मुँह बंद कर देना,to silence completely,to shut the mouth,To keep the mouth closed
मुँह चलाना,to speak unnecessarily,to run the mouth,I'm not going to open my mouth about it.
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,मुँह लगाना
मुँह मीठा होना,to taste success,for the mouth to become sweet,To have a sweet mouth
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To keep it terse and faithful to each component.
