src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,"深山老林 (shēn shān lǎo lín) means a remote and secluded place, often used to describe a place that is difficult to access or find. It can also be used to describe a person who is isolated or alone in a remote area."
深入浅出,Explain the profound in simple terms,Explain in simple language,Deeply explain and clearly explain.
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,"The phrase ""Deeply Imbued in the Heart"" is a natural English translation of the Chinese idiom 深入人心, conveying the same meaning of having a strong impact or influence on people."
深文周纳,Frame and punish severely,Shen Wen Zhou Na,Deeply interpret and meticulously encompass
混世魔王,Devil incarnate,Demon King of Chaos,A person who is so wild and unruly that they are a troublemaker in the world.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,"The idiom 混淆黑白 means ""to confuse right and wrong"" or ""to mix up right and wrong."" It implies that someone is making a mistake by incorrectly labeling something as either right or wrong when it should be the opposite."
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,He tried to confuse right from wrong by using complex language and jargon.
混为一谈,Confuse something with something else,Mix it up,Mix up and talk about as one thing.
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,Take a shallow taste and stop.
添枝加叶,Embellish a story,Add branches and leaves,"The idiom ""添枝加叶"" can be translated to ""Add branches and leaves"" in English, which means to add unnecessary details or embellishments to something."
添砖加瓦,Do one's little bit,Add bricks and mortar,"The idiom 添砖加瓦 (Tiān zhuān jiā wǎ) means to contribute to something, often in a supportive or constructive way. It is commonly used to describe someone who helps others by providing their own efforts or resources to make a project or goal more successful. The phrase comes from the idea of adding bricks and tiles to a building, symbolizing the idea of building something together."
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,Add oil and vinegar to the story.
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,"The idiom ""涣然冰释"" means that something has been completely resolved or cleared up, as if ice has melted away. It implies that a misunderstanding or conflict has been resolved and there is now a sense of clarity and understanding."
游刃有余,Be move than equal to a task,Do it with ease,"I have plenty of time to spare, I can handle this task with ease."
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,"In the murky water, fish are caught."
浑然一体,An integral whole,All in one,In one's entirety
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Review the old to gain new insights.
沧海横流,The changes and disorders of the times,Across the sea,"A vast sea, waves surging."
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A grain of sand in the vast sea.
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,"To destroy the enemy completely"" or ""To eliminate the threat."
滴水成冰,Freezing cold,Dripping into ice,Drop of water becomes ice.
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits","Fullness invites loss, humility brings benefit."
满城风雨,Become the talk of the town,Wind and rain all over the city,"The idiom 满城风雨 (mǎn chéng fēng yǔ) can be translated to English as ""full of wind and rain"" or ""full of noise and commotion."" This phrase is often used to describe a situation where something has become very popular or widely known, or where there is a lot of excitement or interest."
泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,泼妇在街上骂人
滥竽充数,Just to fill up a vacancy,Excessive use of data,滥竽充数 (làn yú chōng shù)
火上加油,Add fuel to the flames (or fire),Pour oil on the flame,"The idiom ""火上加油"" can be translated as ""to add fuel to the fire."
火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,Fire trees and silver flowers do not know the night sky.
乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,Mr. No-Existence
烈火见真金,True blue will never stain,Fire sees real gold,"The idiom ""烈火见真金"" can be translated into English as ""Only the strong survive in a difficult situation."
烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,"Hōng yún tuō yuè"" (烘云托月)"
无米之炊,Make bricks without straw,Cooking without rice,No rice to cook a meal
无风不起浪,Theres no smoke without fire,"No wind, no wave",No wind does not rise waves
无风起浪,Make trouble out of nothing,No wind and waves,No wind raises waves
无敌于天下,Unmatched anywhere in the world,Invincible in the world,Unbeatable by anyone in the world.
无功受禄,Get a reward without deserving it,Reward without merit,"No merit, receive rewards"
无计可施,Utterly without resources,Nothing can be done,Unable to find a solution or method to deal with a problem.
无济于事,Useless,To no avail,"The idiom ""无济于事"" means ""it won't help at all"" or ""it doesn't make any difference."
无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,I don't need to worry about this; it's just a minor issue and won't affect the big picture.
无事生非,Create problems where none exists,Much Ado About Nothing,No reason to create trouble
无所适从,With no definite plan to follow,At a loss,"I'm in such a mess, I don't know which way to turn."
无恶不作,Commit all manner of crimes,Do no evil,This idiom is used to describe someone who is completely without conscience and does anything that is morally wrong or illegal.
无以复加,In the extreme,Can't be added,"The idiom ""无以复加"" means that there is nothing more that can be added or improved upon."
无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root","The idiom ""无源之水，无本之木"" can be translated as ""water without a source, tree without a root"" in English."
无缘无故,For no reason at all,For no reason,"No cause, no reason"
无庸赘述,It's unnecessary to go into details,Needless to say,There is no need to elaborate.
烟消云散,Disappear in a flash,Disappear into smoke,The problem has disappeared completely.
煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,Cook the crane and burn the zither
照猫画虎,Imitate,Draw cats and tigers,"The idiom 照猫画虎 means to imitate something without understanding its essence, resulting in a distorted or incorrect version."
茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other","Lonely and alone, with only my shadow to console me."
煽风点火,Instigate,Fan the flames,"The literal translation of 煽风点火 is ""Stir up the wind and ignite the fire,"" which is a direct word-for-word translation of the Chinese idiom. However, this translation does not convey the idiomatic meaning of the idiom, which is to create conflict or escalate a situation."
熟视无睹,Ignore,Turn a blind eye,"Familiar with it, but not seeing it"
燕巢幕上,Precarious,Swallow's Nest on the Curtain,The man was so busy with his own affairs that he failed to notice the sparrow's nest on the curtain.
争权夺利,Scramble for power and profit,Scramble for power,"The phrase ""Strive for power and gain"" captures the essence of the idiom, conveying the competitive and self-serving nature of the action."
争长论短,Squabble,Debating long and short,"The natural English idiomatic translation for ""争长论短"" is ""argue about who is better."
为民请命,Plead in the name of the people,Pray for the people,To plead for the people's cause
为非作歹,Break the law,To do evil,"The literal English translation of ""为非作歹"" is ""do evil and commit crimes."" However, in natural English, this phrase would be more commonly translated as ""do wrong"" or ""act badly."
为富不仁,Be rich and cruel,For the rich,To be rich and not be benevolent.
为虎傅翼,Assist an evil-doer,Fu Yi for the tiger,"The idiom ""为虎傅翼"" is translated as ""to provide support to a tiger, making it stronger."
为虎作伥,Help a villain do evil,Play for the tiger,To be a伥 for a tiger
为丛驱雀,Drive one's friends to the side of the enemy,Drive the sparrows,To drive away sparrows from a bush.
为所欲为,Have (or get) one's own way,Do whatever you want,To do as one pleases
为渊驱鱼,Drive one's friends to the side of the enemy,Drive fish for the abyss,"To drive fish away from the depths of a pond, and to drive birds away from a dense forest."
墙倒众人推,Everybody bits a man who is down,The wall is pushed down,墙倒众人推 (Xiáng dǎo zhòng rén tuī)
片甲不留,The army is completely wiped out,No armor left,"The idiom 片甲不留 (piàn mǎ bù liú) can be translated as ""leave no trace"" or ""leave no evidence"" in English. It is used to describe someone who has completely disappeared or left without a trace, leaving no evidence of their presence."
片瓦无存,Be razed to the ground,No tiles left,There is no tile left.
牛头不对马嘴,Incongruous,The bull's head is not the horse's mouth,牛头不对马嘴 means that the subject's words or actions do not match or make sense. It implies that the speaker or writer is saying something that is not relevant or does not make sense in the context.
牛鬼蛇神,Monsters and demons of all descriptions,Bull ghosts and snakes,Cattle Ghost Snake Spirit
牵一发而动全身,A slight move in one part may affect the situation as a whole,Pull one hair and move the whole body,Pulling a single hair causes the whole body to move.
狗急跳墙,(of evils) will take desperate measures if pushed to the wall,Dog jumping off the wall,A dog desperate to escape will jump over the wall.
狗血喷头,Let loose a stream of abuse (against somebody),Dog blood sprinkler,狗血喷头
狐假虎威,Take advantage of the influence of others,Fox fake tiger power,Fox taking advantage of the tiger's power.
狐群狗党,A gang of scoundrels,Fox and Dog Party,"A pack of dogs and foxes, often referring to a group of people who are not trustworthy or loyal to each other."
狡兔三窟,A crafty person has more than one hideout,Three Caves of Crafty Rabbit,Clever rabbit has three dens
狭路相逢,(of adversaries) meet face to face on a narrow path,Meet by narrow road,Encounter on a narrow road
独霸一方,Be a local despot,Dominate one side,The person or entity has complete control or influence over a specific region or area.
独木不成林,Unable to do (or it cannot be done) single-handed,A single tree does not make a forest,A single tree cannot form a forest.
独夫民贼,Autocrat and traitor to the people,Single husband and thief,The idiom 独夫民贼 refers to a tyrannical ruler who oppresses the people.
独占鳌头,Head the list of successful candidates,Come out on top,"The idiom ""独占鳌头"" means ""to be the first or topmost"" in Chinese. It is often used to describe someone or something that is the best or most outstanding in a particular category or competition."
率由旧章,Follow the beaten track,Rate by old chapter,Follow the old rules.
玉不琢，不成器,Jade requires chiseling - as man needs training and discipline,"Jade is not cut, not a device","The idiom 玉不琢，不成器 means that if a piece of jade is not polished or shaped, it cannot become a useful tool or object."
玩火自焚,Whoever plays with fire gets burnt,Play with fire,"玩火自焚 means ""to play with fire and burn oneself."" It is used to describe someone who is reckless and is causing harm to themselves or others."
珠圆玉润,Excellent singing or polished writing,Pearl Round Yurun,She has a pearl-round and jade-smooth smile.
班门弄斧,Show off in the presence of an old hand,Ban door axe,To show off one's skills in front of experts.
瑕不掩瑜,The defects cannot obscure the virtues,Flaws do not hide beauty,A person's flaws do not detract from their overall worth.
瑕瑜互见,Have both strong and weak points,Xia Yu meet each other,"A native speaker would say ""Both good and bad qualities are present"" or ""Both strengths and weaknesses are apparent."
瑞雪兆丰年,Winter snow signifies a year of good crops,Ruixue Mega Year,Precious snow foretells a bountiful year.
璞玉浑金,Unadorned beauty,Raw jade and gold,"The idiom 璞玉浑金 can be translated as ""Raw Jade and Unpolished Gold"" in English. However, the natural English idiomatic translation would be ""Raw Talent and Simple Character."
瓜田李下,Be found in a suspicious position,Melon Field Lixia,"Watch your step, you're in the grape field."
瓦釜雷鸣,An unworthy man in a high position,Wah Kettle Thunder,A pot with a loud drum is often used to describe an incompetent or mediocre person who is given too much power or influence.
瓮中之鳖,(like) a rat in a hole,Turtle in a urn,A turtle in a pot
瓮中捉鳖,A sure catch,Catching turtle in urn,"The idiom 瓮中捉鳖 (wèng zhōng zhuō biē) means ""to catch a turtle in a jar."" It is used to describe a situation where someone or something is easily caught or controlled. The idiom is often used to emphasize that something or someone is easily defeated or captured."
甘拜下风,Willingly acknowledge defeat,Gan Bai downwind,To admit defeat or accept defeat gracefully.
甘之如饴,Gladly endure hardships,Sweet as candy,"The idiom ""甘之如饴"" means to enjoy something so much that it is as sweet as honey. It is used to describe someone who is willing to endure hardship or sacrifice for the sake of something they find valuable or enjoyable."
甚嚣尘上,Making a lot of noise,All over the place,"The faithful translation of ""甚嚣尘上"" is ""very noisy and dust-raising."
生米煮成熟饭,What's done can't be undone,Uncooked rice cooked rice,A decision has been made and cannot be changed.
生于忧患，死于安乐,"Life springs from sorrow and calamity, death comes from ease and pleasure","Born in trouble, die in peace","Born in times of hardship, die in times of comfort."
用兵如神,Be a superb military commander,Use soldiers like gods,"The literal English translation of ""用兵如神"" is ""Use military strategy like a god."
男盗女娼,Behave like thieves and whores,Male thief female prostitute,"Male thief, female prostitute"
留得青山在，不怕没柴烧,While there is life there is hope,"Where there is life, there is hope","Even if everything is lost, as long as you have your health and resources, you can still survive."
毕其功于一役,Accomplish the whole task at one stroke,Completed in one battle,"The idiom 毕其功于一役 (bǐ qí gōng yú yī yì) can be translated into English as ""to finish all the work in one stroke"" or ""to complete a task in one attempt."
画饼充饥,Feed on illusions,Painting cake to satisfy hunger,"I can't wait for the new job offer, it's like drawing a cake to quench hunger."
画虎类狗,Attempting more than one has ability for,Drawing tiger dog,"A native speaker would say: ""I'm trying to be like him, but I'm drawing a tiger like a dog."
当机立断,Decide on the moment (or on the spot),Make a prompt decision,"When the opportunity arises, make a decision immediately."
当局者迷，旁观者清,Those closely involved cannot see as clearly as those outside,"Father, like son","The person in charge is confused, while the bystander sees clearly."
当场出丑,Make a spectacle of oneself,Embarrassed on the spot,当场出丑
当仁不让,Not decline to shoulder a responsibility,Do your part,"When a righteous person is present, one does not yield."
当耳边风,Turn a deaf ear to,When the wind blows,"To ignore or disregard something that is being said or done, as if it is just a passing sound in the air."
叠床架屋,Pile one bed upon another or build one house on top of another,Stacked bed frame house,"To build upon or add to something excessively, leading to a cluttered or chaotic situation."
疾风知劲草,Adversity is the best testing ground for moral stamina,The wind knows the strong grass,"The idiom 疾风知劲草 can be translated to ""A strong wind reveals the strong grass"" in English."
疾恶如仇,Abhor (or hate) evils or evildoers as if they were personal enemies,Evil like hatred,"A native speaker would say: ""I can't stand it when people do that. It's like they're out to get me."
病急乱投医,Try anything when in a desperate situation,Emergency medical treatment,"I'm so sick, I'm going to try anything to feel better, even if it's not the best option."
病从口入,Illness finds its way in by the mouth,Disease from the mouth,"Illness enters through the mouth, and disaster comes from the mouth."
癞蛤蟆想吃天鹅肉,Aspiring after something one is not worthy of,Toad wants to eat,The toad wants to eat the swan.
登峰造极,Reach the summit,Reach the pinnacle,"The literal translation of ""登峰造极"" is ""Ascend to the peak and reach its zenith."" However, the natural English translation would be ""Reach the pinnacle."
登堂入室,Pass through the hall into the inner chamber,Entering the room,"The idiom ""登堂入室"" is often used to describe someone who has achieved a high level of expertise or understanding in a particular field or subject. It can also be used to describe someone who has moved from a less advanced state to a more advanced one, such as from a beginner to an expert."
