src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,To wash one's feet
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To keep one's feet on the ground
पैर रोक लेना,to hesitate before action,to hold back the foot,I need to keep my feet planted firmly before I make any rash decisions.
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To hold one's tongue
मुँह बंद कर देना,to silence completely,to shut the mouth,बहुत बहुत
मुँह चलाना,to speak unnecessarily,to run the mouth,"To keep one's mouth open is easy (or, to keep one's mouth open is easy)."
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,(muh lagana)
मुँह मीठा होना,to taste success,for the mouth to become sweet,"The idiom ""मुँह मीठा होना"" means ""to be popular or well-liked."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To keep it terse and faithful to each component
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,"The idiomatic sense of ""मुँह धुलवाना"" is ""to talk too much"" or ""to be verbose."" It means that someone is speaking excessively or at length without being concise or to the point."
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To put a needle in the back of the head
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To have rhymes on one's head.
दिल में जगह बनाना,to win affection,to make a place in the heart,Make room in the heart.
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To have sharp needles in one's mind.
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,"The idiom दिल में खटका होना can be translated to ""To have a heart attack"" in English, but it is more commonly used to describe a sudden and intense emotional reaction rather than a physical heart attack."
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,From the depth of the heart
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart is melting.
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart is like a garden with many flowers.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,"The idiom ""दिल टूटकर रह जाना"" means to be overwhelmed with emotion or to feel deeply moved by something. It implies that one's heart is so affected that it seems to be physically broken or shattered."
दिल को सुकून मिलना,to find peace,for the heart to find peace,To find peace of mind.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,"The idiom ""दिमाग खराब कर देना"" means to cause someone to think or feel negatively about something or someone. It implies that one has made the person's mind or thoughts negative or pessimistic."
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,"The idiom ""दिमाग ठिकाने लग जाना"" translates to ""to get stuck in one's own thoughts or ideas"" in English."
