Unnamed: 0,src,true_meaning,predicted
0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.","Needle or bullet, but fix it quickly."
1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”","And those people said, ""Oh Shu'ayb, what you say is often beyond our understanding."
2,- हाँ.,- Yeah.,"Yes. I am listening to your words, but I am not ready to accept your words. (This is the most natural translation given the context and the explanation provided.)"
3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,"If someone causes him trouble, he gets frightened; if he causes trouble to someone, he gets caught."
4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,English translation:
5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',There is no authority to try to send mail to a non-mbox source '%s'.
6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,Use the Image Histogram Adjust Levels Plugin for the Digicam.
7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,"- Where is Lady Eboshi? Everyone who could be moved has been moved, and the God of Deer has been killed. - (Where is Lady Eboshi? Everyone who could be moved has been moved, and the God of Deer has been killed.) -"
8,वो मेरी माँ है.,My mother's from Sweden.,He is my mother.  (Note: It is an idiom and does not mean what it literally says. It means that he is very close to me and I trust him more than my mother.)
9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.",- Tell those people that whether I tell you of better things than those who have been granted (to be) cautious (and) have gardens in paradise (under) which are rivers (and) they will always reside (there) and for them (there are) clean (and) chaste wives (and) (the) pleasure (of) God (and) God (is) seeing (His) those servants (who) ask (for) blessings (and) God (is) seeing (His) those servants (who) ask (for) God's (favour) (and) blessings
10,यह अच्छा है फिल की तरह है?,Is it cool like Phil's?,"यह अच्छा है फिल की तरह है? (Fēi Lì kī jī hǎo hǎo) → Is he good, like a movie star?"
11,क्या मौजूदा स्ट्रीम seekable है,Whether the current stream is seekable,Is the current stream searchable?
12,आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.,You let two unknown men enter this house uninvited.,- You two unknown men this house without being invited enter.
13,यह पूरी स्थिति पूरी तरह से गड़बड़ है.,This whole situation is completely fucked.,Everything is a mess.  (or) It's all a mess.  (or) The situation is completely unclear.  (or) There's no clear evidence to act on.  (or) It's all a jumbled mess.  (or) The situation is completely confusing.  (or) Everything is unclear.  (or) It's all a mess.  (or) The situation is completely unclear.  (or) There's no clear evidence to act on.  (or) It's all a jumbled mess.  (or) The situation is completely confusing.  (or) Everything is unclear.  (or) It's all a mess.  (or) The situation is completely unclear.  (or) There's no clear evidence to act on.  (or) It's all a jumbled mess.  (or) The situation is completely confusing.  (or) Everything is unclear.  (or) It's all a mess.  (or) The situation is completely unclear.  (or) There's no clear evidence to act on.  (or) It's all a jumbled mess.  (or) The situation is completely confusing.  (or) Everything is unclear.  (or) It's all a mess.  (or) The situation is completely unclear.  (or) There's no clear evidence to act on.  (or) It's all a jumbled mess.  (or) The situation is completely confusing.  (or) Everything is unclear.  (or) It's all a mess.  (or) The situation is completely unclear.  (or) There's no clear evidence to act on.  (or) It's all a jumbled mess.  (or) The situation is completely confusing.  (or) Everything is unclear.  (or) It's all a mess.  (or) The situation is completely unclear.  (or) There's no clear evidence to act on.  (or) It's all a jumbled mess.  (or) The situation is completely confusing.  (or) Everything is unclear.  (or) It's all a mess.  (or) The situation is completely unclear.  (or) There's no clear evidence to act on.  (or) It's all a jumbled mess.  (or) The situation is completely confusing.  (or) Everything is unclear.  (or
14,गूगल टाक होम नाम 3,Google Talk Home Name 3,The third generation of the social credit system inherited its name from the second generation.
15,सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.,All prisoners report for Lockdown.,"All prisoners report for lockdown. (Note: This is a direct translation, not an idiomatic translation.)"
