Unnamed: 0,src,true_meaning,predicted
0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.","एक बीमारी को दूर करने के लिए, सुई लगाने या दवा देने के बजाय, बीमारी के कारण को दूर करने के लिए काम करें। (Ek bimari ko door karne ke liye, sui lagane ya dava dene ke bajay, bimari ke kaaran ko door karne ke liye kaam karo.)"
1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”",हो.
2,- हाँ.,- Yeah.,"Absolutely! (I'm a professional photographer with over 1000 shoots in the past 10 years!) Answer: - Absolutely! (I'm a professional photographer with over 1000 shoots in the past 10 years!) Explanation: - The speaker is responding to a question about their profession and experience, and is using the idiom ""हाँ. हाँ. हाँ."" to express their strong affirmation and agreement. - The phrase is a way of saying ""Absolutely!"" or ""Definitely!"", and is used to convey a sense of confidence and certainty. - In this context, the speaker is emphasizing their professionalism and experience as a photographer, and is using the idiom to add emphasis and conviction to their statement. - The phrase is often used in informal settings, such as among friends or in social media, and is a fun and playful way to express enthusiasm and optimism. - It is not typically used in formal or professional settings, as it may come across as too casual or playful. - However, it is a popular idiom in informal settings, and is often used to add humor or lightheartedness to a conversation. - The speaker is using the idiom to convey their confidence and expertise as a photographer, and is emphasizing their experience and qualifications. - The phrase is a way of saying ""I'm a professional photographer with over 1000 shoots in the past 10 years!"", and is used to convey a sense of authority and expertise. - Overall, the idiom ""हाँ. हाँ. हाँ."" is a fun and creative way to express enthusiasm and optimism, and is often used to add humor or lightheartedness to a conversation. - It is a popular idiom in informal settings, and is often used to convey confidence and certainty. - The speaker is using the idiom to emphasize their professionalism and experience as a photographer, and is conveying a sense of authority and expertise. - The phrase is a way of saying ""Absolutely!"", and is used to add emphasis and conviction to the speaker's statement. - It is a fun and playful way to express enthusiasm and optimism, and is often used in informal settings. - The speaker is using the idiom to convey their confidence and expertise as a photographer, and is emphasizing their experience and qualifications. - The phrase is a way of saying ""I'm a professional photographer with over 1000 shoots in the past 10 years!"", and is used to convey a sense of authority and expertise. - Overall, the idiom ""हाँ"
3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,"Whoever causes trouble to him gets frightened, whoever causes trouble to him hits him."
4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,"The idiom ♪हमेशाके लिएबाध्यहोने के लिए can be translated to English as ""to be forever bound"" or ""to be trapped forever"". However, the most natural and idiomatic translation would be ""to be stuck forever"" or ""to be trapped forever""."
5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',A non-mbox source '%s' is trying to send mail.  (Idiomatic translation)
6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,"For the Disquecam, image histogram adjust levels plugin."
7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,Where is Lady Eboshi? Every man has been moved and the deer god has gone to kill.
8,वो मेरी माँ है.,My mother's from Sweden.,He is my everything.  (Note: The idiom is used to express love and affection towards someone.)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)  (Answer by: Saurabh Kumar)
9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.","(1) Oh messenger, (2) tell those people (3) to say (4) that (5) if (6) I (7) can (8) tell (9) you (10) better (11) things"
