Unnamed: 0,src,true_meaning,predicted
0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.",Fix it quickly.
1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”","And those people began to say: O Shuayb, what you say is often not understood by us, and there is no doubt that we consider you to be very weak among our people, and if your tribe had not been, we would have killed you long ago, and you cannot harm us in any way. (Yusuf Ali)"
2,- हाँ.,- Yeah.,- Enthusiastic agreement
3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,Those who cause trouble will be caught.
4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,"क्या आप मुझे अपना नाम दे सकते हैं जिससे मैं आपको हमेशा के लिए पहचान सकूँ? या फिर, क्या आप मुझे एक नाम दे सकते हैं जिससे मैं आपको हमेशा के लिए पहचान सकूँ?"
5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',One non-mbox source is trying to send mail.
6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,डिज़ीकैम के लिए छवि हिस्टोग्राम समायोजन स्तर प्लगइन.
7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,Where is Lady Eboshi? Every man has been moved and gone to kill the Deer God. -
8,वो मेरी माँ है.,My mother's from Sweden.,"He/She/It is my mother. (Note: The word ""meree"" is a possessive adjective in Hindi, which is a part of the sentence, and the word ""maan"" is a noun, which is the subject of the sentence.)"
9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.","उन्हें यह बताओ कि क्या मैं उन्हें अच्छी चीजें बता सकता हूँ जो उन्हें खुशी दे सकती हैं। उन्हें बताओ कि उनके लिए खुदा ने जो खास जगहें बनाई हैं, वहाँ नहरें बहती हैं और वहाँ रहने वाले लोग हमेशा खुश रहते हैं। उनके लिए साफ सुथरी पत्नियाँ हैं और सबसे अच्छी चीज़ यह है कि खुदा खुश है और उनकी दुआें सुनता है।"
