src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort on something futile or hopeless. Result: To waste time or effort
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,पैर पकड़ लेना (pār pakḍ lēna) (Hindi)
पैर रोक लेना,to hesitate before action,to hold back the foot,Hold back.
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To turn one's mouth.
मुँह बंद कर देना,to silence completely,to shut the mouth,English translation: Shut up! Keep quiet! Be silent!
मुँह चलाना,to speak unnecessarily,to run the mouth,To speak one's mind.  (or)
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,Literal translation:
मुँह मीठा होना,to taste success,for the mouth to become sweet,The king spoke sweetly but did harm to his opponents.
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out of turn.  Speak out
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Literal translation: To beat the mouth.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Literal translation: ???? (mūha dhulavānā)  (Mandarin Chinese)
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To put a mark on the forehead. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,On the forehead lines appear.
दिल में जगह बनाना,to win affection,to make a place in the heart,A) Make a place in someone's heart.
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,दिल में काँटे चुभना (dil mein kaante chubhana) या किसी कार्य या निर्णय के बारे में चिंतित होना या असहज महसूस करना। यह idiom किसी कार्य के परिणामों के बारे में चिंतित होने या अपने कार्यों के लिए जिम्मेदार महसूस करने की भावना को दर्शाता है। (xiǎng huái) Answer: To have a thorn in one's heart. Answer: To have a heartache. Answer: To be heartbroken. Answer: To be heart-sore. Answer: To be heart-pained. Answer: To be heart-grieved. Answer: To be heart-stricken. Answer: To be heart-wounded. Answer: To be heart-hurt. Answer: To be heart-pained. Answer: To be heart-broken. Answer: To be heart-sore. Answer: To be heart-grieved. Answer: To be heart-stricken. Answer: To be heart-wounded. Answer: To be heart-hurt. Answer: To be heart-pained. Answer: To be heart-broken. Answer: To be heart-sore. Answer: To be heart-grieved. Answer: To be heart-stricken. Answer: To be heart-wounded. Answer: To be heart-hurt. Answer: To be heart-pained. Answer: To be heart-broken. Answer: To be heart-sore. Answer: To be heart-grieved. Answer: To be heart-stricken. Answer: To be heart-wounded. Answer: To be heart-hurt. Answer: To be heart-pained. Answer: To be heart-broken. Answer: To be heart-sore. Answer: To be heart-grieved. Answer: To be heart-stricken. Answer: To be heart-wounded. Answer: To be heart-hurt. Answer: To be heart-pained. Answer: To be heart-broken. Answer: To be heart-sore. Answer: To be heart-grieved. Answer: To be heart-stricken. Answer: To be heart-wounded. Answer: To be heart-hurt. Answer: To be heart-pained. Answer: To be heart-broken. Answer: To be heart-sore. Answer:
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,"Heart in a jarring sound to be.  (Note: 'a jarring sound' is a more idiomatic translation of 'खटका', but the original word-by-word translation is 'a jarring sound')"
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,To keep anger in the heart.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,From the heart.
दिल हिल जाना,to be shaken emotionally,for the heart to shake,"A natural English idiomatic translation is: ""to be deeply moved or touched by something"
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,"The idiom ""दिल बाग़-बाग़ होना"" (dil baag-baag hona) means ""to be extremely happy or delighted"" in English."
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,To be left heartbroken. (idiomatic) to be left with a broken heart. (idiomatic) to be left with a heavy heart. (idiomatic) to be left with a sorrowful heart. (idiomatic) to be left with a heart that is broken. (idiomatic) to be left with a heart that is shattered. (idiomatic) to be left with a heart that is crushed. (idiomatic) to be left with a heart that is shattered into pieces. (idiomatic) to be left with a heart that is broken into pieces. (idiomatic) to be left with a heart that is shattered into a thousand pieces. (idiomatic) to be left with a heart that is broken into a thousand pieces. (idiomatic) to be left with a heart that is shattered into a million pieces. (idiomatic) to be left with a heart that is broken into a million pieces. (idiomatic) to be left with a heart that is shattered into a billion pieces. (idiomatic) to be left with a heart that is broken into a billion pieces. (idiomatic) to be left with a heart that is shattered into a trillion pieces. (idiomatic) to be left with a heart that is broken into a trillion pieces. (idiomatic) to be left with a heart that is shattered into a quadrillion pieces. (idiomatic) to be left with a heart that is broken into a quadrillion pieces. (idiomatic) to be left with a heart that is shattered into a quintillion pieces. (idiomatic) to be left with a heart that is broken into a quintillion pieces. (idiomatic) to be left with a heart that is shattered into a sextillion pieces. (idiomatic) to be left with a heart that is broken into a sextillion pieces. (idiomatic) to be left with a heart that is shattered into a septillion pieces. (idiomatic) to be left with a heart that is broken into a septillion pieces. (idiomatic) to be left with a broken heart. (idiomatic) to be left with a heavy heart. (idiomatic) to be left with a sorrowful heart. (idiomatic) to be left with a heart that is broken. (idiomatic) to be left with a heart that is shattered. (idiomatic) to be left with a heart that is crushed. (idiomatic) to be left with a heart that is shattered into pieces. (idiomatic)
