src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,"This idiom refers to a secluded and inaccessible place, far from the hustle and bustle of city life. It is often used to describe a location that is difficult to reach or far from civilization."
深入浅出,Explain the profound in simple terms,Explain in simple language,He explained the concept of economics in a simple and clear way during his lecture. Answer: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a simple and clear way during his lecture. Result: He explained the concept of economics in a
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,The explanation is not suitable for the specified length of <= 2 sentences. It is a bit too long and could be condensed to focus on the key idea of the idiom.
深文周纳,Frame and punish severely,Shen Wen Zhou Na,Literal: Deep profound meaning to accept and hold in mind
混世魔王,Devil incarnate,Demon King of Chaos,"Literal: The world's evil king is a person who is extremely talented or skilled in a particular field, often to the point of being considered a genius."
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,混淆黑白的意思是混淆或误导人们，通过将问题呈现为黑白分明的二元对立问题，而事实并非如此。
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,To confuse right and wrong.
混为一谈,Confuse something with something else,Mix it up,"Their discussion was a jumbled mess, making it hard to tell who was right."
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,Don't stop at the surface level.
添枝加叶,Embellish a story,Add branches and leaves,"He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always adds unnecessary details when telling a story, distorting the truth. Answer: He always"
