src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer: It's not worth the trouble. Result: It's not worth the trouble. Answer
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,Literal translation:
पैर रोक लेना,to hesitate before action,to hold back the foot,Stop the foot.
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,उत्तर:
मुँह बंद कर देना,to silence completely,to shut the mouth,-
मुँह चलाना,to speak unnecessarily,to run the mouth,मुँह चलाना (Mūha Chalāna) का अर्थ है: मुँह चलाना या बड़बोलापन। यह एक ऐसा व्यक्ति है जो अपने बारे में बहुत बड़े-बोले होता है और अपनी बातों को महत्व देता है।
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,The idiom मुँह लगाना (mūha lagāna) is a Hindi idiom that means to speak nonsense or to talk foolishly. It is often used to describe someone who is speaking in a way that is not logical or makes no sense.
मुँह मीठा होना,to taste success,for the mouth to become sweet,Answer: A) Sweet-talking
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,"The literal translation of the Chinese idiom 画蛇添足 (huà shé tiān zú) is ""Paint snake to add foot"" or ""To paint a snake and add a foot""."
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,"To talk nonsense, to waste time, to beat around the bush."
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,He started flattering his friend excessively because he was asking him to join his party.
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,The final answer is: to force a wrinkle on someone's forehead.
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,"A person's face is marked with lines. (When a person's face is marked with lines, it means that he has been working hard for a long time and has a lot of experience.)"
दिल में जगह बनाना,to win affection,to make a place in the heart,to make a place in the heart Answer this question
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,Answer:
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in the heart. Answer: To have a slight pain in
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,To keep anger in the heart. Answer this
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,1. from the heart
दिल हिल जाना,to be shaken emotionally,for the heart to shake,चीनी idiom:
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,Literal: (Dil Bāg-Bāg Hona)
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,मेरे भाई के जाने के बाद मैं बहुत उदास महसूस कर रहा था (merē bhāī ke jāne ke baad main bahut udās mahasūs kar rahā thā)
दिल को सुकून मिलना,to find peace,for the heart to find peace,"heart to peace meet"". Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this. Answer this"
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,"The idiom ""दिमाग खराब कर देना"" is a common and relatable expression in Hindi-speaking regions, used to describe situations that cause mental distress or anxiety. It is an informal expression used in everyday conversation, particularly in situations where someone is being constantly nagged or criticized, or when a person is facing a difficult or stressful situation. The tone of this idiom is negative, implying that the person or situation is causing harm to one's mental well-being. It is not typically used in formal or professional settings, as it is a colloquial expression."
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,- दिमाग ठिकाने लग जाना (dimāg ṭhikānē lag jānā)
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Idiom:
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,to lose one's mind. Answer is: to lose one's mind. (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom) (idiom)
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,The light of the mind went out.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,-
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To do something with force or violence.
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,"एक आँख से देख रहा है, एक आँख से रोना (ek ānkh se dek rahā hai, ek ānkh se ronā) - ""watching with one eye, crying with the other""."
जुबान बंद कर देना,to silence someone completely,to shut the tongue,To shut one's mouth. (or To keep one's mouth shut.) (or To keep quiet.) (or To shut up.) (or To keep silent.) (or To hold one's tongue.) (or To be quiet.) (or To be silent.) (or To keep still.) (or To be mum.) (or To be speechless.) (or To be at a loss for words.) (or To be tongue-tied.) (or To be speechless.) (or To be dumbfounded.) (or To be nonplussed.) (or To be taken aback.) (or To be at a loss.) (or To be perplexed.) (or To be bewildered.) (or To be stunned.) (or To be amazed.) (or To be shocked.) (or To be surprised.) (or To be astonished.) (or To be flabbergasted.) (or To be gobsmacked.) (or To be left speechless.) (or To be left aghast.) (or To be left stunned.) (or To be left amazed.) (or To be left shocked.) (or To be left surprised.) (or To be left astonished.) (or To be left flabbergasted.) (or To be left gobsmacked.) (or To be left speechless.) (or To be left aghast.) (or To be left stunned.) (or To be left amazed.) (or To be left shocked.) (or To be left surprised.) (or To be left astonished.) (or To be left flabbergasted.) (or To be left gobsmacked.) (or To be left speechless.) (or To be left aghast.) (or To be left stunned.) (or To be left amazed.) (or To be left shocked.) (or To be left surprised.) (or To be left astonished.) (or To be left flabbergasted.) (or To be left gobsmacked.) (or To be left speechless.) (or To be left aghast.) (or To be left stunned.) (or To be left amazed.) (or To be left shocked.) (or To be left surprised.) (or To be left astonished.) (or To be left flabbergasted.) (or To be left gobsmacked.) (or To be left speechless.) (or To be left aghast.) (or To be left stunned.) (or To be left amazed.) (or To be left shocked.)
जुबान काट लेना,to regret words spoken,to bite the tongue,to cut the tongue
जुबान कसना,to rebuke harshly,to tighten the tongue,To keep quiet or remain silent.  (Note: This is a natural English idiomatic translation given the explanation and literal word-by-word gloss.)
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue of firm hand. Answer | tongue
जुबान पर ताला,to keep secrets locked,a lock on the tongue,Put a lock on your tongue.
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,Tongue slips.
जुबान सरक जाना,to misspeak,for the tongue to slide,"The idiom जुबान सरक जाना (Jubān Sark Jaana) is a Hindi idiom that translates to ""slip of the tongue"" in English. It refers to an unintentional or careless utterance of words, often resulting in unintended consequences or embarrassment. The idiom is often used to describe a situation where someone says something they didn't mean to say, and it can be used in a variety of contexts, such as in politics, social situations, or everyday conversations."
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,A natural English idiomatic translation is:
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,"खून का रिश्ता निभाना (Khūn kā riśtā nibhānā) - to fulfill one's family duties. Answer: खून का रिश्ता निभाना (Khūn kā riśtā nibhānā) - to fulfill one's family duties. The idiom means to fulfill one's family duties.  A blood relation is a family member.  The idiom means to fulfill one's family duties.  The idiom is often used to describe someone who is very devoted to their family and will do everything in their power to help them.  It can also be used to describe someone who is very loyal to their family and will do whatever it takes to protect them.  The idiom is often used in a positive sense, but it can also be used in a negative sense to describe someone who is overly devoted to their family and neglects their other responsibilities.  For example, ""He is so devoted to his family that he has neglected his career.""  The idiom is often used in Indian culture and is considered to be a very important part of Indian values.  It is often used in literature and poetry to describe the importance of family and the duties that come with it.  The idiom is also used in everyday conversation to describe someone who is very devoted to their family.  For example, ""He is a true blood of relation to fulfill.""  The idiom is a reminder that family is very important and that we should always do our best to take care of them.  It is a reminder that family is a responsibility that we should take seriously and that we should always put their needs before our own.  The idiom is a powerful reminder of the importance of family and the duties that come with it.  It is a reminder that family is not just a group of people who are related to us, but it is also a source of strength and support that we can rely on in times of need.  The idiom is a reminder that we should always be there for"
पसीना रोकना,to relieve effort,to stop sweat,To hold a secret
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),He was sweating bullets before the exam and struggling to calm himself down. OR He was really nervous before the exam and struggling to calm himself down. OR He was sweating before the exam and struggling to calm himself down. OR He was extremely anxious before the exam and struggling to calm himself down. OR He was in a state of panic before the exam and struggling to calm himself down. OR He was in a state of anxiety before the exam and struggling to calm himself down. OR He was really anxious before the exam and struggling to calm himself down. OR He was extremely nervous before the exam and struggling to calm himself down. OR He was in a state of high anxiety before the exam and struggling to calm himself down. OR He was in a state of extreme anxiety before the exam and struggling to calm himself down. OR He was in a state of intense anxiety before the exam and struggling to calm himself down. OR He was in a state of deep anxiety before the exam and struggling to calm himself down. OR He was in a state of profound anxiety before the exam and struggling to calm himself down. OR He was in a state of extreme nervousness before the exam and struggling to calm himself down. OR He was in a state of intense nervousness before the exam and struggling to calm himself down. OR He was in a state of deep nervousness before the exam and struggling to calm himself down. OR He was in a state of profound nervousness before the exam and struggling to calm himself down. OR He was extremely anxious before the exam and struggling to calm himself down. OR He was in a state of high anxiety before the exam and struggling to calm himself down. OR He was in a state of extreme anxiety before the exam and struggling to calm himself down. OR He was in a state of intense anxiety before the exam and struggling to calm himself down. OR He was in a state of deep anxiety before the exam and struggling to calm himself down. OR He was in a state of profound anxiety before the exam and struggling to calm himself down. OR He was extremely nervous before the exam and struggling to calm himself down. OR He was in a state of high nervousness before the exam and struggling to calm himself down. OR He was in a state of extreme nervousness before the exam and struggling to calm himself down. OR He was in a state of intense nervousness before the exam and struggling to calm himself down. OR He was in a state of deep nervousness before the exam and struggling to calm himself down. OR He was in a state of profound
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,"To have chest pain Answer: To feel guilty.  The idiom सीने में दर्द होना (Sīne meṃ darḍa honā) translates to ""to feel guilty"" in English. It is a common idiom used in Hindi and other Indian languages to describe a feeling of remorse or regret. The literal translation is ""to be in the chest pain,"" which is a more accurate representation of the idiom's meaning. The idiom is often used to describe a range of emotions, from mild regret to severe remorse, and can be used in a variety of contexts, such as describing a personal feeling or a social situation.  The idiom सीने में दर्द होना (Sīne meṃ darḍa honā) is a common expression in Hindi and other Indian languages, and is often used to describe a range of emotions, from mild regret to severe remorse. The idiom is often used in a variety of contexts, such as describing a personal feeling or a social situation.  The idiom सीने में दर्द होना (Sīne meṃ darḍa honā) is a common expression in Hindi and other Indian languages, and is often used to describe a range of emotions, from mild regret to severe remorse. The idiom is often used in a variety of contexts, such as describing a personal feeling or a social situation.  The idiom सीने में दर्द होना (Sīne meṃ darḍa honā) is a common expression in Hindi and other Indian languages, and is often used to describe a range of emotions, from mild regret to severe remorse. The idiom is often used in a variety of contexts, such as describing a personal feeling or a social situation.  The idiom सीने में दर्द होना (Sīne meṃ darḍa honā) is a common expression in Hindi and other Indian languages, and is often used to describe a range of emotions, from mild regret to severe remorse. The idiom is often used in a variety of contexts, such as describing a personal feeling or a social situation.  The idiom सीने में दर्द होना (Sīne meṃ darḍa honā) is a common expression in Hindi and other Indian languages, and is often used to describe a range of emotions,"
सीने में जलन होना,to feel envy,to have burning in the chest,"To feel a sense of injustice or discontent, often accompanied by a burning sensation in the heart or mind."
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,To feel a volcano of anger rising in one's chest.
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,"To feel guilty or burdened by something.  For example, if someone did something wrong and feels bad about it, we can say that it weighs on their chest.  It is a common idiom used in Hindi and other languages.  The idea is that the weight of guilt or shame is physically pressing down on the chest, making it hard to breathe or move.  It's a powerful metaphor that conveys the emotional weight of regret or remorse.  In everyday life, people often use this idiom to express their feelings of guilt or shame, and it's a way to acknowledge the emotional toll of their actions.  It's a reminder that our actions have consequences, and we should strive to make amends and move forward.  The idiom is often used in a variety of contexts, from personal relationships to professional settings.  For instance, if someone makes a mistake at work, they might say that it weighs on their chest, indicating that they feel guilty and want to make things right.  In personal relationships, if someone hurts someone else's feelings, they might say that it weighs on their chest, showing that they regret their actions and want to apologize.  The idiom is a powerful tool for self-reflection and growth, encouraging people to take responsibility for their actions and make amends when necessary.  It's a reminder that our words and actions have consequences, and we should strive to be mindful of how they impact others.  The idiom is often used in conjunction with other phrases or idioms that convey a sense of regret or remorse, such as ""to eat humble pie"" or ""to swallow one's pride.""  For example, someone might say, ""I feel like I need to eat humble pie and apologize for my mistake,"" or ""I'm trying to swallow my pride and make things right with my friend.""  The idiom is a way to acknowledge the emotional weight of regret or remorse, and it's a reminder that we should strive to be humble and take responsibility for our actions.  It's a powerful tool for personal growth and self-reflection, and it's a way to express feelings of guilt or shame in a way that's both honest and constructive.  The idiom is often used in a variety of contexts, from personal relationships to professional settings.  For instance, if someone makes a mistake at work, they might say that it weighs on their chest, indicating that they feel guilty and want to make things right.  In personal relationships, if someone hurts someone else's feelings"
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,मेरे सीने में आग लग गई (mere sīne meṃ āga lag gaī) = My chest caught fire (I'm intensely angry or passionate).
रंग दिखाना,to reveal true colors,to show color,"The translation of the idiom ""रंग दिखाना"" (rāṅa dikhānā) is ""to show off"" or ""to flaunt""."
रंगीन होना,to enjoy life freely,to become colorful,Idiom: रंगीन होना (rangīn honā)
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,color become weak. Answer:
रंग उड़ना,to fade away,for the color to fly/fade,रंग उड़ना (rangi uddana) का अर्थ है कि किसी को बहुत खुशी हो रही हो।
रंग जमना,to gain traction,for color to set,to become popular
रंग लगना,to start celebrating,to have color applied,एक देखकर आकर्षित हो जाना (ek dekhar aakarshit ho jana) - To be drawn to something at first sight.
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,The final answer is: To be completely absorbed in something.
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,"The final answer is: beyond everywhere be avoided, pass beyond it.  was deleted because it does not match the format of the answer."
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,To straighten one's own owl.  (Literal)  (No change)
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,- Chinese idiom:
