src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing.  Answer: Foot washing
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,- borrow duck of mouth
पैर रोक लेना,to hesitate before action,to hold back the foot,- चीनी idiom: (zuò zhù)
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"turn down"" or ""refuse"" or ""decline"" or ""reject"" or ""spurn"" or ""shun"" or ""avoid"" or ""decline to accept"" or ""refuse to acknowledge"" or ""turn down an offer"" or ""decline an invitation"" or ""spurn an offer"" or ""shun an opportunity"" or ""avoid a situation"" or ""decline to participate"" or ""refuse to engage"" or ""turn down a proposal"" or ""decline a request"" or ""spurn a suggestion"" or ""shun a proposal"" or ""avoid a conversation"" or ""decline to discuss"" or ""refuse to talk"" or ""turn down a conversation"" or ""decline to engage in a discussion"" or ""spurn a conversation"" or ""shun a discussion"" or ""avoid a debate"" or ""decline to participate in a debate"" or ""refuse to engage in a debate"" or ""turn down a debate"" or ""decline to engage in a dialogue"" or ""spurn a dialogue"" or ""shun a dialogue"" or ""avoid a negotiation"" or ""decline to participate in a negotiation"" or ""refuse to engage in a negotiation"" or ""turn down a negotiation"" or ""decline to engage in a discussion"" or ""spurn a discussion"" or ""shun a discussion"" or ""avoid a conversation"" or ""decline to engage in a conversation"" or ""refuse to talk"" or ""turn down a conversation"" or ""decline to engage in a conversation"" or ""spurn a conversation"" or ""shun a conversation"" or ""avoid a discussion"" or ""decline to engage in a discussion"" or ""refuse to engage in a discussion"" or ""turn down a discussion"" or ""decline to engage in a dialogue"" or ""spurn a dialogue"" or ""shun a dialogue"" or ""avoid a negotiation"" or ""decline to engage in a negotiation"" or ""refuse to engage in a negotiation"" or ""turn down a negotiation"" or ""decline to engage in a discussion"" or ""spurn a discussion"" or ""shun a discussion"" or ""avoid a conversation"" or ""decline to engage in a conversation"" or ""refuse to talk"" or ""turn down a conversation"" or ""decline to engage in a conversation"" or ""spurn a conversation"" or ""shun a conversation"" or ""avoid"
मुँह बंद कर देना,to silence completely,to shut the mouth,To close the mouth.
मुँह चलाना,to speak unnecessarily,to run the mouth,All Talk and No Action
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,"- मुँह लगाना (mūh lagānā) = to stick to one's words, promises, etc. (idiomatic, not the intended meaning)"
मुँह मीठा होना,to taste success,for the mouth to become sweet,मुँह मीठा होना (Munh meetha hona)
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,(ài qǐ huà) = बिना सोचे समझे बोलना (binā socē samjhē bolnā)
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,"to talk nonsense, to speak foolishly, to prattle on."
