src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,"He walked into the deep, dense forest and soon got lost. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the list of idioms. Back to the"
深入浅出,Explain the profound in simple terms,Explain in simple language,Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter shallow out.  Deep enter
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,"to have a profound impact or to resonate deeply.  The idiom suggests that something has touched someone's emotions or values at a fundamental level, leaving a lasting impression.  This idiom is often used in literary or artistic contexts to describe a work that has a lasting effect on the audience.  Example sentence: The novel had a profound impact on me, and I still think about it years later.  This sentence conveys the same idiomatic sense as the Chinese example sentence.  I hope this helps! Let me know if you have any other questions.  Best regards, [Your Name]  Note: I've kept the response concise and focused on the idiomatic sense of the Chinese idiom. If you'd like me to elaborate or provide additional examples, please let me know!  Additional note: I've used a formal tone in the response, which is suitable for educated readers. If you'd like me to use a more conversational tone, please let me know!  Please let me know if you have any other questions or if there's anything else I can help you with!  Best regards, [Your Name]  Note: I've kept the response concise and focused on the idiomatic sense of the Chinese idiom. If you'd like me to elaborate or provide additional examples, please let me know!  Additional note: I've used a formal tone  The final answer is: to have a profound impact or to resonate deeply.  Explanation: This idiom suggests that something has touched someone's emotions or values at a fundamental level, leaving a lasting impression.  This idiom is often used in literary or artistic contexts to describe a work that has a lasting effect on the audience.  Example sentence: The novel had a profound impact on me, and I still think about it years later.  This sentence conveys the same idiomatic sense as the Chinese example sentence.  I hope this helps! Let me know if you have any other questions.  Best regards, [Your Name]  Note: I've kept the response concise and focused on the idiomatic sense of the Chinese idiom. If you'd like me to elaborate or provide additional examples, please let me know!  Additional note: I've used a formal tone in the response, which is suitable for educated readers. If you'd like me to use a more conversational tone, please let me know!  Please let me know if you have any other questions or if there's anything else I can help you with!  Best regards"
深文周纳,Frame and punish severely,Shen Wen Zhou Na,"He said a lot of words, but I think he was hinting at my question."
混世魔王,Devil incarnate,Demon King of Chaos,Literal: mixed world devil king
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,The final answer is: Blurring the lines.
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,"To mix up and not exist. Or, To confuse and not be. Or, To mix up and be not. Or, To confuse and exist not. Answer: To mix up and not exist. Or, To confuse and not be. Or, To mix up and be not. Or, To confuse and exist not. Answer: To mix up and not exist. Or, To confuse and not be. Or, To mix up and be not. Or, To confuse and exist not. Answer: To mix up and not exist. Or, To confuse and not be. Or, To mix up and be not. Or, To confuse and exist not. Answer: To mix up and not exist. Or, To confuse and not be. Or, To mix up and be not. Or, To confuse and exist not. Answer: To mix up and not exist. Or, To confuse and not be. Or, To mix up and be not. Or, To confuse and exist not. Answer: To mix up and not exist. Or, To confuse and not be. Or, To mix up and be not. Or, To confuse and exist not. Answer: To mix up and not exist. Or, To confuse and not be. Or, To mix up and be not. Or, To confuse and exist not. Answer: To mix up and not exist. Or, To confuse and not be. Or, To mix up and be not. Or, To confuse and exist not. Answer: To mix up and not exist. Or, To confuse and not be. Or, To mix up and be not. Or, To confuse and exist not. Answer: To mix up and not exist. Or, To confuse and not be. Or, To mix up and be not. Or, To confuse and exist not. Answer: To mix up and not exist. Or, To confuse and not be. Or, To mix up and be not. Or, To confuse and exist not. Answer: To mix up and not exist. Or, To confuse and not be. Or, To mix up and be not. Or, To confuse and exist not. Answer: To mix up and not exist. Or, To confuse and not be. Or, To mix up and be not. Or, To confuse and exist not. Answer: To mix up and not exist. Or, To confuse and not be. Or, To mix up and be not. Or, To confuse and exist not. Answer: To mix"
混为一谈,Confuse something with something else,Mix it up,Mix as one talk.
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,Try lightly and stop at that.  Literal translation: 浅尝  Translation: Try lightly  Literal translation: 辄止  Translation: Stop at that  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and stop at that.  Literal translation: 浅尝辄止  Translation: Try lightly and
添枝加叶,Embellish a story,Add branches and leaves,He went on and on with unnecessary details.
