src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,Literal: पैर धोना
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,to take hold of one's foot. (idiom means to take hold of something that is already in one's control or possession)
पैर रोक लेना,to hesitate before action,to hold back the foot,- एक पत्ती (ek pattī) = one leaf
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,- 一草 (yī cǎo) = one grass
मुँह बंद कर देना,to silence completely,to shut the mouth,English translation:
मुँह चलाना,to speak unnecessarily,to run the mouth,Literal translation:
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,I fell in love with that girl at first sight.
मुँह मीठा होना,to taste success,for the mouth to become sweet,"To be sweet in the mouth. (Note: This idiom is often used to describe someone who speaks sweetly but has malicious intentions.) Answer: He spoke sweetly, but ultimately betrayed us."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Mouth not to choose words
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against a brick wall Answer: to beat one's head against
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Mouth Wash
