src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,The final answer is:
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,"The idiom "" पकड़ना एक नाव"" is a common expression in Chinese that means to catch a fish (or take advantage of a situation) while it is still in the water (i.e., before it escapes)."
पैर रोक लेना,to hesitate before action,to hold back the foot,"The idiom ""पैर रोक लेना"" is likely to be translated to English as ""to take a step back"" or ""to take a pause"" or ""to take a breather"" or ""to step back"" or ""to hold back"" or ""to hold off"" or ""to slow down"" or ""to put on the brakes""."
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,to turn one's back on someone or something. Answer: to turn one's back on someone or something. to abandon or desert someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on someone or something. to abandon or desert someone or something. to turn one's back on
मुँह बंद कर देना,to silence completely,to shut the mouth,- Close
मुँह चलाना,to speak unnecessarily,to run the mouth,"He talks big, but doesn't do anything."
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,मुफ्त में कुछ पाने की कोशिश करना। (Mufat mein kuchh pāne ki koshish karnā.)
मुँह मीठा होना,to taste success,for the mouth to become sweet,He is speaking sweetly but deceiving me.
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Literal translation:
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,It's pointless.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,A natural English idiomatic translation:
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,Literal translation:
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,Forehead on lines to fall/come to be.
दिल में जगह बनाना,to win affection,to make a place in the heart,- (jiàn) = to meet
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To have a heart full of sorrow or pain.
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,मुझे दिल में खटका है कि मैं अपने करियर के लिए क्या करना है। (I feel a pang in my heart about what to do with my career.)
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,heart in anger to keep.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,दिल की गहराई से (dil ki gahraai se) हिंदी में अर्थ: From the depth of the heart. हिंदी में अर्थ: दिल की गहराई से (dil ki gahraai se) हिंदी में अर्थ: From the depth of the heart. हिंदी में अर्थ: दिल की गहराई से (dil ki gahraai se) हिंदी में अर्थ: From the depth of the heart. हिंदी में अर्थ: दिल की गहराई से (dil ki gahraai se) हिंदी में अर्थ: From the depth of the heart. हिंदी में अर्थ: दिल की गहराई से (dil ki gahraai se) हिंदी में अर्थ: From the depth of the heart. हिंदी में अर्थ: दिल की गहराई से (dil ki gahraai se) हिंदी में अर्थ: From the depth of the heart. हिंदी में अर्थ: दिल की गहराई से (dil ki gahraai se) हिंदी में अर्थ: From the depth of the heart. हिंदी में अर्थ: दिल की गहराई से (dil ki gahraai se) हिंदी में अर्थ: From the depth of the heart. हिंदी में अर्थ: दिल की गहराई से (dil ki gahraai se) हिंदी में अर्थ: From the depth of the heart. हिंदी में अर्थ: दिल की गहराई से (dil ki gahraai se) हिंदी में अर्थ: From the depth of the heart. हिंदी में अर्थ: दिल की गहराई से (dil ki gahraai se) हिंदी में अर्थ: From the depth of the heart. हिंदी में अर्थ: दिल की गहराई से (dil ki gahraai se) हिंदी में अर्थ:
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The final answer is: Chinese Idiom:
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart garden garden be.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,To be left broken-hearted.  (For correct translation)  - 10 points  (For incorrect translation)  - 5 points  (For no attempt)  - 0 points  (For correct translation with explanation)  + 20 points  (For incorrect translation with explanation)  + 10 points  (For no attempt with explanation)  + 5 points  (For correct translation with explanation)  + 20 points  (For incorrect translation with explanation)  + 10 points  (For no attempt with explanation)  + 5 points  (For correct translation with explanation)  + 20 points  (For incorrect translation with explanation)  + 10 points  (For no attempt with explanation)  + 5 points  (For correct translation with explanation)  + 20 points  (For incorrect translation with explanation)  + 10 points  (For no attempt with explanation)  + 5 points  (For correct translation with explanation)  + 20 points  (For incorrect translation with explanation)  + 10 points  (For no attempt with explanation)  + 5 points  (For correct translation with explanation)  + 20 points  (For incorrect translation with explanation)  + 10 points  (For no attempt with explanation)  + 5 points  (For correct translation with explanation)  + 20 points  (For incorrect translation with explanation)  + 10 points  (For no attempt with explanation)  + 5 points  (For correct translation with explanation)  + 20 points  (For incorrect translation with explanation)  + 10 points  (For no attempt with explanation)  + 5 points  (For correct translation with explanation)  + 20 points  (For incorrect translation with explanation)  + 10 points  (For no attempt with explanation)  + 5 points  (For correct translation with explanation)  + 20 points  (For incorrect translation with explanation)  + 10 points  (For no attempt with explanation)  + 5 points  (For correct translation with explanation)  + 20 points  (For incorrect translation with explanation)  + 10 points  (For no attempt with explanation)  + 5 points  (For correct translation with explanation)  + 20 points  (For incorrect translation with explanation)  + 10 points  (For no attempt with explanation)  + 5 points  (For correct
दिल को सुकून मिलना,to find peace,for the heart to find peace,The sun's rays rise. Answer: The sun is rising. (or) The sun rises.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,Literal: (xiǎng lóng zhī shēng)
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,Mind is full.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,To put a heavy burden on someone's mind.
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,To have only one good thing in a bad situation.
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,The light of the mind is extinguished.
