src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight before you have a chance to escape. Answer: It is not wise to start a fight
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,English: to seize the moment
पैर रोक लेना,to hesitate before action,to hold back the foot,"The idiom पैर रोक लेना (pār rok lenā) means ""to stop someone's feet"" or ""to hold someone back by the feet""."
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,80/100
मुँह बंद कर देना,to silence completely,to shut the mouth,To be completely stunned or speechless.
मुँह चलाना,to speak unnecessarily,to run the mouth,-
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,Get close to someone or win them over.
मुँह मीठा होना,to taste success,for the mouth to become sweet,He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was a man who spoke sweetly but had evil intentions. Answer: He was
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,"- Mouth interrupting, mouth interjecting, mouth speaking in between."
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To be forced to eat one's own words. The final answer is: To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's own words. To be forced to eat one's
