src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Literal: Translation: _______________________________________________________
深入浅出,Explain the profound in simple terms,Explain in simple language,"His lecture was clear and concise, and the audience could understand it easily.  Answer:"
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,Here is the answer in a more formal tone:
深文周纳,Frame and punish severely,Shen Wen Zhou Na,"The idiom ""深文周纳"" is a Chinese idiom that means ""to be widely accepted and appreciated by many people, often implying a deep understanding or insight""."
混世魔王,Devil incarnate,Demon King of Chaos,A person who uses their talents and skills for evil purposes.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,"In an era where right and wrong were confused, he stuck to his principles."
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,**Idiom:** 混淆是非
混为一谈,Confuse something with something else,Mix it up,(No change)
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,"He only tasted a little and stopped, and thought he was very good already."
添枝加叶,Embellish a story,Add branches and leaves,添枝加叶的意思是：添枝加叶是指在讲故事或传递信息时，添加不必要的细节或装饰，以使其看起来更精彩或更有吸引力，但实际上却使其变得混乱或不清晰。
添砖加瓦,Do one's little bit,Add bricks and mortar,Add brick add tile
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,Add oil add vinegar
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,-
游刃有余,Be move than equal to a task,Do it with ease,"Having a surplus of a sword to play with. Explanation: This idiom means to have an advantage or a surplus of something. It is often used in situations where someone has more than they need, and can use the excess to their benefit. The phrase is derived from the idea of a swordsman having a spare sword to play with, implying that they have an abundance of resources at their disposal. In everyday language, the idiom is used to describe a situation where someone has a surplus of something, such as money, time, or skills, and can use the excess to their advantage. For example, ""She has a surplus of qualifications and can choose from many job offers."" The idiom is often used in a positive sense, implying that someone is in a strong position and can take advantage of their surplus to achieve their goals. However, it can also be used in a negative sense, implying that someone is overconfident or complacent due to their surplus, and may not be able to appreciate the value of what they have. Overall, the idiom is a useful way to describe a situation where someone has an advantage or surplus, and can use it to their benefit. The phrase is often used in business, education, and other areas where having a surplus of resources or skills can be an advantage. In addition, the idiom can be used to describe a situation where someone has a surplus of knowledge or experience, and can use it to help others. For example, ""He has a surplus of knowledge and can teach others about it."" The idiom is a useful tool for describing a situation where someone has an advantage or surplus, and can use it to their benefit. It is often used in a variety of contexts, including business, education, and personal relationships. In conclusion, the idiom ""游刃有余"" is a useful way to describe a situation where someone has an advantage or surplus, and can use it to their benefit. It is a common phrase in Chinese language and culture, and is often used in everyday conversation. The idiom is a useful tool for describing a situation where someone has a surplus of resources or skills, and can use it to achieve their goals. It is a positive idiom, implying that someone is in a strong position and can take advantage of their surplus to achieve their goals. However, it can also be used in a negative sense, implying that someone is overconfident or complacent due to their surplus, and may not be able to appreciate the value of what they have."
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,Fish in muddy water
浑然一体,An integral whole,All in one,Whole and one body Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:  Whole  and  one  body  Answer:
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,To review the past in order to understand the present.
沧海横流,The changes and disorders of the times,Across the sea,Cang sea horizontal flow Share: | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,"In the company, he was just a grain of sand in the ocean, making it hard to be noticed."
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,Literal translation:
滴水成冰,Freezing cold,Dripping into ice,A small amount of water can freeze into ice. A small amount of effort can achieve great results. Don't make a mountain out of a molehill. The drop of water turned into ice. The small scratch on the car was a major problem. The small effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of effort turned into a huge success. The small amount of water turned into ice. The small amount of
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits","Full invite harm, humble receive benefit. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble. Answer: You invite trouble when you're full of yourself, but you gain advantage when you're humble."
满城风雨,Become the talk of the town,Wind and rain all over the city,The whole city is in an uproar.
泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,"Literal: A woman spits street  Answer: She was yelling at someone loudly and publicly on the street, causing a big commotion."
滥竽充数,Just to fill up a vacancy,Excessive use of data,滥竽充数
火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add oil on fire. Result: Add oil on fire. Answer: Add
火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,A person who has a lot of money but lacks intelligence or wisdom.
