src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,This village in the deep mountains has not been visited by outsiders for hundreds of years. Answer:
深入浅出,Explain the profound in simple terms,Explain in simple language,This idiom means to convey complex ideas in a simple and straightforward manner.
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,"This movie deeply resonated with people, touching many people's hearts."
深文周纳,Frame and punish severely,Shen Wen Zhou Na,"Deeply profound words are accepted with a broad mind. Answer: Deeply profound words are accepted with a broad mind. Breakdown: - **深** (shēn) - Deeply - **文** (wén) - Words - **周** (zhōu) - Around - **纳** (nà) - Accepted - **纳** (nà) - With - **心** (xīn) - Mind - **宽** (kuān) - Broad Note: The idiom is often used to describe someone who is open-minded and willing to accept new ideas or perspectives. Example sentence: ""他对新思想非常开放，深文周纳，很容易接受新观点。"" (He is very open to new ideas, deeply profound words are accepted with a broad mind, and it's easy for him to accept new perspectives.) In this sentence, the idiom is used to describe the person's openness and willingness to accept new ideas. The word ""深文"" refers to profound or deeply meaningful words, and ""周纳"" refers to accepting or taking in these words with a broad or open mind. The idiom suggests that the person is not only willing to listen to new ideas, but also has the capacity to understand and appreciate their depth and complexity. The idiom is often used to describe someone who is a good listener, a good learner, and a good thinker. It implies that the person is not only open-minded, but also has the ability to think critically and deeply about new ideas. The idiom is often used in a positive sense to describe someone who is intelligent, wise, and thoughtful. However, it can also be used in a negative sense to describe someone who is too open-minded or naive, and lacks critical thinking skills. In this case, the idiom might suggest that the person is too easily swayed by new ideas or perspectives, and lacks the ability to critically evaluate them. Overall, the idiom ""深文周纳"" suggests that the person is open-minded, thoughtful, and willing to learn, but also has the ability to critically evaluate new ideas and perspectives. The idiom is often used in a variety of contexts, including education, business, and personal relationships. It is a valuable expression that highlights the importance of being open-minded, thoughtful, and critically thinking in our personal and professional lives. The idiom is also a reminder that being open-minded does not mean being naive or lacking critical thinking skills. It suggests that being open-minded is"
混世魔王,Devil incarnate,Demon King of Chaos,Mysterious world evil king.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,To mix black and white.
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,To mix up right and wrong.
混为一谈,Confuse something with something else,Mix it up,```
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,He only dabbled in a few foreign languages superficially and was not able to handle everyday conversations.
添枝加叶,Embellish a story,Add branches and leaves,Add branch and add leaf
