src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,Don't cry over spilt milk; look to the future.
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,to take advantage of a situation or opportunity.
पैर रोक लेना,to hesitate before action,to hold back the foot,"The idiom (jiǎo zhāng) means to be in a difficult or precarious situation, often with no clear way out. It can also refer to being trapped or cornered, with limited options."
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,The idiom मुँह मोड़ लेना means to turn down an offer or invitation.
मुँह बंद कर देना,to silence completely,to shut the mouth,- कर (Kar) = to do/to
मुँह चलाना,to speak unnecessarily,to run the mouth,The idiom मुँह चलाना (mūha cālānā) means that to speak or talk is to run one's mouth.
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,to start or begin something
मुँह मीठा होना,to taste success,for the mouth to become sweet,Literal: (Munh Meetha Hona)
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,To be on the tip of the tongue.  Answer this question: What does this idiom mean?  What is the context in which it is used?  What is the implication of using this idiom?  Is it positive or negative?  Explain.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,मुँह पीटना  |
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,"मुँह से मीठे शब्द बोलकर, दिल से कटुता और द्वेष को छुपाना। (Mūh se mīthe shabd bolakar, dil se katuṭā aur dvēṣ ko chhupāna.) - to be sweet in words but bitter in heart."
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To give a slap on the face. (Note: The idiom is used to describe a situation where someone is humiliated or embarrassed in public.)
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,On the face lines fall.
दिल में जगह बनाना,to win affection,to make a place in the heart,to make a place in the heart. Answer this question
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,I feel uneasy about that movie.
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,Literal translation:
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,to hold a grudge in one's heart.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,"The idiom दिल की गहराई से is a powerful expression that conveys a sense of sincerity and authenticity, and is an important part of the Hindi language and culture."
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The correct translation of the idiom is: To lose one's heart or to be heartbroken.
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart is full of joy.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,be left heartbroken.  .
