src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep mountain old forest.
深入浅出,Explain the profound in simple terms,Explain in simple language,**Idiom:** 一语惊人
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,Here's the final answer to the original question:
深文周纳,Frame and punish severely,Shen Wen Zhou Na,"Literal: Translation: Deep meaning, all in; whole, accept; profound, include; all, receive; profound, accept; deep, include; all, in; profound, whole; deep, accept; profound, all; whole, include; deep, whole; profound, all; whole, profound; deep, all; profound, whole; deep, profound; whole, all; profound, deep; whole, profound; all, deep; whole, profound; all, deep; profound, whole; deep, all; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all, deep; profound, whole; all"
混世魔王,Devil incarnate,Demon King of Chaos,Heaven below
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,"Literal translation: The categories are mixed, black and white."
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Mix confuse right wrong
混为一谈,Confuse something with something else,Mix it up,Mix as one talk
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,To lightly taste and then stop. (Note: the word order is often changed in English translations for idioms to make them sound more natural.)  Answer key:  To lightly taste and then stop. (Note: the word order is often changed in English translations for idioms to make them sound more natural.)  Answer key:  To lightly taste and then stop. (Note: the word order is often changed in English translations for idioms to make them sound more natural.)  Answer key:  To lightly taste and then stop. (Note: the word order is often changed in English translations for idioms to make them sound more natural.)  Answer key:  To lightly taste and then stop. (Note: the word order is often changed in English translations for idioms to make them sound more natural.)  Answer key:  To lightly taste and then stop. (Note: the word order is often changed in English translations for idioms to make them sound more natural.)  Answer key:  To lightly taste and then stop. (Note: the word order is often changed in English translations for idioms to make them sound more natural.)  Answer key:  To lightly taste and then stop. (Note: the word order is often changed in English translations for idioms to make them sound more natural.)  Answer key:  To lightly taste and then stop. (Note: the word order is often changed in English translations for idioms to make them sound more natural.)  Answer key:  To lightly taste and then stop. (Note: the word order is often changed in English translations for idioms to make them sound more natural.)  Answer key:  To lightly taste and then stop. (Note: the word order is often changed in English translations for idioms to make them sound more natural.)  Answer key:  To lightly taste and then stop. (Note: the word order is often changed in English translations for idioms to make them sound more natural.)  Answer key:  To lightly taste and then stop. (Note: the word order is often changed in English translations for idioms to make them sound more natural.)  Answer key:  To lightly taste and then stop. (Note: the word order is often changed in English translations for idioms to make them sound more natural.)  Answer key:  To lightly taste and then stop. (Note: the word order is often changed in English translations for idioms to make them sound more natural.)  Answer key:  To lightly
添枝加叶,Embellish a story,Add branches and leaves,"The idiom 添枝加叶 means to add unnecessary details or embellishments to a story or plan, making it sound more impressive or interesting but potentially less believable."
