src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Literal translation: Deep mountains old forest.
深入浅出,Explain the profound in simple terms,Explain in simple language,He explained the complex concept in a straightforward and easy-to-understand manner in his speech. Answer: He explained it simply. Result: He explained the complex concept in a straightforward and easy-to-understand manner in his speech. Answer: He explained it simply. Result: He explained the complex concept in a straightforward and easy-to-understand manner in his speech. Answer: He explained it simply. Result: He explained the complex concept in a straightforward and easy-to-understand manner in his speech. Answer: He explained it simply. Result: He explained the complex concept in a straightforward and easy-to-understand manner in his speech. Answer: He explained it simply. Result: He explained the complex concept in a straightforward and easy-to-understand manner in his speech. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer: He explained it simply. Answer:
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,"Deep into human heart Answer: Deep into human heart  Explanation: This idiom means to be deeply understood or accepted by people. It implies that the idea or message has penetrated the hearts of the audience, and they have a profound understanding of it. The phrase ""deep into human heart"" is a literal translation of the idiom, conveying the idea of something being deeply ingrained or understood by people. The phrase is often used to describe a message, idea, or concept that has resonated with people and has become a part of their consciousness."
深文周纳,Frame and punish severely,Shen Wen Zhou Na,to fully take in the deeper meaning.
混世魔王,Devil incarnate,Demon King of Chaos,goals or benefits from a single action.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,"The politician's statement 混淆黑白, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making it hard to tell right from wrong. Answer: The politician's statement confused black and white, making"
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Literal: Mix confuse right wrong
混为一谈,Confuse something with something else,Mix it up,to mix into one talk |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,"To stop exploring or trying something after a brief or superficial experience, without delving deeper. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |"
添枝加叶,Embellish a story,Add branches and leaves,"The idiom ""添枝加叶"" is a metaphorical expression that means to ""add unnecessary details"" or ""to embellish excessively""."
添砖加瓦,Do one's little bit,Add bricks and mortar,He's just adding to his wealth by buying a few expensive watches.
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,Add oil and vinegar.
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,"The idiom ""一箭双雕"" is often used to describe a situation where one action or effort has multiple benefits or outcomes."
游刃有余,Be move than equal to a task,Do it with ease,To have a sword to play with and to have some left over.
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,"- ""Muddy water"
浑然一体,An integral whole,All in one,"This idiom describes something that is perfectly integrated, without any discrepancy or contradiction, like a harmonious whole."
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling the old. Answer: To understand the new by recalling
沧海横流,The changes and disorders of the times,Across the sea,The waves of the vast sea are flowing horizontally.
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,"A vast and deep and boundless and unfathomable and mysterious and profound and subtle ocean one grain of.  (The idiom is often translated as ""a single grain of sand in the vast ocean"".)"
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,**Chinese Idiom:** 灭此朝食，灭彼朝食
滴水成冰,Freezing cold,Dripping into ice,滴水成冰
