src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,"I am in a predicament.  (Note: This is a noun phrase, not a verb phrase.)  Source: Hindi.  (The idiom is not found in Chinese.)  The idiom is used in Hindi to mean ""to be in a predicament"" or ""to be in a tight spot"".  It is used to describe a situation where one is caught in a difficult or precarious situation, and is unable to extricate oneself.  The idea is that one's foot/leg is stuck in a muddy or dirty place, and one cannot wash it clean.  The idiom is often used in a humorous or ironic way to describe a situation that is not actually life-threatening, but is still uncomfortable or frustrating.  For example, ""Main pār dhonā hai"" means ""I am in a predicament"" or ""I am in a tight spot"".  Source: Wikipedia.  Note: This idiom is not found in Chinese, but I included it in the prompt because it is a well-known idiom in Hindi.  I hope this is acceptable.  Please let me know if you have any questions or concerns."
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,He wanted to take advantage of the situation to get a good job by following his friend.
पैर रोक लेना,to hesitate before action,to hold back the foot,चलने से रोकना
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"to refuse or decline something, often due to fear or reluctance."
मुँह बंद कर देना,to silence completely,to shut the mouth,"मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" (mò kǒu quán) मुँह बंद कर देना = """" ("
मुँह चलाना,to speak unnecessarily,to run the mouth,A natural English idiomatic translation is:
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,Go and provoke him.
मुँह मीठा होना,to taste success,for the mouth to become sweet,"मुँह मीठा होना (mūh mīṭhā honā) का अर्थ है ""मुंह से मीठे शब्दों का उपयोग करना लेकिन वास्तव में क्रूर व्यवहार करना""। यह एक ऐसी स्थिति है जहां कोई व्यक्ति अपने शब्दों के माध्यम से दूसरों को आकर्षित करता है लेकिन वास्तव में उनके प्रति क्रूर और कठोर होता है।"
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Mouth amidst (or Mouth in the middle)
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Literal translation: Mouth tongue is warrior.
