src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,- A. Wash the foot
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,चलते हुए कुत्ते को पकड़ना (chālata hū kūṭa kō pakḍ nā) - जानवर को पकड़ने के लिए कुत्ते को चलते हुए पकड़ना (जानवर को पकड़ने के लिए कुत्ते को चलते हुए पकड़ना)।
पैर रोक लेना,to hesitate before action,to hold back the foot,"To put a stop to something that is going to happen, to prevent something from happening."
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"The Chinese idiom ""反水"" (fǎn shuǐ) means ""to turn against someone"" or ""to betray someone""."
मुँह बंद कर देना,to silence completely,to shut the mouth,"The Chinese idiom is often used in situations where someone's words or actions are so convincing that they can change others' opinions or beliefs. It can also be used to describe a situation where someone's words or actions are so powerful that they can silence others, making them feel inferior or powerless."
मुँह चलाना,to speak unnecessarily,to run the mouth,Literal translation: Mouth moving.
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,- मुँह लगाना = to try to get something by flattering or making friends with someone in a position of power or authority.
मुँह मीठा होना,to taste success,for the mouth to become sweet,I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put in the box. I do not have an answer to put
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Mouth in the middle.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Literal translation: Mouth to beat
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,To curry favor with someone.
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,to put a frown on the forehead
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,Forehead on lines to fall.
दिल में जगह बनाना,to win affection,to make a place in the heart,Heart in place make-to-be.
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,- Thorns in the heart pierce painfully.
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,किसी कार्य में मन नहीं लगना या उसमें रुचि नहीं होना।
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,to hold a grudge in one's heart. Answer this question
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,"एक ही सोच (ek hi soch) - literally, ""one thought"" or ""one idea"
दिल हिल जाना,to be shaken emotionally,for the heart to shake,To be moved to the heart.
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,- My heart is full of joy.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,Literal translation:
दिल को सुकून मिलना,to find peace,for the heart to find peace,heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart to get peace. Answer: heart
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,मुझे समझ में नहीं आया (Mujhe samajh mē nāhī āyā)
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,To be stuck in one's mind.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Literal: (diū le jīn yuè shì)
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,Literal translation:
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,Literal translation:
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,I'm grinding my teeth.
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,"The idiomatic translation for the idiom ""दाँत नाखून से काम लेना"" is:"
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,"The idiom is likely to be a metaphorical expression, and the literal translation does not convey the intended meaning. The idiom is often used in Hindi and other languages to mean ""to keep a secret"" or ""to keep something hidden""."
जुबान बंद कर देना,to silence someone completely,to shut the tongue,I was left speechless when I saw him.
जुबान काट लेना,to regret words spoken,to bite the tongue,to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer: to bite one's tongue. Answer:
जुबान कसना,to rebuke harshly,to tighten the tongue,- जुबान कसना (Jubān kasna) =
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,"The best answer is ""Tongue is strong""."
जुबान पर ताला,to keep secrets locked,a lock on the tongue,"The best answer is D.  The idiom जुबान पर ताला (Jubān par tālā) means a person who is tight-lipped or secretive. The phrase ""on the tongue a lock"" suggests that the person's tongue is locked, unable to speak freely. The addition of ""and key"" implies that even if the person wants to speak, they are unable to do so. The phrase ""that cannot be turned"" emphasizes that the lock is unyielding, and the person remains silent. The closest English equivalent to this idiom is ""a person who is tight-lipped."
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,जुबान फिसल जाना
जुबान सरक जाना,to misspeak,for the tongue to slide,-
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,To keep the sweetness of the tongue.
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,Blood's relation fulfill Answer is: Blood's relation fulfill
पसीना रोकना,to relieve effort,to stop sweat,The correct answer is:
