src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep mountains old forest. Answer: Deep
深入浅出,Explain the profound in simple terms,Explain in simple language,"This idiom means to present complex information in a clear and simple manner, making it easy for others to comprehend."
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,Literal: Translation: Deep into human heart
深文周纳,Frame and punish severely,Shen Wen Zhou Na,Deeply subtle words are accepted with a wide scope
混世魔王,Devil incarnate,Demon King of Chaos,"He's the master of his craft, and his latest innovation has left everyone speechless."
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得模糊不清。 Answer: 混淆黑白是指将善恶、是非的界限变得
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,混淆是非的意思是指混淆正义与非正义，或者说混淆善恶。
混为一谈,Confuse something with something else,Mix it up,这句话的意思是突然提起一个与原话无关的内容，改变话题或转移注意力。
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,_____________ Answer:
添枝加叶,Embellish a story,Add branches and leaves,"Add oil add vinegar Answer: to embellish or exaggerate something, often to make it more interesting or impressive.  Example sentence: 他在讲故事时, 总是添油加醋, 让听众感到困惑。 (He always embellishes or exaggerates when telling stories, making the listeners feel confused.) Answer: He always embellishes or exaggerates when telling stories, making the listeners feel confused.  Note: This idiom is often used to describe someone who is prone to exaggeration or embellishment, often to the point of making their story unbelievable or untrustworthy.  In this example, the speaker is implying that the storyteller is not being truthful or accurate, and is instead adding fictional details to make their story more engaging or impressive.  This idiom is often used in everyday conversation to express skepticism or disappointment with someone's storytelling or exaggeration.  In addition to its literal meaning, this idiom can also be used to describe someone who is prone to embellishing the truth in other areas of life, such as in their resume, in their writing, or in their conversations.  Overall, 添枝加叶 is a useful idiom to know when communicating with native Chinese speakers, as it can help you express your skepticism or disappointment with someone's exaggeration or embellishment.  However, I noticed that the idiom ""添枝加叶"" is not commonly used in everyday conversation.  It's more of a formal or literary expression.  If you want to express the same idea in a more casual or conversational way, you could use the idiom ""添油加醋"" (tiān yóu jiā cù).  This idiom has a more natural and idiomatic translation.  The literal translation of ""添油加醋"" is ""add oil add vinegar"", but the idiomatic translation is ""to embellish or exaggerate something, often to make it more interesting or impressive"".  This idiom is often used to describe someone who is prone to exaggeration or embellishment, often to the point of making their story unbelievable or untrustworthy.  In this example, the speaker is implying that the storyteller is not being truthful or accurate, and is instead adding fictional details to make their story more engaging or impressive.  This idiom is often used in everyday conversation to express skepticism or disappointment with someone's storytelling or exaggeration.  In addition to its literal meaning, this idiom can also be used to describe someone who is"
添砖加瓦,Do one's little bit,Add bricks and mortar,Add brick add tile
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,Add oil add vinegar
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,"She finally found a good caregiver, and felt a great sense of relief, her mood greatly relaxed."
