src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,- to wash the foot  (foot washing) Answer:
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,to take advantage of a situation or to profit from someone else's mistake or misfortune.
पैर रोक लेना,to hesitate before action,to hold back the foot,- पैर रोक लेना (pār rok lenā) =
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,Word-by-word translation:
मुँह बंद कर देना,to silence completely,to shut the mouth,The final answer is:
मुँह चलाना,to speak unnecessarily,to run the mouth,He's talking nonsense.
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,मुँह लगाना (Mūha lagāna) का अर्थ है किसी चीज़ में रुचि लेना या उसे पसंद करना। यह एक ऐसी चीज़ है जो आपको आकर्षित करती है और आप उसे देखना या सुनना चाहते हैं। यह एक सकारात्मक भावना है जो आपको किसी चीज़ में रुचि लेने के लिए प्रेरित करती है।
मुँह मीठा होना,to taste success,for the mouth to become sweet,He was speaking sweetly but trying to create an atmosphere against us.
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they're talking. Answer: Don't interrupt others while they
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To waste one's time.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,(Chún kǒu)
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To make a mark on the forehead.
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,- माथे पर लकीरें पड़ना (Māthe par Lakīren Pāḍnā) = On the forehead to fall lines.
दिल में जगह बनाना,to win affection,to make a place in the heart,में (mein) = in
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,Literal translation:
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,दिल में खटका होना
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,To hold a grudge.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,He was deeply hurt from the depth of his heart when he lost his friend.
दिल हिल जाना,to be shaken emotionally,for the heart to shake,Heart like knife cut. |  |  | |
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,To be extremely happy or delighted.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,My heart is broken. Answer: My heart is broken.
