src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,"In a place where nothing new or exciting happens, there are still things that have been around for a long time."
深入浅出,Explain the profound in simple terms,Explain in simple language,说明复杂的东西很容易理解。 (shuō míng fù jiā de dōng xi hěn róng yì lǐ jiě.)
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,Literal: Deep into human heart
深文周纳,Frame and punish severely,Shen Wen Zhou Na,"不可思议"" means to be unbelievable, or to be beyond one's comprehension."
混世魔王,Devil incarnate,Demon King of Chaos,The Demon King of the World
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Literal: Translation: _______________________  Answer:  Confuse black and white.
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Idiom: 混淆是非
混为一谈,Confuse something with something else,Mix it up,"He mixed two completely different concepts together in his speech, which left the audience feeling puzzled."
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,The idiom 三心二意 means:
添枝加叶,Embellish a story,Add branches and leaves,Add unnecessary details to a story or report.  Idiom: 心如刀割
添砖加瓦,Do one's little bit,Add bricks and mortar,"Add to the problem, make it worse.  Explanation: This idiom is used to describe the act of adding to an existing problem or situation, making it worse. It is often used to describe someone who, despite their good intentions, ends up making things worse. The phrase is derived from the idea of adding bricks and tiles to a building, which is a gradual process that can ultimately make the structure more unstable and prone to collapse. In everyday language, the idiom might be used in a sentence like: ""He only knows how to add to the problem, people say he's useful, but in fact, he only makes things more complicated."" The idiom is often used to convey a sense of someone's actions or words causing more harm than good."
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,Add insult to injury.  I
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,Suddenly thaw ice release. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a great sense of relief. Answer: a great sense of relief. Result: a
游刃有余,Be move than equal to a task,Do it with ease,"He has a lot of power in the company, so he can afford to be generous."
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,"The idiom ""浑水摸鱼"" literally translates to ""muddying the water to catch the fish"". 20"
浑然一体,An integral whole,All in one,浑然一体的意思是指各个部分或元素之间的完美统一和和谐。
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,To understand the past is to understand the present.
沧海横流,The changes and disorders of the times,Across the sea,Her life is in complete chaos.
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,"a drop in the ocean"" 1"
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,Translation:
