src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,The final answer is:
深入浅出,Explain the profound in simple terms,Explain in simple language,The final answer is: Deep enter shallow out.
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,"Deep into the human heart. Answer: Deep into the human heart.  -  Deep, enter, human, heart.  -  The word ""deep"" is an adverb, and ""enter"" is a verb.  -  The word ""human"" is an adjective, and ""heart"" is a noun.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word ""heart"" is a noun, and it refers to the human heart.  -  The word "
深文周纳,Frame and punish severely,Shen Wen Zhou Na,"Deeply considerate, widely accommodating  Answer: Deeply considerate, widely accommodating"
混世魔王,Devil incarnate,Demon King of Chaos,Literal: Translation: ????  Translation: ????
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Confuse black and white.
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Mix confuse right wrong.  Thank you.  I hope it is correct.  Thank you.  I am ready to learn.  Thank you.  I will try my best to answer your questions.  Thank you.  I will do my best to help.  Thank you.  I am ready to learn.  Thank you.  I will try my best to answer your questions.  Thank you.  I will do my best to help.  Thank you.  I am ready to learn.  Thank you.  I will try my best to answer your questions.  Thank you.  I will do my best to help.  Thank you.  I am ready to learn.  Thank you.  I will try my best to answer your questions.  Thank you.  I will do my best to help.  Thank you.  I am ready to learn.  Thank you.  I will try my best to answer your questions.  Thank you.  I will do my best to help.  Thank you.  I am ready to learn.  Thank you.  I will try my best to answer your questions.  Thank you.  I will do my best to help.  Thank you.  I am ready to learn.  Thank you.  I will try my best to answer your questions.  Thank you.  I will do my best to help.  Thank you.  I am ready to learn.  Thank you.  I will try my best to answer your questions.  Thank you.  I will do my best to help.  Thank you.  I am ready to learn.  Thank you.  I will try my best to answer your questions.  Thank you.  I will do my best to help.  Thank you.  I am ready to learn.  Thank you.  I will try my best to answer your questions.  Thank you.  I will do my best to help.  Thank you.  I am ready to learn.  Thank you.  I will try my best to answer your questions.  Thank you.  I will do my best to help.  Thank you.  I am ready to learn.  Thank you.  I will try my best to answer your questions.  Thank you.  I will do my best to help.  Thank you.  I am ready to learn.  Thank you.  I will try my best to answer your questions.  Thank
混为一谈,Confuse something with something else,Mix it up,He mixed unrelated topics together in his speech and talked about many unimportant issues.
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,He only tried a few foreign languages superficially and didn't delve deeper.
添枝加叶,Embellish a story,Add branches and leaves,"They added unnecessary details in the report, leading readers to misinterpret the truth."
添砖加瓦,Do one's little bit,Add bricks and mortar,Literal translation:
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,**Idiom:** 添油加醋
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,The ice melts and the bond is released. Answer: I was finally able to relax and feel at ease. Answer: The tension was finally released and I felt a huge sense of relief. Answer: The ice finally thawed and I felt a sense of freedom. Answer: I felt a huge sense of relief and my emotions were finally released. Answer: The bond was finally released and I felt a sense of liberation. Answer: The ice finally melted and I felt a sense of ease. Answer: I felt a huge sense of relief and my anxiety was finally released. Answer: The tension was finally released and I felt a huge sense of relief. Answer: The ice finally thawed and I felt a sense of freedom. Answer: I felt a huge sense of relief and my emotions were finally released. Answer: The bond was finally released and I felt a sense of liberation. Answer: The ice finally melted and I felt a sense of ease. Answer: I felt a huge sense of relief and my anxiety was finally released. Answer: The tension was finally released and I felt a huge sense of relief. Answer: The ice finally thawed and I felt a sense of freedom. Answer: I felt a huge sense of relief and my emotions were finally released. Answer: The bond was finally released and I felt a sense of liberation. Answer: The ice finally melted and I felt a sense of ease. Answer: I felt a huge sense of relief and my anxiety was finally released. Answer: The tension was finally released and I felt a huge sense of relief. Answer: The ice finally thawed and I felt a sense of freedom. Answer: I felt a huge sense of relief and my emotions were finally released. Answer: The bond was finally released and I felt a sense of liberation. Answer: The ice finally melted and I felt a sense of ease. Answer: I felt a huge sense of relief and my anxiety was finally released. Answer: The tension was finally released and I felt a huge sense of relief. Answer: The ice finally thawed and I felt a sense of freedom. Answer: I felt a huge sense of relief and my emotions were finally released. Answer: The bond was finally released and I felt a sense of liberation. Answer: The ice finally melted and I felt a sense of ease. Answer: I felt a huge sense of relief and my anxiety was finally released. Answer: The tension was finally released and I felt a huge sense of relief. Answer: The ice finally thawed and I felt a sense of freedom
游刃有余,Be move than equal to a task,Do it with ease,To have surplus while straddling a sword.
