src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,To make preparations before taking action.
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,take advantage of someone's weakness.
पैर रोक लेना,to hesitate before action,to hold back the foot,The final answer is: Stop him by holding his foot.
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,The correct translation is:
मुँह बंद कर देना,to silence completely,to shut the mouth,नहीं बोलने का आदेश देना (nahī̃ bolnē kā ādēś dēnā) - to order someone to be silent.
मुँह चलाना,to speak unnecessarily,to run the mouth,to talk big
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,He is a sycophant and always praises him. Answer:
मुँह मीठा होना,to taste success,for the mouth to become sweet,To be sweet of mouth
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking. He often regrets his words. Answer: He speaks without thinking.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Literal English translation:
