src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,-
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,to take hold of someone's leg
पैर रोक लेना,to hesitate before action,to hold back the foot,I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put the brakes on the project. Answer: I put
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,- मुँह मोड़ लेना (Mūh moḍh la lenā) = to refuse to talk or respond to someone.
मुँह बंद कर देना,to silence completely,to shut the mouth,To shut one's mouth. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer: Shut up. Answer
मुँह चलाना,to speak unnecessarily,to run the mouth,He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer: He's just talking nonsense. Answer:
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,To take a liking to something or someone.
मुँह मीठा होना,to taste success,for the mouth to become sweet,- मुँह मीठा होना =
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,- mouth between
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,He's talking nonsense. Answer:
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,"The idiom ""मुँह धुलवाना"" (mūha dhulavānā) means to praise or flatter someone, not to curry favor with someone or try to win someone's favor by flattery or deceit."
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To put a crease on the forehead.
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,"When someone is punished or penalized for their wrongdoings, they are marked with lines on their forehead."
दिल में जगह बनाना,to win affection,to make a place in the heart,He won her heart. end of result)
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,"To feel a pang in one's heart. (Note: This is a poetic way of saying ""to feel a pang in one's heart"")  Answer: To feel a pang in one's heart. (Note: This is a poetic way of saying ""to feel a pang in one's heart"")  Answer: To feel a pang in one's heart. (Note: This is a poetic way of saying ""to feel a pang in one's heart"")  Answer: To feel a pang in one's heart. (Note: This is a poetic way of saying ""to feel a pang in one's heart"")  Answer: To feel a pang in one's heart. (Note: This is a poetic way of saying ""to feel a pang in one's heart"")  Answer: To feel a pang in one's heart. (Note: This is a poetic way of saying ""to feel a pang in one's heart"")  Answer: To feel a pang in one's heart. (Note: This is a poetic way of saying ""to feel a pang in one's heart"")  Answer: To feel a pang in one's heart. (Note: This is a poetic way of saying ""to feel a pang in one's heart"")  Answer: To feel a pang in one's heart. (Note: This is a poetic way of saying ""to feel a pang in one's heart"")  Answer: To feel a pang in one's heart. (Note: This is a poetic way of saying ""to feel a pang in one's heart"")  Answer: To feel a pang in one's heart. (Note: This is a poetic way of saying ""to feel a pang in one's heart"")  Answer: To feel a pang in one's heart. (Note: This is a poetic way of saying ""to feel a pang in one's heart"")  Answer: To feel a pang in one's heart. (Note: This is a poetic way of saying ""to feel a pang in one's heart"")  Answer: To feel a pang in one's heart. (Note: This is a poetic way of saying ""to feel a pang in one's heart"")  Answer: To feel a pang in one's heart. (Note: This is a poetic way of saying ""to feel a pang in one's heart"")  Answer: To feel a pang in one's heart. (Note: This is a poetic way of saying ""to feel a pang in one's heart"")  Answer"
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,To have a nagging sensation in the heart. Answer this
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,"To hold a grudge or resentment in one's heart, but not to show it to others."
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,- दिल (dil) = from
दिल हिल जाना,to be shaken emotionally,for the heart to shake,Life full of companion.  End.
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,दिल बाग़-बाग़ होना
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,"Heart broken, unable to move on. Answer: Heart broken, unable to leave behind. Answer: Heart broken, unable to proceed. Answer: Heart broken, unable to move forward. Answer: Heart broken, unable to depart from. Answer: Heart broken, unable to move away. Answer: Heart broken, unable to leave the past. Answer: Heart broken, unable to move on from. Answer: Heart broken, unable to leave the memory. Answer: Heart broken, unable to move on from the pain. Answer: Heart broken, unable to leave the sorrow. Answer: Heart broken, unable to move on from the grief. Answer: Heart broken, unable to leave the heartache. Answer: Heart broken, unable to move on from the heartbreak. Answer: Heart broken, unable to leave the emotional pain. Answer: Heart broken, unable to move on from the emotional distress. Answer: Heart broken, unable to leave the emotional trauma. Answer: Heart broken, unable to move on from the emotional shock. Answer: Heart broken, unable to leave the emotional hurt. Answer: Heart broken, unable to move on from the emotional anguish. Answer: Heart broken, unable to leave the emotional suffering. Answer: Heart broken, unable to move on from the emotional distress. Answer: Heart broken, unable to leave the emotional trauma. Answer: Heart broken, unable to move on from the emotional shock. Answer: Heart broken, unable to leave the emotional hurt. Answer: Heart broken, unable to move on from the emotional anguish. Answer: Heart broken, unable to leave the emotional suffering. Answer: Heart broken, unable to move on from the emotional distress. Answer: Heart broken, unable to leave the emotional trauma. Answer: Heart broken, unable to move on from the emotional shock. Answer: Heart broken, unable to leave the emotional hurt. Answer: Heart broken, unable to move on from the emotional anguish. Answer: Heart broken, unable to leave the emotional suffering. Answer: Heart broken, unable to move on from the emotional distress. Answer: Heart broken, unable to leave the emotional trauma. Answer: Heart broken, unable to move on from the emotional shock. Answer: Heart broken, unable to leave the emotional hurt. Answer: Heart broken, unable to move on from the emotional anguish. Answer: Heart broken, unable to leave the emotional suffering. Answer: Heart broken, unable to move on from the emotional distress. Answer: Heart broken, unable to leave the emotional trauma. Answer: Heart broken, unable to move"
दिल को सुकून मिलना,to find peace,for the heart to find peace,heart to peace meet
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,"The correct translation of the idiom ""दिमाग खराब कर देना"" is ""to drive someone mad"" or ""to drive someone crazy""."
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,- दिमाग ठिकाने लग जाना (Dimāg ṭhikānē lag jānā) =
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Literal translation:
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad. Answer: To lose one's mind. To lose one's mind. Answer: Go mad. Go mad.
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,mind of light
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,I am constantly worried about my exam performance.
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To use brute force to solve a problem. Answer:
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,- Finger under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down tightly under the teeth pressed down
जुबान बंद कर देना,to silence someone completely,to shut the tongue,to shut one's mouth
जुबान काट लेना,to regret words spoken,to bite the tongue,-
जुबान कसना,to rebuke harshly,to tighten the tongue,-
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,The final answer is: He is a person with a sure tongue.  Please provide the complete translation.
जुबान पर ताला,to keep secrets locked,a lock on the tongue,Literal translation:
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,- Tongue slip
जुबान सरक जाना,to misspeak,for the tongue to slide,Tongue slip out
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,To keep your words sweet.  (Keep your words sweet)  (English)  (Hindi)  (Chinese)  (Japanese)  (Korean)  (Arabic)  (Russian)  (French)  (Spanish)  (German)  (Italian)  (Portuguese)  (Polish)  (Greek)  (Turkish)  (Thai)  (Vietnamese)  (Hebrew)  (Persian)  (Ukrainian)  (Hungarian)  (Finnish)  (Indonesian)  (Swedish)  (Norwegian)  (Danish)  (Czech)  (Bulgarian)  (Romanian)  (Slovak)  (Slovenian)  (Croatian)  (Bosnian)  (Albanian)  (Estonian)  (Latvian)  (Lithuanian)  (Swahili)  (Amharic)  (Georgian)  (Uzbek)  (Kazakh)  (Kyrgyz)  (Mongolian)  (Uyghur)  (Dari)  (Pashto)  (Azerbaijani)  (Turkmen)  (Macedonian)  (Armenian)  (Belarusian)  (Moldovan)  (Serbian)  (Montenegrin)  (Sindhi)  (Urdu)  (Punjabi)  (Gujarati)  (Marathi)  (Bengali)  (Nepali)  (Sinhala)  (Tamil)  (Telugu)  (Kannada)  (Malayalam)  (Malay)  (Khmer)  (Lao)  (Myanmar)  (Tibetan)  (Mongolian)  (Sanskrit)  (Burmese)  (Thai)  (Vietnamese)  (Lao)  (Myanmar)  (Tibetan)  (Mongolian)  (Sanskrit)  (Burmese)  (Thai)  (Vietnamese)  (Lao)  (Myanmar)  (Tibetan)  (Mongolian)  (Sanskrit)  (Burmese)
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,To fulfill/keep the relation of blood.
