src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,"This idiom describes a place that has been untouched or unexplored for a long time, much like a hidden treasure waiting to be discovered. It evokes a sense of mystery and seclusion, suggesting that the area is still full of secrets and surprises."
深入浅出,Explain the profound in simple terms,Explain in simple language,Literal translation: deep-enter shallow-out
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,"The idiom ""深入人心"" means to have a profound impact on someone's emotions or heart, leaving a lasting impression that is difficult to forget."
深文周纳,Frame and punish severely,Shen Wen Zhou Na,She was deeply moved by his words and was willing to accept his views. Answer: She was deeply moved by his words and was willing to accept his views. 1. Deep meaning accept Whole day gather 2. Deep meaning accept Whole day gather 3. Deep meaning accept Whole day gather 4. Deep meaning accept Whole day gather 5. Deep meaning accept Whole day gather 6. Deep meaning accept Whole day gather 7. Deep meaning accept Whole day gather 8. Deep meaning accept Whole day gather 9. Deep meaning accept Whole day gather 10. Deep meaning accept Whole day gather 11. Deep meaning accept Whole day gather 12. Deep meaning accept Whole day gather 13. Deep meaning accept Whole day gather 14. Deep meaning accept Whole day gather 15. Deep meaning accept Whole day gather 16. Deep meaning accept Whole day gather 17. Deep meaning accept Whole day gather 18. Deep meaning accept Whole day gather 19. Deep meaning accept Whole day gather 20. Deep meaning accept Whole day gather 21. Deep meaning accept Whole day gather 22. Deep meaning accept Whole day gather 23. Deep meaning accept Whole day gather 24. Deep meaning accept Whole day gather 25. Deep meaning accept Whole day gather 26. Deep meaning accept Whole day gather 27. Deep meaning accept Whole day gather 28. Deep meaning accept Whole day gather 29. Deep meaning accept Whole day gather 30. Deep meaning accept Whole day gather 31. Deep meaning accept Whole day gather 32. Deep meaning accept Whole day gather 33. Deep meaning accept Whole day gather 34. Deep meaning accept Whole day gather 35. Deep meaning accept Whole day gather 36. Deep meaning accept Whole day gather 37. Deep meaning accept Whole day gather 38. Deep meaning accept Whole day gather 39. Deep meaning accept Whole day gather 40. Deep meaning accept Whole day gather 41. Deep meaning accept Whole day gather 42. Deep meaning accept Whole day gather 43. Deep meaning accept Whole day gather 44. Deep meaning accept Whole day gather 45. Deep meaning accept Whole day gather 46. Deep meaning accept Whole day gather 47. Deep meaning accept Whole day gather 48. Deep meaning accept Whole day gather 49. Deep meaning accept Whole day gather 50. Deep meaning accept Whole day gather 51. Deep meaning accept Whole day gather 52. Deep meaning accept Whole day gather 53. Deep meaning accept Whole day gather 54.
混世魔王,Devil incarnate,Demon King of Chaos,He is a musical genius. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Mix confuse black white
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Literal translation: He in politics confuse right and wrong cause many unnecessary misunderstandings.
混为一谈,Confuse something with something else,Mix it up,They mixed politics and economics together in their conversation.
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only tried to learn a foreign language for a short while. Answer: He only
添枝加叶,Embellish a story,Add branches and leaves,The final answer is: 增加虚假内容.
