src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep mountain old forest
深入浅出,Explain the profound in simple terms,Explain in simple language,Deep into shallow out.
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,Deep into the human heart.  (That's what I thought!)
深文周纳,Frame and punish severely,Shen Wen Zhou Na,"She knew that the job was tough, but she reluctantly agreed to take it on."
混世魔王,Devil incarnate,Demon King of Chaos,"This person is extremely talented and successful, but also has a dark and troubled side to their personality."
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,混淆了对错的界限 or 混乱了是非的界限.
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Literal: Translation: _______________________  Answer:  Mix confusion right wrong
混为一谈,Confuse something with something else,Mix it up,"He mixes up movies and life, always thinking that life is as beautiful as in movies."
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,尝试一下某事后，马上就放弃了。
添枝加叶,Embellish a story,Add branches and leaves,to embellish or exaggerate a story or a fact
