src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,English translation:
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,"The idiom ""heart like cutting, as cutting"" is a common Chinese idiom, and it is used to describe a situation where someone's heart is aching or hurting, similar to the feeling of being cut by a knife."
पैर रोक लेना,to hesitate before action,to hold back the foot,Literal translation:
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,-
मुँह बंद कर देना,to silence completely,to shut the mouth,- Shut up!
मुँह चलाना,to speak unnecessarily,to run the mouth,- 不能 (bù néng) = cannot
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,- I started my studies.
मुँह मीठा होना,to taste success,for the mouth to become sweet,- To be sweet-mouthed.
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,- To speak between one's teeth.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,चीनी idiom: बात बुलबुले (bāt bulbulē) नहीं है
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,"The idiom मुँह धुलवाना means ""to flatter or praise someone excessively, often with insincere intentions."
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,He lost his temper.
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,A natural English idiomatic translation is:
दिल में जगह बनाना,to win affection,to make a place in the heart,To make a place in the heart
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,"I feel that this business is not right for me, I'm feeling uneasy."
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,To feel uneasy or uncomfortable in the heart. Answer this
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,To keep anger in the heart.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,From the heart.
दिल हिल जाना,to be shaken emotionally,for the heart to shake,to be deeply moved
