src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,Literal translation:
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,Idiom: (jiǎo zhī)
पैर रोक लेना,to hesitate before action,to hold back the foot,The correct answer is: to stop someone in their tracks.
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To pretend to be something you're not.
मुँह बंद कर देना,to silence completely,to shut the mouth,"The idiom ""मुँह बंद कर देना"" (mūh band kar dēnā) means to make someone shut up or be quiet. It describes a situation where someone's words are unwanted or uninteresting."
मुँह चलाना,to speak unnecessarily,to run the mouth,Mouth's food
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,The final answer is:
मुँह मीठा होना,to taste success,for the mouth to become sweet,Literal: (xiǎo guī rén)
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,- To Interfere in Someone Else's Mouth.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,He beat his own face because he knew he had made a big mistake.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,"To flatter or curry favor with someone, usually in a way that is insincere or hypocritical."
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,"माथे पर शिकन डालना (Māthe par śikna dālnā) is an idiomatic expression that translates to ""To put a wrinkle on the forehead."" It means to frown or show disapproval. The phrase is used to describe a situation where someone is unhappy or displeased with something. The literal translation is: माथे (Māthe) = On the forehead पर (Par) = Above शिकन (Śikna) = Wrinkle डालना (Dālnā) = To put/To place The correct translation is: On the forehead above a wrinkle to put. Or, To put a wrinkle on the forehead. The idiom is often used in a figurative sense to convey a negative emotion or reaction. For example: ""He put a wrinkle on his forehead when he heard the news."" This means that he was unhappy or displeased with the news. माथे पर शिकन डालना (Māthe par śikna dālnā) is a common idiomatic expression in Hindi and other Indian languages. It is often used in everyday conversation to convey a range of emotions, from mild disappointment to strong disapproval. The phrase is versatile and can be used in a variety of contexts, making it a useful expression to know. Answer: To put a wrinkle on the forehead. माथे पर शिकन डालना (Māthe par śikna dālnā) is an idiomatic expression that translates to ""To put a wrinkle on the forehead."" It means to frown or show disapproval. The phrase is used to describe a situation where someone is unhappy or displeased with something. The literal translation is: माथे (Māthe) = On the forehead पर (Par) = Above शिकन (Śikna) = Wrinkle डालना (Dālnā) = To put/To place The correct translation is: On the forehead above a wrinkle to put. Or, To put a wrinkle on the forehead. The idiom is often used in a figurative sense to convey a negative emotion or reaction. For example: ""He put a wrinkle on his forehead when he heard the news."" This means that he was unhappy or displeased with the news. माथे पर शिकन डालना (Māthe par śikna dālnā) is a common idiomatic expression in Hindi"
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,On the forehead lines to fall.
दिल में जगह बनाना,to win affection,to make a place in the heart,to make a place in the heart
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,"The news of his death still keeps piercing my heart, like a thorn stuck in my heart."
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,I have a heartache.
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,- Idiom:
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,He is genuinely willing to cooperate with us.
दिल हिल जाना,to be shaken emotionally,for the heart to shake,To beat the heart.  Answer & Explanation
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart is full of joy and happiness.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result: Heart broken to remain.  Result:
दिल को सुकून मिलना,to find peace,for the heart to find peace,to find peace of mind Answer this
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,- दिमाग खराब कर देना (dimāg kharaab kar dēna) = to confuse or perplex someone so thoroughly that they are unable to think clearly or make a decision.
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,He lost his mental faculties.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,The final answer is: To put a burden on one's head. Read more: https://www.chinahighlights.com/culture/chinese-idioms/heart-knows.htm#ixzz7Q6vBQD9S Read more: https://www.chinahighlights.com/culture/chinese-idioms/heart-knows.htm#ixzz7Q6vBQD9S Read more: https://www.chinahighlights.com/culture/chinese-idioms
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,- Someone has gone mad.
