src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,- पैर (pār) =
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,He is trying to take advantage of the situation.
पैर रोक लेना,to hesitate before action,to hold back the foot,to hold someone's feet
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,Literal:
मुँह बंद कर देना,to silence completely,to shut the mouth,एक शब्द से मुँह बंद कर देना (ek shabd se mūh band kar denā)  (or) एक शब्द से चुप कर देना (ek shabd se chup kar denā)  (or) एक शब्द से बंद कर देना (ek shabd se band kar denā)  (or) एक शब्द से मुंह बंद कर देना (ek shabd se mūh band kar denā)  (or) एक शब्द से चुप कर देना (ek shabd se chup kar denā)  (or) एक शब्द से बंद कर देना (ek shabd se band kar denā)  (or) एक शब्द से मुंह बंद कर देना (ek shabd se mūh band kar denā)  (or) एक शब्द से चुप कर देना (ek shabd se chup kar denā)  (or) एक शब्द से बंद कर देना (ek shabd se band kar denā)  (or) एक शब्द से मुंह बंद कर देना (ek shabd se mūh band kar denā)  (or) एक शब्द से चुप कर देना (ek shabd se chup kar denā)  (or) एक शब्द से बंद कर देना (ek shabd se band kar denā)  (or) एक शब्द से मुंह बंद कर देना (ek shabd se mūh band kar denā)  (or) एक शब्द से चुप कर देना (ek shabd se chup kar denā)  (or) एक शब्द से बंद कर देना (ek shabd se band kar denā)  (or) एक शब्द से मुंह बंद कर देना (ek shabd se mūh band kar denā)  (or) एक शब्द से चुप कर देना (ek shabd se chup kar denā)  (or) एक शब्द से बंद कर देना (ek shabd se band kar denā)  (or) एक शब्द से मुंह बंद कर देना (ek shabd se m
मुँह चलाना,to speak unnecessarily,to run the mouth,"Literal translation: ""move the mouth""  Answer:"
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,To kiss someone.
मुँह मीठा होना,to taste success,for the mouth to become sweet,मुँह मीठा होना का अर्थ है कि किसी को कुछ कहकर उसका दिल जीतना या उसकी बात मानने के लिए मजबूर करना। यह एक बहुत ही आम भारतीय वाक्यांश है जिसका उपयोग अक्सर व्यंग्यात्मक या तार्किक अर्थ में किया जाता है। मुँह मीठा होना का अर्थ है कि किसी को कुछ कहकर उसका दिल जीतना या उसकी बात मानने के लिए मजबूर करना। यह एक बहुत ही आम भारतीय वाक्यांश है जिसका उपयोग अक्सर व्यंग्यात्मक या तार्किक अर्थ में किया जाता है। मुँह मीठा होना का अर्थ है कि किसी को कुछ कहकर उसका दिल जीतना या उसकी बात मानने के लिए मजबूर करना। यह एक बहुत ही आम भारतीय वाक्यांश है जिसका उपयोग अक्सर व्यंग्यात्मक या तार्किक अर्थ में किया जाता है। मुँह मीठा होना का अर्थ है कि किसी को कुछ कहकर उसका दिल जीतना या उसकी बात मानने के लिए मजबूर करना। यह एक बहुत ही आम भारतीय वाक्यांश है जिसका उपयोग अक्सर व्यंग्यात्मक या तार्किक अर्थ में किया जाता है। मुँह मीठा होना का अर्थ है कि किसी को कुछ कहकर उसका दिल जीतना या उसकी बात मानने के लिए मजबूर करना। यह एक बहुत ही आम भारतीय वाक्यांश है जिसका उपयोग अक्सर व्यंग्यात्मक या तार्किक अर्थ में किया जाता है। मुँह मीठा होना का
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Don't interfere.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To beat the mouth.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,To wash one's face with one's mouth.
