src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,Literal translation:
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,Literal translation:
पैर रोक लेना,to hesitate before action,to hold back the foot,Chinese idiom:
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"The idiom मुँह मोड़ लेना (Munh Modh Lena) is translated to English as ""to turn a blind eye"" or ""to refuse to acknowledge""."
मुँह बंद कर देना,to silence completely,to shut the mouth,Shut up!
मुँह चलाना,to speak unnecessarily,to run the mouth,He was shooting his mouth off and telling his friends that he would soon become rich.
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,बात बकना (bāt baknā) / बकवास (bakvās)
मुँह मीठा होना,to taste success,for the mouth to become sweet,"The idiom मुँह मीठा होना means ""to speak sweetly but with malicious intent""."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Literal: Mouth Splitting
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,"to beat one's mouth in vain  or to beat one's mouth against a wall  or to beat one's mouth against a hard wall  or to beat one's mouth against a solid wall  or to beat one's mouth against a wall of stone  or to beat one's mouth against a wall of brick  or to beat one's mouth against a hard, solid wall  or to beat one's mouth against a solid, hard wall  or to beat one's mouth against a hard, solid, unyielding wall  or to beat one's mouth against a solid, hard, unyielding wall  or to beat one's mouth against a hard, solid, unyielding, impenetrable wall  or to beat one's mouth against a solid, hard, unyielding, impenetrable wall  or to beat one's mouth against a hard, solid, unyielding, impenetrable, impassable wall  or to beat one's mouth against a solid, hard, unyielding, impenetrable, impassable wall  or to beat one's mouth against a hard, solid, unyielding, impenetrable, impassable, insurmountable wall  or to beat one's mouth against a solid, hard, unyielding, impenetrable, impassable, insurmountable wall  or to beat one's mouth against a hard, solid, unyielding, impenetrable, impassable, insurmountable, unscalable wall  or to beat one's mouth against a solid, hard, unyielding, impenetrable, impassable, insurmountable, unscalable wall  or to beat one's mouth against a hard, solid, unyielding, impenetrable, impassable, insurmountable, unscalable, impassable wall  or to beat one's mouth against a solid, hard, unyielding, impenetrable, impassable, insurmountable, unscalable, impassable wall  or to beat one's mouth against a hard, solid, unyielding, impenetrable, impassable, insurmountable, unscalable, impassable, unyielding wall  or to beat one's mouth against a solid, hard, unyielding, impenetrable, impassable, insurmountable, unscalable, impassable, unyielding wall  or to beat one's mouth against a hard"
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,To eat one's words.
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To put on a wrinkle on the forehead.
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,माथे पर लकीरें पड़ना का अर्थ है कि किसी के जीवन में एक निश्चित और पूर्व निर्धारित किस्मत होती है। यह एक ऐसी स्थिति है जहां किसी के जीवन के घटनाएं पहले से ही निर्धारित होती हैं और वह अपने जीवन को नियंत्रित नहीं कर सकता।
दिल में जगह बनाना,to win affection,to make a place in the heart,- Idiom:
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,The idiom is not commonly used in Hindi. The translation is correct.
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,1. Heart
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,To Keep Anger in One's Heart.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,From the depth of the heart.
दिल हिल जाना,to be shaken emotionally,for the heart to shake,- दिल (Dil) = Heart
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,My heart is garden-garden.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,The heart has broken and remains.
दिल को सुकून मिलना,to find peace,for the heart to find peace,"To find peace of mind. 1. What is the idiom ""चीनी वाक्यांश: (xiǎng huì de shì)"" in English? 2. What is the literal translation of the idiom ""चीनी वाक्यांश: (xiǎng huì de shì)""? 3. What is the meaning of the idiom ""चीनी वाक्यांश: (xiǎng huì de shì)""? 4. What is the phrase ""to have a wish or a desire"" in English? 5. What is the phrase ""to have a wish or a desire"" in Chinese? 6. What is the phrase ""to have a wish or a desire"" in Japanese? 7. What is the phrase ""to have a wish or a desire"" in Korean? 8. What is the phrase ""to have a wish or a desire"" in French? 9. What is the phrase ""to have a wish or a desire"" in Spanish? 10. What is the phrase ""to have a wish or a desire"" in Arabic? 11. What is the phrase ""to have a wish or a desire"" in Russian? 12. What is the phrase ""to have a wish or a desire"" in German? 13. What is the phrase ""to have a wish or a desire"" in Italian? 14. What is the phrase ""to have a wish or a desire"" in Portuguese? 15. What is the phrase ""to have a wish or a desire"" in Dutch? 16. What is the phrase ""to have a wish or a desire"" in Swedish? 17. What is the phrase ""to have a wish or a desire"" in Danish? 18. What is the phrase ""to have a wish or a desire"" in Norwegian? 19. What is the phrase ""to have a wish or a desire"" in Greek? 20. What is the phrase ""to have a wish or a desire"" in Turkish? Answer: 1. The idiom ""चीनी वाक्यांश: (xiǎng huì de shì)"" in English is ""to have a wish or a desire"". 2. The literal translation of the idiom ""चीनी वाक्यांश: (xiǎng huì de shì)"" is ""(xiǎng huì de shì)"". 3. The meaning"
