src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,To step down or take a backseat.
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,"- Take advantage of a situation, seize an opportunity."
पैर रोक लेना,to hesitate before action,to hold back the foot,to put one's foot down.
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"I said I didn't do anything, but now I've changed my story."
मुँह बंद कर देना,to silence completely,to shut the mouth,- मुँह (Munh) =
मुँह चलाना,to speak unnecessarily,to run the mouth,He started talking nonsense and made everyone laugh with his words.
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,Here is the correct answer:
मुँह मीठा होना,to taste success,for the mouth to become sweet,Mouth sweet to be. is not a natural English idiomatic translation.
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,He interrupts or cuts in mid-sentence.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Literal: (zì zuò zì shòu)
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,"I went to confess to my friend."" or ""I went to make a clean breast of it to my friend."" or ""I went to reveal the truth to my friend."" or ""I went to tell my friend the truth."" or ""I went to confess to my friend."" or ""I went to make a clean breast of it to my friend."" or ""I went to reveal the truth to my friend."" or ""I went to tell my friend the truth."" or ""I went to confess to my friend."" or ""I went to make a clean breast of it to my friend."" or ""I went to reveal the truth to my friend."" or ""I went to tell my friend the truth."" or ""I went to confess to my friend."" or ""I went to make a clean breast of it to my friend."" or ""I went to reveal the truth to my friend."" or ""I went to tell my friend the truth."" or ""I went to confess to my friend."" or ""I went to make a clean breast of it to my friend."" or ""I went to reveal the truth to my friend."" or ""I went to tell my friend the truth."" or ""I went to confess to my friend."" or ""I went to make a clean breast of it to my friend."" or ""I went to reveal the truth to my friend."" or ""I went to tell my friend the truth."" or ""I went to confess to my friend."" or ""I went to make a clean breast of it to my friend."" or ""I went to reveal the truth to my friend."" or ""I went to tell my friend the truth."" or ""I went to confess to my friend."" or ""I went to make a clean breast of it to my friend."" or ""I went to reveal the truth to my friend."" or ""I went to tell my friend the truth."" or ""I went to confess to my friend."" or ""I went to make a clean breast of it to my friend."" or ""I went to reveal the truth to my friend."" or ""I went to tell my friend the truth."" or ""I went to confess to my friend."" or ""I went to make a clean breast of it to my friend."" or ""I went to reveal the truth to my friend."" or ""I went to tell my friend the truth."" or ""I went to confess to my friend."" or ""I went to make a clean breast of it to my friend."" or ""I went to reveal the truth"
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,Literal: (Māthe par śikna dalna)
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,Literal translation:
दिल में जगह बनाना,to win affection,to make a place in the heart,To make a place in someone's heart. Answer this
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer: Heart in thorns pricks. Answer
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,I feel uneasy about this decision.
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,To keep anger in the heart.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,From the heart's depth.
दिल हिल जाना,to be shaken emotionally,for the heart to shake,to be deeply moved or touched by something.
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,Literal: (Dil Bāg-Bāg Hona)
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,to be left heartbroken
