src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,Literal translation:
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,Answer:
पैर रोक लेना,to hesitate before action,to hold back the foot,A person who is unable to move forward in life.
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,He turns a blind eye to it.
मुँह बंद कर देना,to silence completely,to shut the mouth,To shut someone up.
मुँह चलाना,to speak unnecessarily,to run the mouth,He's always talking nonsense.
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,निष्कर्ष:
मुँह मीठा होना,to taste success,for the mouth to become sweet,"A person who speaks sweetly, but has a heart of stone."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,जुबान ही दिल का दरवाजा होती है (jubān hī dil kā darvāzā hotī hai)
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,"To beat one's mouth.  (Note: This idiom is not used in Hindi, but is used in other languages.)  Answer:"
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,To praise or flatter excessively.
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,to give someone a headache.
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,- A blessing in disguise
दिल में जगह बनाना,to win affection,to make a place in the heart,heart in place to make.
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,A heart that's pierced by thorns.
